attack_fraction,protect_fraction,efficiency
0.00,0.00,0.13566301302953604
0.00,0.02,0.13566301302953604
0.00,0.04,0.13566301302953604
0.00,0.06,0.13566301302953604
0.00,0.08,0.13566301302953604
0.00,0.10,0.13566301302953604
0.00,0.12,0.13566301302953604
0.00,0.14,0.13566301302953604
0.00,0.16,0.13566301302953604
0.00,0.18,0.13566301302953604
0.00,0.20,0.13566301302953604
0.00,0.22,0.13566301302953604
0.00,0.24,0.13566301302953604
0.00,0.26,0.13566301302953604
0.00,0.28,0.13566301302953604
0.00,0.30,0.13566301302953604
0.00,0.32,0.13566301302953604
0.00,0.34,0.13566301302953604
0.00,0.36,0.13566301302953604
0.00,0.38,0.13566301302953604
0.00,0.40,0.13566301302953604
0.00,0.42,0.13566301302953604
0.00,0.44,0.13566301302953604
0.00,0.46,0.13566301302953604
0.00,0.48,0.13566301302953604
0.02,0.00,0.10398945206016359
0.02,0.02,0.10398945206016359
0.02,0.04,0.10398945206016359
0.02,0.06,0.10398945206016359
0.02,0.08,0.10398945206016359
0.02,0.10,0.10398945206016359
0.02,0.12,0.10398945206016359
0.02,0.14,0.10398945206016359
0.02,0.16,0.10398945206016359
0.02,0.18,0.12035426104955432
0.02,0.20,0.13566301302953604
0.02,0.22,0.13566301302953604
0.02,0.24,0.13566301302953604
0.02,0.26,0.13566301302953604
0.02,0.28,0.13566301302953604
0.02,0.30,0.13566301302953604
0.02,0.32,0.13566301302953604
0.02,0.34,0.13566301302953604
0.02,0.36,0.13566301302953604
0.02,0.38,0.13566301302953604
0.02,0.40,0.13566301302953604
0.02,0.42,0.13566301302953604
0.02,0.44,0.13566301302953604
0.02,0.46,0.13566301302953604
0.02,0.48,0.13566301302953604
0.04,0.00,0.08324177133967929
0.04,0.02,0.08741181093394974
0.04,0.04,0.08741181093394974
0.04,0.06,0.08741181093394974
0.04,0.08,0.08741181093394974
0.04,0.10,0.08741181093394974
0.04,0.12,0.08741181093394974
0.04,0.14,0.08741181093394974
0.04,0.16,0.08741181093394974
0.04,0.18,0.10297171063787681
0.04,0.20,0.1211732594796914
0.04,0.22,0.1211732594796914
0.04,0.24,0.1211732594796914
0.04,0.26,0.13566301302953604
0.04,0.28,0.13566301302953604
0.04,0.30,0.13566301302953604
0.04,0.32,0.13566301302953604
0.04,0.34,0.13566301302953604
0.04,0.36,0.13566301302953604
0.04,0.38,0.13566301302953604
0.04,0.40,0.13566301302953604
0.04,0.42,0.13566301302953604
0.04,0.44,0.13566301302953604
0.04,0.46,0.13566301302953604
0.04,0.48,0.13566301302953604
0.06,0.00,0.05898186842545128
0.06,0.02,0.06354440816230554
0.06,0.04,0.06354440816230554
0.06,0.06,0.06354440816230554
0.06,0.08,0.06354440816230554
0.06,0.10,0.06354440816230554
0.06,0.12,0.06354440816230554
0.06,0.14,0.06966912227456548
0.06,0.16,0.07717184219137785
0.06,0.18,0.09273592767422342
0.06,0.20,0.11044047989124259
0.06,0.22,0.11044047989124259
0.06,0.24,0.11044047989124259
0.06,0.26,0.12469843271380222
0.06,0.28,0.12469843271380222
0.06,0.30,0.12469843271380222
0.06,0.32,0.12469843271380222
0.06,0.34,0.12469843271380222
0.06,0.36,0.12469843271380222
0.06,0.38,0.12469843271380222
0.06,0.40,0.12469843271380222
0.06,0.42,0.12469843271380222
0.06,0.44,0.12469843271380222
0.06,0.46,0.13566301302953604
0.06,0.48,0.13566301302953604
0.08,0.00,0.05141667027883111
0.08,0.02,0.055735968263899496
0.08,0.04,0.055735968263899496
0.08,0.06,0.055735968263899496
0.08,0.08,0.055735968263899496
