attack_fraction,protect_fraction,efficiency
0.00,0.00,0.13566301302953604
0.00,0.02,0.13566301302953604
0.00,0.04,0.13566301302953604
0.00,0.06,0.13566301302953604
0.00,0.08,0.13566301302953604
0.00,0.10,0.13566301302953604
0.00,0.12,0.13566301302953604
0.00,0.14,0.13566301302953604
0.00,0.16,0.13566301302953604
0.00,0.18,0.13566301302953604
0.00,0.20,0.13566301302953604
0.00,0.22,0.13566301302953604
0.00,0.24,0.13566301302953604
0.00,0.26,0.13566301302953604
0.00,0.28,0.13566301302953604
0.00,0.30,0.13566301302953604
0.00,0.32,0.13566301302953604
0.00,0.34,0.13566301302953604
0.00,0.36,0.13566301302953604
0.00,0.38,0.13566301302953604
0.00,0.40,0.13566301302953604
0.00,0.42,0.13566301302953604
0.00,0.44,0.13566301302953604
0.00,0.46,0.13566301302953604
0.00,0.48,0.13566301302953604
0.02,0.00,0.12377855608237388
0.02,0.02,0.12377855608237388
0.02,0.04,0.13017380778783422
0.02,0.06,0.13017380778783422
0.02,0.08,0.13017380778783422
0.02,0.10,0.13017380778783422
0.02,0.12,0.13017380778783422
0.02,0.14,0.13017380778783422
0.02,0.16,0.13017380778783422
0.02,0.18,0.13017380778783422
0.02,0.20,0.13017380778783422
0.02,0.22,0.13017380778783422
0.02,0.24,0.13566301302953604
0.02,0.26,0.13566301302953604
0.02,0.28,0.13566301302953604
0.02,0.30,0.13566301302953604
0.02,0.32,0.13566301302953604
0.02,0.34,0.13566301302953604
0.02,0.36,0.13566301302953604
0.02,0.38,0.13566301302953604
0.02,0.40,0.13566301302953604
0.02,0.42,0.13566301302953604
0.02,0.44,0.13566301302953604
0.02,0.46,0.13566301302953604
0.02,0.48,0.13566301302953604
0.04,0.00,0.10751753113443734
0.04,0.02,0.10751753113443734
0.04,0.04,0.11902029927495161
0.04,0.06,0.11902029927495161
0.04,0.08,0.11902029927495161
0.04,0.10,0.12499170442550495
0.04,0.12,0.12499170442550495
0.04,0.14,0.13017380778783422
0.04,0.16,0.13017380778783422
0.04,0.18,0.13017380778783422
0.04,0.20,0.13017380778783422
0.04,0.22,0.13017380778783422
0.04,0.24,0.13566301302953604
0.04,0.26,0.13566301302953604
0.04,0.28,0.13566301302953604
0.04,0.30,0.13566301302953604
0.04,0.32,0.13566301302953604
0.04,0.34,0.13566301302953604
0.04,0.36,0.13566301302953604
0.04,0.38,0.13566301302953604
0.04,0.40,0.13566301302953604
0.04,0.42,0.13566301302953604
0.04,0.44,0.13566301302953604
0.04,0.46,0.13566301302953604
0.04,0.48,0.13566301302953604
0.06,0.00,0.05923176082702012
0.06,0.02,0.08599553392139418
0.06,0.04,0.09018572673593603
0.06,0.06,0.10133193592480207
0.06,0.08,0.11902029927495161
0.06,0.10,0.12499170442550495
0.06,0.12,0.12499170442550495
0.06,0.14,0.13017380778783422
0.06,0.16,0.13017380778783422
0.06,0.18,0.13017380778783422
0.06,0.20,0.13017380778783422
0.06,0.22,0.13017380778783422
0.06,0.24,0.13566301302953604
0.06,0.26,0.13566301302953604
0.06,0.28,0.13566301302953604
0.06,0.30,0.13566301302953604
0.06,0.32,0.13566301302953604
0.06,0.34,0.13566301302953604
0.06,0.36,0.13566301302953604
0.06,0.38,0.13566301302953604
0.06,0.40,0.13566301302953604
0.06,0.42,0.13566301302953604
0.06,0.44,0.13566301302953604
0.06,0.46,0.13566301302953604
0.06,0.48,0.13566301302953604
0.08,0.00,0.04251105198522999
0.08,0.02,0.05332607225723791
0.08,0.04,0.08569771838312437
0.08,0.06,0.09603047419277888
0.08,0.08,0.11344299901785777
