attack_fraction,protect_fraction,efficiency
0.00,0.00,0.13566301302953604
0.00,0.02,0.13566301302953604
0.00,0.04,0.13566301302953604
0.00,0.06,0.13566301302953604
0.00,0.08,0.13566301302953604
0.00,0.10,0.13566301302953604
0.00,0.12,0.13566301302953604
0.00,0.14,0.13566301302953604
0.00,0.16,0.13566301302953604
0.00,0.18,0.13566301302953604
0.00,0.20,0.13566301302953604
0.00,0.22,0.13566301302953604
0.00,0.24,0.13566301302953604
0.00,0.26,0.13566301302953604
0.00,0.28,0.13566301302953604
0.00,0.30,0.13566301302953604
0.00,0.32,0.13566301302953604
0.00,0.34,0.13566301302953604
0.00,0.36,0.13566301302953604
0.00,0.38,0.13566301302953604
0.00,0.40,0.13566301302953604
0.00,0.42,0.13566301302953604
0.00,0.44,0.13566301302953604
0.00,0.46,0.13566301302953604
0.00,0.48,0.13566301302953604
0.02,0.00,0.12377855608237388
0.02,0.02,0.13017380778783422
0.02,0.04,0.13566301302953604
0.02,0.06,0.13566301302953604
0.02,0.08,0.13566301302953604
0.02,0.10,0.13566301302953604
0.02,0.12,0.13566301302953604
0.02,0.14,0.13566301302953604
0.02,0.16,0.13566301302953604
0.02,0.18,0.13566301302953604
0.02,0.20,0.13566301302953604
0.02,0.22,0.13566301302953604
0.02,0.24,0.13566301302953604
0.02,0.26,0.13566301302953604
0.02,0.28,0.13566301302953604
0.02,0.30,0.13566301302953604
0.02,0.32,0.13566301302953604
0.02,0.34,0.13566301302953604
0.02,0.36,0.13566301302953604
0.02,0.38,0.13566301302953604
0.02,0.40,0.13566301302953604
0.02,0.42,0.13566301302953604
0.02,0.44,0.13566301302953604
0.02,0.46,0.13566301302953604
0.02,0.48,0.13566301302953604
0.04,0.00,0.10751753113443734
0.04,0.02,0.11902029927495161
0.04,0.04,0.12438552084988107
0.04,0.06,0.13048879247368853
0.04,0.08,0.13566301302953604
0.04,0.10,0.13566301302953604
0.04,0.12,0.13566301302953604
0.04,0.14,0.13566301302953604
0.04,0.16,0.13566301302953604
0.04,0.18,0.13566301302953604
0.04,0.20,0.13566301302953604
0.04,0.22,0.13566301302953604
0.04,0.24,0.13566301302953604
0.04,0.26,0.13566301302953604
0.04,0.28,0.13566301302953604
0.04,0.30,0.13566301302953604
0.04,0.32,0.13566301302953604
0.04,0.34,0.13566301302953604
0.04,0.36,0.13566301302953604
0.04,0.38,0.13566301302953604
0.04,0.40,0.13566301302953604
0.04,0.42,0.13566301302953604
0.04,0.44,0.13566301302953604
0.04,0.46,0.13566301302953604
0.04,0.48,0.13566301302953604
0.06,0.00,0.05923176082702012
0.06,0.02,0.06276496693924921
0.06,0.04,0.07000218646326763
0.06,0.06,0.0768378033669896
0.06,0.08,0.09959193143754956
0.06,0.10,0.09959193143754956
0.06,0.12,0.09959193143754956
0.06,0.14,0.10814548719715804
0.06,0.16,0.10814548719715804
0.06,0.18,0.10814548719715804
0.06,0.20,0.12297076749014971
0.06,0.22,0.12297076749014971
0.06,0.24,0.12297076749014971
0.06,0.26,0.12297076749014971
0.06,0.28,0.12297076749014971
0.06,0.30,0.13566301302953604
0.06,0.32,0.13566301302953604
0.06,0.34,0.13566301302953604
0.06,0.36,0.13566301302953604
0.06,0.38,0.13566301302953604
0.06,0.40,0.13566301302953604
0.06,0.42,0.13566301302953604
0.06,0.44,0.13566301302953604
0.06,0.46,0.13566301302953604
0.06,0.48,0.13566301302953604
0.08,0.00,0.04251105198522999
0.08,0.02,0.04486434399068735
0.08,0.04,0.05079527403393327
0.08,0.06,0.05501913665071026
0.08,0.08,0.07325435871113453
