attack_fraction,protect_fraction,efficiency
0.00,0.00,0.135663013029536
0.00,0.02,0.135663013029536
0.00,0.04,0.135663013029536
0.00,0.06,0.135663013029536
0.00,0.08,0.135663013029536
0.00,0.10,0.135663013029536
0.00,0.12,0.135663013029536
0.00,0.14,0.135663013029536
0.00,0.16,0.135663013029536
0.00,0.18,0.135663013029536
0.00,0.20,0.135663013029536
0.00,0.22,0.135663013029536
0.00,0.24,0.135663013029536
0.00,0.26,0.135663013029536
0.00,0.28,0.135663013029536
0.00,0.30,0.135663013029536
0.00,0.32,0.135663013029536
0.00,0.34,0.135663013029536
0.00,0.36,0.135663013029536
0.00,0.38,0.135663013029536
0.00,0.40,0.135663013029536
0.00,0.42,0.135663013029536
0.00,0.44,0.135663013029536
0.00,0.46,0.135663013029536
0.00,0.48,0.135663013029536
0.02,0.00,0.1272609928090765
0.02,0.02,0.1276784559003382
0.02,0.04,0.13004383685926668
0.02,0.06,0.12954396474613555
0.02,0.08,0.13054285622977557
0.02,0.10,0.13023936016748372
0.02,0.12,0.1315992381890172
0.02,0.14,0.13232721352143512
0.02,0.16,0.13358531753689498
0.02,0.18,0.13193525319242091
0.02,0.20,0.13280763088456488
0.02,0.22,0.13315185070045332
0.02,0.24,0.1324307435459902
0.02,0.26,0.13088731649419108
0.02,0.28,0.13253544643360984
0.02,0.30,0.1317749905069249
0.02,0.32,0.13191331604315837
0.02,0.34,0.13114828160082143
0.02,0.36,0.13319851406864375
0.02,0.38,0.13334266589651236
0.02,0.40,0.13409160535761386
0.02,0.42,0.13336351395365584
0.02,0.44,0.13335725653887132
0.02,0.46,0.1331439916518628
0.02,0.48,0.13368898924150857
0.04,0.00,0.11879165706475425
0.04,0.02,0.12584767910203917
0.04,0.04,0.1223924102077782
0.04,0.06,0.12654108475019324
0.04,0.08,0.12581546402019228
0.04,0.10,0.12789736096509285
0.04,0.12,0.126852243626856
0.04,0.14,0.12900065894672946
0.04,0.16,0.12999761537267482
0.04,0.18,0.12646469684295888
0.04,0.20,0.12695027103494788
0.04,0.22,0.12960783198839237
0.04,0.24,0.12810548424205134
0.04,0.26,0.12953427795284958
0.04,0.28,0.13103402873393924
0.04,0.30,0.12987497015711127
0.04,0.32,0.131251748317548
0.04,0.34,0.12984949890891065
0.04,0.36,0.12884037831090694
0.04,0.38,0.13133314468616641
0.04,0.40,0.1296277982866137
0.04,0.42,0.13048253021682102
0.04,0.44,0.13202420643324309
0.04,0.46,0.13190744855248665
0.04,0.48,0.13095702563729023
0.06,0.00,0.11501401171442227
0.06,0.02,0.11236490770004508
0.06,0.04,0.11333565668186943
0.06,0.06,0.11605667851988777
0.06,0.08,0.11809174977117357
0.06,0.10,0.11951323643159026
0.06,0.12,0.11727877969683856
0.06,0.14,0.12108076459095954
0.06,0.16,0.11942650036157502
0.06,0.18,0.1208116261324641
0.06,0.20,0.12139268429036718
0.06,0.22,0.12336172279390026
0.06,0.24,0.12076958837357625
0.06,0.26,0.12298167754614744
0.06,0.28,0.1220123290056698
0.06,0.30,0.1275063536506477
0.06,0.32,0.12670287796393592
0.06,0.34,0.12332022346152396
0.06,0.36,0.1276061984133803
0.06,0.38,0.12952696664510263
0.06,0.40,0.12968921496641
0.06,0.42,0.12759097977201336
0.06,0.44,0.13051139529085656
0.06,0.46,0.1305065172438169
0.06,0.48,0.1322884020263833
0.08,0.00,0.1080600967055644
0.08,0.02,0.10728255907527615
0.08,0.04,0.11329345026135798
0.08,0.06,0.1098424518722552
0.08,0.08,0.11478891138067915
0.08,0.10,0.1192845337289061
0.08,0.12,0.11349862331304342
0.08,0.14,0.12156420371779923
0.08,0.16,0.11326788707933855
0.08,0.18,0.11808251119741837
0.08,0.20,0.12008947329081801
0.08,0.22,0.12234478010763887
0.08,0.24,0.12210699607068472
0.08,0.26,0.12517787017153098
0.08,0.28,0.12294950466120028
0.08,0.30,0.12342873993654482
0.08,0.32,0.12368022598254672
0.08,0.34,0.1265493768822264
0.08,0.36,0.12526465847952903
0.08,0.38,0.12812093513642964
0.08,0.40,0.1268577789990014
0.08,0.42,0.1270941053544922
0.08,0.44,0.1287572363002686
0.08,0.46,0.12920930862069258
0.08,0.48,0.12989691045821758
0.10,0.00,0.10026276244822732
0.10,0.02,0.09879701136406255
0.10,0.04,0.09892926538304828
0.10,0.06,0.10024881675640844
0.10,0.08,0.10344851100927203
0.10,0.10,0.10766407981298047
0.10,0.12,0.10614628158147199
0.10,0.14,0.10385324142761258
0.10,0.16,0.10915251431719195
0.10,0.18,0.11450491556087916
0.10,0.20,0.11439657367364638
0.10,0.22,0.11802458456707317
0.10,0.24,0.11531119456258501
0.10,0.26,0.11617424286683098
0.10,0.28,0.11962093701187873
0.10,0.30,0.12014351888349743
0.10,0.32,0.12073316195516955
0.10,0.34,0.12011240974840036
0.10,0.36,0.12323631465156895
0.10,0.38,0.1224983347913311
0.10,0.40,0.1241722321986948
0.10,0.42,0.12505578997460862
0.10,0.44,0.12464933765880923
0.10,0.46,0.12634378999606966
0.10,0.48,0.12765523683047142
0.12,0.00,0.091374070583591
0.12,0.02,0.09187565780519424
0.12,0.04,0.09358480024403922
0.12,0.06,0.10190814968191808
0.12,0.08,0.10000611655346917
0.12,0.10,0.10512354952438478
0.12,0.12,0.10440120568138747
0.12,0.14,0.10398793223630927
0.12,0.16,0.10075165867123523
0.12,0.18,0.10874191915198346
0.12,0.20,0.10866791250390875
0.12,0.22,0.11401117072921851
0.12,0.24,0.11508108394964349
0.12,0.26,0.11741416417775523
0.12,0.28,0.1147377742032472
0.12,0.30,0.11771850199342486
0.12,0.32,0.11977927841156408
0.12,0.34,0.11231759732331399
0.12,0.36,0.1211216877979332
0.12,0.38,0.12162077179910309
0.12,0.40,0.12271676940666425
0.12,0.42,0.127556101155542
0.12,0.44,0.1216840222001648
0.12,0.46,0.12496247097339315
0.12,0.48,0.12482086459606241
0.14,0.00,0.07344104970469352
0.14,0.02,0.0903214588875127
0.14,0.04,0.08946832919493258
0.14,0.06,0.09163859850881337
0.14,0.08,0.09497242899444575
0.14,0.10,0.09738043207181361
0.14,0.12,0.0920872917264394
0.14,0.14,0.09824898198538252
0.14,0.16,0.1007745165701697
0.14,0.18,0.10574324937421593
0.14,0.20,0.10789387347622155
0.14,0.22,0.10349492584465972
0.14,0.24,0.10707233659029816
0.14,0.26,0.11043157871441815
0.14,0.28,0.10988431400709682
0.14,0.30,0.11390519290968384
0.14,0.32,0.11496962573248656
0.14,0.34,0.11474226329920886
0.14,0.36,0.1192461403709387
0.14,0.38,0.11772808203797147
0.14,0.40,0.12014575113422916
0.14,0.42,0.12115351667181395
0.14,0.44,0.12084900927200182
0.14,0.46,0.12430541544438231
0.14,0.48,0.12690146759010376
0.16,0.00,0.07896383348061616
0.16,0.02,0.08173438014211949
0.16,0.04,0.08042521643054101
0.16,0.06,0.09152953369669993
0.16,0.08,0.08345583634944526
0.16,0.10,0.09871519299461581
0.16,0.12,0.09776780169716302
0.16,0.14,0.09760852769974857
0.16,0.16,0.1004336214950938
0.16,0.18,0.10143692103138639
0.16,0.20,0.10252164414912728
0.16,0.22,0.10760951673885721
0.16,0.24,0.1064943736106109
0.16,0.26,0.10952489111543229
