attack_fraction,protect_fraction,efficiency
0.00,0.00,0.135663013029536
0.00,0.02,0.135663013029536
0.00,0.04,0.135663013029536
0.00,0.06,0.135663013029536
0.00,0.08,0.135663013029536
0.00,0.10,0.135663013029536
0.00,0.12,0.135663013029536
0.00,0.14,0.135663013029536
0.00,0.16,0.135663013029536
0.00,0.18,0.135663013029536
0.00,0.20,0.135663013029536
0.00,0.22,0.135663013029536
0.00,0.24,0.135663013029536
0.00,0.26,0.135663013029536
0.00,0.28,0.135663013029536
0.00,0.30,0.135663013029536
0.00,0.32,0.135663013029536
0.00,0.34,0.135663013029536
0.00,0.36,0.135663013029536
0.00,0.38,0.135663013029536
0.00,0.40,0.135663013029536
0.00,0.42,0.135663013029536
0.00,0.44,0.135663013029536
0.00,0.46,0.135663013029536
0.00,0.48,0.135663013029536
0.02,0.00,0.13092143406592055
0.02,0.02,0.1296422753380298
0.02,0.04,0.12759630572666786
0.02,0.06,0.12799189953140994
0.02,0.08,0.129514077037473
0.02,0.10,0.1276697550028842
0.02,0.12,0.13079184633580082
0.02,0.14,0.12873894510932088
0.02,0.16,0.12631476893232368
0.02,0.18,0.129112313219186
0.02,0.20,0.13033890503667117
0.02,0.22,0.1295837003527396
0.02,0.24,0.1301496863006043
0.02,0.26,0.13013764596622618
0.02,0.28,0.12890997542447363
0.02,0.30,0.13242092335043726
0.02,0.32,0.13087155735940065
0.02,0.34,0.13245475427421843
0.02,0.36,0.13199483448407373
0.02,0.38,0.13266839024333982
0.02,0.40,0.13229261498534822
0.02,0.42,0.13190354147588973
0.02,0.44,0.13397524533598432
0.02,0.46,0.1341827636076933
0.02,0.48,0.1329733097093207
0.04,0.00,0.12140649270290597
0.04,0.02,0.119186399297709
0.04,0.04,0.12159850083916782
0.04,0.06,0.122106001182161
0.04,0.08,0.12387973280936593
0.04,0.10,0.12390477122736052
0.04,0.12,0.12669875706703976
0.04,0.14,0.1262182889917697
0.04,0.16,0.12481399300363838
0.04,0.18,0.12401895195997237
0.04,0.20,0.12489579195733966
0.04,0.22,0.12995231309166005
0.04,0.24,0.1260538270200168
0.04,0.26,0.12671742554513674
0.04,0.28,0.12656172739691482
0.04,0.30,0.12848262561053636
0.04,0.32,0.12880306523861598
0.04,0.34,0.12909314767723906
0.04,0.36,0.12849628816380532
0.04,0.38,0.12844324025681375
0.04,0.40,0.13053693263961796
0.04,0.42,0.12954920937677378
0.04,0.44,0.13094027676237635
0.04,0.46,0.13220381017554736
0.04,0.48,0.13288264321678467
0.06,0.00,0.11512239088333623
0.06,0.02,0.1148048639934689
0.06,0.04,0.11691095026198975
0.06,0.06,0.11748329213483914
0.06,0.08,0.11865579362224161
0.06,0.10,0.1177621598519361
0.06,0.12,0.11409602523491158
0.06,0.14,0.11611754280413952
0.06,0.16,0.11546619251838111
0.06,0.18,0.11528092575123186
0.06,0.20,0.11702491842530165
0.06,0.22,0.12406856244652856
0.06,0.24,0.12262868327454249
0.06,0.26,0.11938123211177862
0.06,0.28,0.12277485868001066
0.06,0.30,0.12239821568390152
0.06,0.32,0.1244004569277685
0.06,0.34,0.12688560096961968
0.06,0.36,0.12448598023908593
0.06,0.38,0.12368125526462023
0.06,0.40,0.12753709923726253
0.06,0.42,0.12841338764533455
0.06,0.44,0.1288381942647544
0.06,0.46,0.12782734170617382
0.06,0.48,0.13148203828973795
0.08,0.00,0.10543642313487481
0.08,0.02,0.10643066609599519
0.08,0.04,0.10482541955023453
0.08,0.06,0.10506635714171245
0.08,0.08,0.10659519676990784
0.08,0.10,0.11223614253765675
0.08,0.12,0.11273795174500026
0.08,0.14,0.1137330175212101
0.08,0.16,0.10860693255184253
0.08,0.18,0.10870543341265533
0.08,0.20,0.11461103600806477
0.08,0.22,0.11496514494719537
0.08,0.24,0.1191026864872408
0.08,0.26,0.11793982445633108
0.08,0.28,0.11856098171718457
0.08,0.30,0.11908751548621108
0.08,0.32,0.11771796076635363
0.08,0.34,0.12158452486814701
0.08,0.36,0.12328067356425365
0.08,0.38,0.12253933674137989
0.08,0.40,0.12619955194399607
0.08,0.42,0.12243894012392076
0.08,0.44,0.12652952968881817
0.08,0.46,0.1264543187072645
0.08,0.48,0.12880359533490854
0.10,0.00,0.09787389815258618
0.10,0.02,0.09975600800664088
0.10,0.04,0.09898772171192076
0.10,0.06,0.09635708868901618
0.10,0.08,0.1015785904052366
0.10,0.10,0.1060708943224109
0.10,0.12,0.10160546643426198
0.10,0.14,0.10218465857623023
0.10,0.16,0.10549233154085928
0.10,0.18,0.10657550303051766
0.10,0.20,0.11055249566310085
0.10,0.22,0.11117573252995301
0.10,0.24,0.11043038391225199
0.10,0.26,0.11201297007695002
0.10,0.28,0.11435525668652682
0.10,0.30,0.11348389994529488
0.10,0.32,0.1160312792769741
0.10,0.34,0.11685211684676411
0.10,0.36,0.12180193684140528
0.10,0.38,0.11796080911026904
0.10,0.40,0.11902118911576794
0.10,0.42,0.12176620395796793
0.10,0.44,0.1228881273163492
0.10,0.46,0.12611210001083434
0.10,0.48,0.12562868404961547
0.12,0.00,0.0871132127414822
0.12,0.02,0.09267984681314541
0.12,0.04,0.10077121251420196
0.12,0.06,0.10190604263761065
0.12,0.08,0.09715602667013713
0.12,0.10,0.09640625708274551
0.12,0.12,0.10343141410732384
0.12,0.14,0.10494058805605662
0.12,0.16,0.10447645768192189
0.12,0.18,0.10033716372061297
0.12,0.20,0.10382919724841344
0.12,0.22,0.10380470118787495
0.12,0.24,0.11018861653803029
0.12,0.26,0.10818136695215094
0.12,0.28,0.11117753309060115
0.12,0.30,0.11178505924462905
0.12,0.32,0.11398368809542012
0.12,0.34,0.11513379595735596
0.12,0.36,0.11249001711697244
0.12,0.38,0.11922833511680848
0.12,0.40,0.11748523252596361
0.12,0.42,0.12199076730442449
0.12,0.44,0.12184966227399514
0.12,0.46,0.12162918509424214
0.12,0.48,0.12141688773193782
0.14,0.00,0.07684817134839567
0.14,0.02,0.0762436238863842
0.14,0.04,0.08357210951551798
0.14,0.06,0.08839314030269392
0.14,0.08,0.09151892746913705
0.14,0.10,0.08764523767863626
0.14,0.12,0.0943746723371228
0.14,0.14,0.09148694617305243
0.14,0.16,0.0984114847283793
0.14,0.18,0.10302745085336111
0.14,0.20,0.09658225727294183
0.14,0.22,0.1057353806019049
0.14,0.24,0.10354384695462757
0.14,0.26,0.10287073702073357
0.14,0.28,0.10798624146124976
0.14,0.30,0.1096829788392923
0.14,0.32,0.11052098111707562
0.14,0.34,0.11341625873560675
0.14,0.36,0.11041521966126369
0.14,0.38,0.1163030457943008
0.14,0.40,0.11752106148355135
0.14,0.42,0.11732650093779802
0.14,0.44,0.1207754166580995
0.14,0.46,0.1191224802481643
0.14,0.48,0.12300132691390744
0.16,0.00,0.07774310163803173
0.16,0.02,0.07954768208864858
0.16,0.04,0.07166457686641942
0.16,0.06,0.08375481477824906
0.16,0.08,0.08346672262475166
0.16,0.10,0.08274432572522925
0.16,0.12,0.08907976261860909
0.16,0.14,0.09411722362863109
0.16,0.16,0.09758232924429035
0.16,0.18,0.0967046473724527
0.16,0.20,0.09766395536684003
0.16,0.22,0.1011226692705546
0.16,0.24,0.10114734100285601
0.16,0.26,0.10242984037698324
