attack_fraction,protect_fraction,efficiency
0.00,0.00,0.135663013029536
0.00,0.02,0.135663013029536
0.00,0.04,0.135663013029536
0.00,0.06,0.135663013029536
0.00,0.08,0.135663013029536
0.00,0.10,0.135663013029536
0.00,0.12,0.135663013029536
0.00,0.14,0.135663013029536
0.00,0.16,0.135663013029536
0.00,0.18,0.135663013029536
0.00,0.20,0.135663013029536
0.00,0.22,0.135663013029536
0.00,0.24,0.135663013029536
0.00,0.26,0.135663013029536
0.00,0.28,0.135663013029536
0.00,0.30,0.135663013029536
0.00,0.32,0.135663013029536
0.00,0.34,0.135663013029536
0.00,0.36,0.135663013029536
0.00,0.38,0.135663013029536
0.00,0.40,0.135663013029536
0.00,0.42,0.135663013029536
0.00,0.44,0.135663013029536
0.00,0.46,0.135663013029536
0.00,0.48,0.135663013029536
0.02,0.00,0.12802903458396556
0.02,0.02,0.1300959974792278
0.02,0.04,0.12304936929405337
0.02,0.06,0.13015430340933568
0.02,0.08,0.13133099364212902
0.02,0.10,0.13184014040453015
0.02,0.12,0.13199285356637602
0.02,0.14,0.12980085122300414
0.02,0.16,0.13172974657664804
0.02,0.18,0.13209165194247868
0.02,0.20,0.1316581120773596
0.02,0.22,0.13244409063905413
0.02,0.24,0.13117377128989088
0.02,0.26,0.13165286076333388
0.02,0.28,0.12979702228715578
0.02,0.30,0.13053452999199747
0.02,0.32,0.1308893865448852
0.02,0.34,0.13150715734468055
0.02,0.36,0.13112542323707874
0.02,0.38,0.13083249047362278
0.02,0.40,0.1345646474165819
0.02,0.42,0.13375670314513774
0.02,0.44,0.13223035589783777
0.02,0.46,0.1321925426790778
0.02,0.48,0.13317574081156874
0.04,0.00,0.11967226940117892
0.04,0.02,0.12469917283298004
0.04,0.04,0.11819422429565762
0.04,0.06,0.12312444815420194
0.04,0.08,0.12220904696947357
0.04,0.10,0.12582306071419253
0.04,0.12,0.12604872969042202
0.04,0.14,0.1274371901389346
0.04,0.16,0.12261136143411941
0.04,0.18,0.12574945889596306
0.04,0.20,0.12646540966038827
0.04,0.22,0.12623493192680563
0.04,0.24,0.1252843073218956
0.04,0.26,0.1291683459041465
0.04,0.28,0.12639506751645185
0.04,0.30,0.12971987736073903
0.04,0.32,0.1294632987746942
0.04,0.34,0.12942929367175263
0.04,0.36,0.1288619169799618
0.04,0.38,0.13117003775801875
0.04,0.40,0.13023428303874607
0.04,0.42,0.13169810266848714
0.04,0.44,0.12947540316262257
0.04,0.46,0.1333571199934347
0.04,0.48,0.13004960686558364
0.06,0.00,0.11259163957874685
0.06,0.02,0.11750818706708974
0.06,0.04,0.11511033121913501
0.06,0.06,0.11496914719166595
0.06,0.08,0.11576245185008556
0.06,0.10,0.11954655168742015
0.06,0.12,0.11980932761765886
0.06,0.14,0.12538427240877006
0.06,0.16,0.1218167842171584
0.06,0.18,0.11756740680351804
0.06,0.20,0.12058868317793467
0.06,0.22,0.12140960637282276
0.06,0.24,0.12146547821849245
0.06,0.26,0.12251369599434148
0.06,0.28,0.12345007408075256
0.06,0.30,0.12037073965788794
0.06,0.32,0.12492757533339457
0.06,0.34,0.1276934898335748
0.06,0.36,0.12162439152211821
0.06,0.38,0.1260608588320679
0.06,0.40,0.127242770322114
0.06,0.42,0.12589782743372635
0.06,0.44,0.1295311199848288
0.06,0.46,0.12804487914339935
0.06,0.48,0.1257237255792108
0.08,0.00,0.10892497909592
0.08,0.02,0.10873342715119509
0.08,0.04,0.10883024986299576
0.08,0.06,0.10474059402540062
0.08,0.08,0.10721503404491103
0.08,0.10,0.11282110237418681
0.08,0.12,0.11322627014003002
0.08,0.14,0.11942609840940352
0.08,0.16,0.11852031840864145
0.08,0.18,0.11700106213370168
0.08,0.20,0.1186867732029101
0.08,0.22,0.120352536618928
0.08,0.24,0.11995997920305161
0.08,0.26,0.11593430497513646
0.08,0.28,0.12203731514038421
0.08,0.30,0.12018445026340122
0.08,0.32,0.1187257254301231
0.08,0.34,0.12052810722275245
0.08,0.36,0.11887105491464434
0.08,0.38,0.12326046990216244
0.08,0.40,0.1278276666743904
0.08,0.42,0.12284954187809424
0.08,0.44,0.12558687111493003
0.08,0.46,0.12507254058749337
0.08,0.48,0.12306114641213628
0.10,0.00,0.0942756239102469
0.10,0.02,0.1025371061400823
0.10,0.04,0.1006961849337931
0.10,0.06,0.09692602454914165
0.10,0.08,0.09784469036419519
0.10,0.10,0.10316369524940025
0.10,0.12,0.11153055389001336
0.10,0.14,0.11092510683881443
0.10,0.16,0.11658307541380311
0.10,0.18,0.10806309323600986
0.10,0.20,0.11195274699153013
0.10,0.22,0.11516888426809442
0.10,0.24,0.1162212177184225
0.10,0.26,0.11241046891092452
0.10,0.28,0.11481390092263474
0.10,0.30,0.11985463936471161
0.10,0.32,0.11810683032863518
0.10,0.34,0.11825605545360307
0.10,0.36,0.11708900962674854
0.10,0.38,0.11802603821502566
0.10,0.40,0.12456398791523211
0.10,0.42,0.119498611488012
0.10,0.44,0.11695314643870369
0.10,0.46,0.11936566134722884
0.10,0.48,0.12356160965779636
0.12,0.00,0.09280312862393632
0.12,0.02,0.09324072971662016
0.12,0.04,0.09001830672717778
0.12,0.06,0.09834674139741761
0.12,0.08,0.09817010461689425
0.12,0.10,0.10203218338516504
0.12,0.12,0.11043647584001848
0.12,0.14,0.10225146681412209
0.12,0.16,0.1066165113443974
0.12,0.18,0.11197952390147177
0.12,0.20,0.10672639105472112
0.12,0.22,0.11365820883313153
0.12,0.24,0.1124662987870956
0.12,0.26,0.11240476608446895
0.12,0.28,0.1128357268919928
0.12,0.30,0.11157763589593381
0.12,0.32,0.11243960878601553
0.12,0.34,0.1105308841174405
0.12,0.36,0.11652553334168465
0.12,0.38,0.11435120471331664
0.12,0.40,0.11963787941608033
0.12,0.42,0.12006785615758384
0.12,0.44,0.11829414044346778
0.12,0.46,0.11903948188941973
0.12,0.48,0.1220259573047282
0.14,0.00,0.08338865769678985
0.14,0.02,0.07824756637850541
0.14,0.04,0.09044735933484341
0.14,0.06,0.08934289919886614
0.14,0.08,0.09305992683801124
0.14,0.10,0.09544137635284891
0.14,0.12,0.09717048286262757
0.14,0.14,0.10322645309742322
0.14,0.16,0.09781171153161179
0.14,0.18,0.11047760037554089
0.14,0.20,0.10924201597274821
0.14,0.22,0.10292017675358792
0.14,0.24,0.10315518923231862
0.14,0.26,0.1053876911191575
0.14,0.28,0.10934731063895922
0.14,0.30,0.10953648009268735
0.14,0.32,0.11125630503875232
0.14,0.34,0.10382473879017258
0.14,0.36,0.1107292102663279
0.14,0.38,0.11597941788033532
0.14,0.40,0.11611373294611724
0.14,0.42,0.1164729753192039
0.14,0.44,0.11360455275643122
0.14,0.46,0.11683113573758167
0.14,0.48,0.11640181929427842
0.16,0.00,0.07072671693659613
0.16,0.02,0.0798928597241901
0.16,0.04,0.09581513357923926
0.16,0.06,0.08678906774130292
0.16,0.08,0.08830727432586581
0.16,0.10,0.09163786502424483
0.16,0.12,0.09620719566011983
0.16,0.14,0.09529893175305906
0.16,0.16,0.09845988356870364
0.16,0.18,0.10280574152773614
0.16,0.20,0.10098452556089228
0.16,0.22,0.10531643474604188
0.16,0.24,0.10394828485700254
0.16,0.26,0.1087766385180359
