attack_fraction,protect_fraction,efficiency
0.00,0.00,0.135663013029536
0.00,0.02,0.135663013029536
0.00,0.04,0.135663013029536
0.00,0.06,0.135663013029536
0.00,0.08,0.135663013029536
0.00,0.10,0.135663013029536
0.00,0.12,0.135663013029536
0.00,0.14,0.135663013029536
0.00,0.16,0.135663013029536
0.00,0.18,0.135663013029536
0.00,0.20,0.135663013029536
0.00,0.22,0.135663013029536
0.00,0.24,0.135663013029536
0.00,0.26,0.135663013029536
0.00,0.28,0.135663013029536
0.00,0.30,0.135663013029536
0.00,0.32,0.135663013029536
0.00,0.34,0.135663013029536
0.00,0.36,0.135663013029536
0.00,0.38,0.135663013029536
0.00,0.40,0.135663013029536
0.00,0.42,0.135663013029536
0.00,0.44,0.135663013029536
0.00,0.46,0.135663013029536
0.00,0.48,0.135663013029536
0.02,0.00,0.13026055577293696
0.02,0.02,0.1304847875698175
0.02,0.04,0.13118373051660606
0.02,0.06,0.12594103092585435
0.02,0.08,0.12858206533229302
0.02,0.10,0.1300844829890706
0.02,0.12,0.13153771034793066
0.02,0.14,0.12759314690192602
0.02,0.16,0.1301300239293567
0.02,0.18,0.12963146919253693
0.02,0.20,0.13181990702448967
0.02,0.22,0.13151509617415022
0.02,0.24,0.12909066755103546
0.02,0.26,0.12976709239332887
0.02,0.28,0.13160453693737217
0.02,0.30,0.13025612235633083
0.02,0.32,0.12912700429834642
0.02,0.34,0.1319059899338539
0.02,0.36,0.13054547369452796
0.02,0.38,0.1305300163357949
0.02,0.40,0.13312240121097976
0.02,0.42,0.1320801074175993
0.02,0.44,0.13283442541034915
0.02,0.46,0.1324199021722448
0.02,0.48,0.13243244608124458
0.04,0.00,0.12156899931578533
0.04,0.02,0.12017559614253
0.04,0.04,0.1160078853677401
0.04,0.06,0.12147339931549146
0.04,0.08,0.12164019850233738
0.04,0.10,0.12500366476735603
0.04,0.12,0.1269920168004415
0.04,0.14,0.1253135905639011
0.04,0.16,0.1259442819691446
0.04,0.18,0.12107618612166278
0.04,0.20,0.12392910809651966
0.04,0.22,0.12464348642073234
0.04,0.24,0.1254195491077642
0.04,0.26,0.1234454728022171
0.04,0.28,0.12460778393122829
0.04,0.30,0.12699535202114354
0.04,0.32,0.12154351810086021
0.04,0.34,0.1234502469806307
0.04,0.36,0.12524835026708536
0.04,0.38,0.12855349054204393
0.04,0.40,0.1312386419178189
0.04,0.42,0.12675459328831534
0.04,0.44,0.12699534774566365
0.04,0.46,0.1267262154854686
0.04,0.48,0.1291966195732816
0.06,0.00,0.11277927259443336
0.06,0.02,0.10961938127392794
0.06,0.04,0.11255793402840542
0.06,0.06,0.11415116616141181
0.06,0.08,0.11553803416401272
0.06,0.10,0.11058993373706613
0.06,0.12,0.11078521988637202
0.06,0.14,0.11537604600343385
0.06,0.16,0.11668358182794467
0.06,0.18,0.1134804741513423
0.06,0.20,0.11952993240688456
0.06,0.22,0.1136392595454567
0.06,0.24,0.11814643708115155
0.06,0.26,0.1177996258694998
0.06,0.28,0.11869837768407436
0.06,0.30,0.1221082670861389
0.06,0.32,0.11475966691291022
0.06,0.34,0.11319714539670714
0.06,0.36,0.12039245227180687
0.06,0.38,0.12201852832014597
0.06,0.40,0.12190582658825137
0.06,0.42,0.12534505959397854
0.06,0.44,0.12085976162669805
0.06,0.46,0.12025585871705854
0.06,0.48,0.12194006208872335
0.08,0.00,0.101647552297414
0.08,0.02,0.10818306714916262
0.08,0.04,0.10699503215695957
0.08,0.06,0.10157879097792606
0.08,0.08,0.1157305476928044
0.08,0.10,0.10613917614538863
0.08,0.12,0.10675248523373457
0.08,0.14,0.10771929682589772
0.08,0.16,0.10851087424418775
0.08,0.18,0.11186855084671979
0.08,0.20,0.10992093544320244
0.08,0.22,0.1112050558956699
0.08,0.24,0.1102778552530026
0.08,0.26,0.11298419087331543
0.08,0.28,0.11698843707820483
0.08,0.30,0.11261385900588912
0.08,0.32,0.11580609552076629
0.08,0.34,0.10952215034181745
0.08,0.36,0.11806228921449258
0.08,0.38,0.1129407599470044
0.08,0.40,0.1160676250218344
0.08,0.42,0.11706332777257415
0.08,0.44,0.12111130666746908
0.08,0.46,0.12269640530752687
0.08,0.48,0.12276531366884473
0.10,0.00,0.09557649727818132
0.10,0.02,0.09725142851829675
0.10,0.04,0.0946032432230588
0.10,0.06,0.101202230492766
0.10,0.08,0.09917405508831231
0.10,0.10,0.10016001120673627
0.10,0.12,0.10295552502960026
0.10,0.14,0.10308644273676795
0.10,0.16,0.10504623793448697
0.10,0.18,0.10078970206401905
0.10,0.20,0.10800955632651912
0.10,0.22,0.10280494432090766
0.10,0.24,0.10658117928449076
0.10,0.26,0.10308718655159507
0.10,0.28,0.10803406211594987
0.10,0.30,0.11428610241328233
0.10,0.32,0.10115881188195328
0.10,0.34,0.11468150939685103
0.10,0.36,0.11051830544845782
0.10,0.38,0.10426233677936517
0.10,0.40,0.10987866874758748
0.10,0.42,0.11232287824873619
0.10,0.44,0.11243556285678513
0.10,0.46,0.11515422472218506
0.10,0.48,0.11945558478904392
0.12,0.00,0.08569138810690542
0.12,0.02,0.09485842969452657
0.12,0.04,0.09135934441495548
0.12,0.06,0.09144702492636267
0.12,0.08,0.09739259417212034
0.12,0.10,0.09792755194038255
0.12,0.12,0.10158105818171356
0.12,0.14,0.09717826296844072
0.12,0.16,0.0983703332452161
0.12,0.18,0.10115021795944126
0.12,0.20,0.1019488883890081
0.12,0.22,0.09870622957021671
0.12,0.24,0.10253544555391034
0.12,0.26,0.10252802185547687
0.12,0.28,0.10356631839973955
0.12,0.30,0.1063465544344099
0.12,0.32,0.10961689615924938
0.12,0.34,0.11522897566312995
0.12,0.36,0.10872651393279278
0.12,0.38,0.11463893599704789
0.12,0.40,0.10818867543791129
0.12,0.42,0.10973279278017407
0.12,0.44,0.10937471439329541
0.12,0.46,0.11085800783474228
0.12,0.48,0.1091380049636365
0.14,0.00,0.07808345633090066
0.14,0.02,0.08148396506698334
0.14,0.04,0.07630693930054935
0.14,0.06,0.07636681832873199
0.14,0.08,0.0776042278209634
0.14,0.10,0.0866628578334437
0.14,0.12,0.09095510343105778
0.14,0.14,0.08883141524703969
0.14,0.16,0.0836753790444923
0.14,0.18,0.08995253085497186
0.14,0.20,0.09079094780892465
0.14,0.22,0.08867982310593685
0.14,0.24,0.08518694518879161
0.14,0.26,0.0934398864397037
0.14,0.28,0.09066004596953404
0.14,0.30,0.10167632338716123
0.14,0.32,0.09850139305475662
0.14,0.34,0.09254356542979356
0.14,0.36,0.0942805691254455
0.14,0.38,0.10246473373300921
0.14,0.40,0.10373789454703261
0.14,0.42,0.10325464300509204
0.14,0.44,0.10961470148064623
0.14,0.46,0.11109953060122787
0.14,0.48,0.10310249865653834
0.16,0.00,0.06779483524882327
0.16,0.02,0.06709364672528562
0.16,0.04,0.0833117428953712
0.16,0.06,0.07941096484062612
0.16,0.08,0.07074781049339998
0.16,0.10,0.07425176348689813
0.16,0.12,0.08010372115324958
0.16,0.14,0.0869410428923352
0.16,0.16,0.09723579963851121
0.16,0.18,0.08491866017179024
0.16,0.20,0.08784259865338045
0.16,0.22,0.08563201026945477
0.16,0.24,0.08291667812733676
0.16,0.26,0.0862523557607424
