车站名称,英文名称,站间距离（km）,累计距离（km）,开通时间
崔家店,Cuijiadian,-,0,2017-12-6
双店路,Shuangdian Road,1.012,1.012,2017-12-6
槐树店,Huaishudian,0.855,1.867,2017-12-6
迎晖路,Yinghui Road,1.523,3.390,2017-12-6
成都东客站,East Chengdu Railway Station,1.090,4.480,2017-12-6
大观,Daguan,1.237,5.717,2017-12-6
狮子山,Shizishan,1.125,6.842,2017-12-6
四川师大,Sichuan Normal University,1.144,7.986,2017-12-6
琉璃场,Liulichang,1.553,9.539,2017-12-6
三瓦窑,Sanwayao,2.419,11.958,2017-12-6
火车南站,South Railway Station,1.018,12.976,2017-12-6
神仙树,Shenxianshu,1.944,14.920,2017-12-6
高朋大道,Gaopeng Avenue,1.784,16.704,2017-12-6
太平园,Taipingyuan,1.443,18.147,2017-12-6
武侯大道,Wuhou Avenue,1.467,19.614,2017-12-6
龙爪堰,Longzhuayan,1.672,21.286,2017-12-6
东坡路,Dongpo Road,1.061,22.347,2017-12-6
文化宫,Culture Palace,1.184,23.531,2017-12-6
金沙博物馆,Jinsha Site Museum,0.759,24.290,2017-12-6
一品天下,Yipintianxia,1.543,25.843,2017-12-6
茶店子,Chadianzi,1.225,27.058,2017-12-6
花照壁,Huazhaobi,1.106,28.164,2017-12-6
西南交大,Southwest Jiaotong University,0.853,29.017,2017-12-6
九里堤,Jiulidi,0.768,29.785,2017-12-6
北站西二路,2nd Beizhan Road West,0.879,30.664,2017-12-6
火车北站,North Railway Station,0.738,31.402,2017-12-6
驷马桥,Simaqiao,1.965,33.367,2017-12-6
府青路,Fuqing Road,1.285,34.652,2017-12-6
八里庄,Balizhuang,1.308,35.960,2017-12-6
二仙桥,Erxianqiao Bridge,1.050,37.010,2017-12-6
理工大学,Chengdu University of Technology,1.188,38.198,2017-12-6
崔家店,Cuijiadian,0.931,39.129,2017-12-6
