车站名称,英文名称,站间距离（km）,累计距离（km）,开通时间
犀浦,Xipu,-,0,2013-6-8
天河路,Tianhe Road,1.8,1.8,2013-6-8
百草路,Baicao Road,1.7,3.5,2013-6-8
金周路,Jinzhou Road,2.3,5.8,2013-6-8
金科北路,Jinke Road North,1.1,6.9,2013-6-8
迎宾大道,Yingbin Avenue,1.1,8.0,2013-6-8
茶店子客运站,Chadianzi Bus Terminal,1.0,9.0,2012-9-16
羊犀立交,Yangxi Flyover,1.4,10.4,2012-9-16
一品天下,Yipintianxia,0.9,11.3,2012-9-16
蜀汉路东,East Shuhan Road,1.2,12.5,2012-9-16
白果林,Baiguolin,1.1,13.6,2012-9-16
中医大省医院,Chengdu University of TCM & Sichuan Provincial People's Hospital,1.2,14.8,2012-9-16
通惠门,Tonghuimen,0.9,15.7,2012-9-16
人民公园,People's Park,0.8,16.5,2012-9-16
天府广场,Tianfu Square,0.9,17.4,2012-9-16
春熙路,Chunxi Road,1.3,18.7,2012-9-16
东门大桥,Dongmen Bridge,1.0,19.7,2012-9-16
牛王庙,Niuwangmiao,0.8,20.5,2012-9-16
牛市口,Niushikou,1.6,22.1,2012-9-16
东大路,Dongda Road,0.8,22.9,2012-9-16
塔子山公园,Tazishan Park,1.1,24.0,2012-9-16
成都东客站,Chengdu East Railway Station,1.4,25.4,2012-9-16
成渝立交,Chengyu Flyover,0.9,26.3,2012-9-16
惠王陵,Huiwangling,1.4,27.7,2012-9-16
洪河,Honghe,1.0,28.7,2012-9-16
成都行政学院,Chengdu Institute of Public Administration,1.7,30.4,2012-9-16
大面铺,Damianpu,3.0,33.4,2014-10-26
连山坡,Lianshanpo,1.2,34.6,2014-10-26
界牌,Jiepai,1.3,35.9,2014-10-26
书房,Shufang,1.9,37.8,2014-10-26
龙平路,Longping Road,2.0,39.8,2014-10-26
龙泉驿,Longquanyi,1.8,41.6,2014-10-26
