Source,Target,Type,Id,Label,timeset,Weight
升仙湖,火车北站,Undirected,0,1.9,,1.9
火车北站,人民北路,Undirected,1,1.1,,1.1
人民北路,文殊院,Undirected,2,1.7,,1.7
文殊院,骡马市,Undirected,3,0.8,,0.8
骡马市,天府广场,Undirected,4,0.9,,0.9
骡马市,宽窄巷子,Undirected,5,1.5,,1.5
骡马市,太升南路,Undirected,6,1,,1
天府广场,锦江宾馆,Undirected,7,0.9,,0.9
天府广场,人民公园,Undirected,8,0.9,,0.9
天府广场,春熙路,Undirected,9,1.3,,1.3
锦江宾馆,华西坝,Undirected,10,0.8,,0.8
华西坝,省体育馆,Undirected,11,1.1,,1.1
省体育馆,倪家桥,Undirected,12,0.9,,0.9
省体育馆,磨子桥,Undirected,13,1.1,,1.1
省体育馆,衣冠庙,Undirected,14,1.2,,1.2
倪家桥,桐梓林,Undirected,15,1.1,,1.1
桐梓林,火车南站,Undirected,16,1.2,,1.2
火车南站,高新,Undirected,17,1.4,,1.4
高新,金融城,Undirected,18,1.3,,1.3
金融城,孵化园,Undirected,19,0.7,,0.7
孵化园,锦城广场,Undirected,20,1,,1
锦城广场,世纪城,Undirected,21,1.5,,1.5
世纪城,天府三街,Undirected,22,1,,1
天府三街,天府五街,Undirected,23,1,,1
天府五街,华府大道,Undirected,24,1.3,,1.3
华府大道,四河,Undirected,25,1.1,,1.1
四河,广都,Undirected,26,1.1,,1.1
犀浦,天河路,Undirected,27,1.8,,1.8
天河路,百草路,Undirected,28,1.7,,1.7
百草路,金周路,Undirected,29,2.3,,2.3
金周路,金科北路,Undirected,30,1.1,,1.1
金科北路,迎宾大道,Undirected,31,1.1,,1.1
迎宾大道,茶店子客运站,Undirected,32,1,,1
茶店子客运站,羊犀立交,Undirected,33,1.4,,1.4
羊犀立交,一品天下,Undirected,34,0.9,,0.9
一品天下,蜀汉路东,Undirected,35,1.2,,1.2
蜀汉路东,白果林,Undirected,36,1.1,,1.1
白果林,中医大省医院,Undirected,37,1.2,,1.2
中医大省医院,通惠门,Undirected,38,0.9,,0.9
中医大省医院,草堂北路,Undirected,39,1.2,,1.2
中医大省医院,宽窄巷子,Undirected,40,1,,1
通惠门,人民公园,Undirected,41,0.8,,0.8
春熙路,东门大桥,Undirected,42,1,,1
春熙路,市二医院,Undirected,43,1,,1
春熙路,新南门,Undirected,44,1.1,,1.1
东门大桥,牛王庙,Undirected,45,0.8,,0.8
牛王庙,牛市口,Undirected,46,1.6,,1.6
牛市口,东大路,Undirected,47,0.8,,0.8
东大路,塔子山公园,Undirected,48,1.1,,1.1
塔子山公园,成都东客站,Undirected,49,1.4,,1.4
成都东客站,成渝立交,Undirected,50,0.9,,0.9
成渝立交,惠王陵,Undirected,51,1.4,,1.4
惠王陵,洪河,Undirected,52,1,,1
洪河,成都行政学院,Undirected,53,1.7,,1.7
成都行政学院,大面铺,Undirected,54,3,,3
大面铺,连山坡,Undirected,55,1.2,,1.2
连山坡,界牌,Undirected,56,1.3,,1.3
界牌,书房,Undirected,57,1.9,,1.9
书房,龙平路,Undirected,58,2,,2
龙平路,龙泉驿,Undirected,59,1.8,,1.8
军区总医院,熊猫大道,Undirected,60,2.2,,2.2
熊猫大道,动物园,Undirected,61,1.4,,1.4
动物园,昭觉寺南路,Undirected,62,1.4,,1.4
昭觉寺南路,驷马桥,Undirected,63,1,,1
驷马桥,李家沱,Undirected,64,0.7,,0.7
李家沱,前锋路,Undirected,65,1.2,,1.2
前锋路,红星桥,Undirected,66,0.9,,0.9
红星桥,市二医院,Undirected,67,1.4,,1.4
市二医院,太升南路,Undirected,68,1.1,,1.1
市二医院,玉双路,Undirected,69,1.7,,1.7
新南门,磨子桥,Undirected,70,0.7,,0.7
衣冠庙,高升桥,Undirected,71,1.2,,1.2
高升桥,红牌楼,Undirected,72,1.7,,1.7
红牌楼,太平园,Undirected,73,1.4,,1.4
太平园,簇锦,Undirected,74,2.1,,2.1
万盛,杨柳河,Undirected,75,1.5,,1.5
杨柳河,凤溪河,Undirected,76,1.4,,1.4
凤溪河,南熏大道,Undirected,77,1.2,,1.2
南熏大道,光华公园,Undirected,78,1.1,,1.1
光华公园,涌泉,Undirected,79,1.5,,1.5
涌泉,凤凰大街,Undirected,80,1.6,,1.6
凤凰大街,马厂坝,Undirected,81,2.3,,2.3
马厂坝,非遗博览园,Undirected,82,1,,1
非遗博览园,蔡桥,Undirected,83,2.2,,2.2
蔡桥,中坝,Undirected,84,2,,2
中坝,成都西站,Undirected,85,1.9,,1.9
成都西站,清江西路,Undirected,86,2.5,,2.5
清江西路,文化宫,Undirected,87,1.2,,1.2
文化宫,西南财大,Undirected,88,1,,1
西南财大,草堂北路,Undirected,89,0.8,,0.8
玉双路,双桥路,Undirected,90,1.6,,1.6
双桥路,万年场,Undirected,91,0.7,,0.7
万年场,槐树店,Undirected,92,2.2,,2.2
槐树店,来龙,Undirected,93,2.4,,2.4
来龙,十陵,Undirected,94,0.8,,0.8
十陵,成都大学,Undirected,95,0.9,,0.9
成都大学,明蜀王陵,Undirected,96,1.5,,1.5
明蜀王陵,西河,Undirected,97,2.3,,2.3
簇锦,华兴,Undirected,98,1.6,,1.6
华兴,金花,Undirected,99,3.4,,3.4
金花,双流机场1航站楼,Undirected,100,2,,2
双流机场1航站楼,双流机场2航站楼,Undirected,101,1,,1
