name,latitude,longitude
升仙湖,30.704625,104.083474
火车北站,30.695568,104.073972
人民北路,30.685078,104.073089
文殊院,30.672535,104.068036
骡马市,30.666514,104.065617
天府广场,30.657453,104.065751
锦江宾馆,30.650046,104.066053
华西坝,30.642378,104.065989
省体育馆,30.633361,104.066606
倪家桥,30.624773,104.066885
桐梓林,30.615310,104.067115
火车南站,30.605459,104.067393
高新,30.594370,104.063832
金融城,30.582579,104.064147
孵化园,30.575873,104.064313
锦城广场,30.567722,104.066528
世纪城,30.554870,104.068930
天府三街,30.546203,104.069204
天府五街,30.537107,104.069510
华府大道,30.525746,104.069836
四河,30.516133,104.070125
广都,30.510752,104.075713
犀浦,30.758172,103.971433
天河路,30.745883,103.976163
百草路,30.733062,103.979327
金周路,30.721638,103.996175
金科北路,30.720762,104.006635
迎宾大道,30.713168,104.013528
茶店子客运站,30.705986,104.013692
羊犀立交,30.693913,104.012655
一品天下,30.689007,104.019717
蜀汉路东,30.682868,104.029048
白果林,30.673851,104.033278
中医大省医院,30.666181,104.040600
通惠门,30.662088,104.048523
人民公园,30.659324,104.056779
天府广场,30.657453,104.065751
春熙路,30.653417,104.079905
东门大桥,30.648192,104.087308
牛王庙,30.644976,104.094483
牛市口,30.637912,104.107662
东大路,30.633295,104.112758
塔子山公园,30.629465,104.122922
成都东客站,30.622395,104.140903
成渝立交,30.624822,104.147432
惠王陵,30.612075,104.152086
洪河,30.605015,104.157510
成都行政学院,30.596975,104.170954
大面铺,30.592400,104.201298
连山坡,30.587580,104.212757
界牌,30.582802,104.225134
书房,30.575626,104.242134
龙平路,30.572923,104.258988
龙泉驿,30.560158,104.268442
军区总医院,30.744878,104.114043
熊猫大道,30.726768,104.108789
动物园,30.713492,104.103448
昭觉寺南路,30.713601,104.103303
驷马桥,30.695192,104.093482
李家沱,30.6893510000,104.0947980000
前锋路,30.679771,104.092619
红星桥,30.671000,104.090623
市二医院,30.660347,104.084784
春熙路,30.653417,104.079905
新南门,30.644803,104.073997
磨子桥,30.635653,104.076105
省体育馆,30.633361,104.066606
衣冠庙,30.635065,104.051367
高升桥,30.640384,104.042175
红牌楼,30.635673,104.030994
太平园,30.625038,104.020731
万盛,30.572269,104.066541
杨柳河,30.680600,103.830369
凤溪河,30.572269,104.066541
南熏大道,30.572269,104.066541
光华公园,30.572269,104.066541
涌泉,30.672415,103.879166
凤凰大街,30.572269,104.066541
马厂坝,30.572269,104.066541
非遗博览园,30.674086,103.922478
蔡桥,30.669474,103.945088
中坝,30.673492,103.964110
成都西站,30.683665,103.976576
清江西路,30.675684,103.999680
文化宫,30.672267,104.009400
西南财大,30.670475,104.020126
草堂北路,30.669093,104.028178
中医大省医院,30.666181,104.040600
宽窄巷子,30.665399,104.050663
骡马市,30.666514,104.065617
太升南路,30.664767,104.076578
市二医院,30.660347,104.084784
玉双路,30.653452,104.099315
双桥路,30.646975,104.113278
万年场,30.644406,104.118831
槐树店,30.649584,104.145294
来龙,30.651681,104.173326
十陵,30.572269,104.066541
成都大学,30.651446,104.189026
明蜀王陵,30.648091,104.194180
西河,30.648448,104.205957
太平园,30.625038,104.020731
簇锦,30.572269,104.066541
华兴,30.572269,104.066541
金花,30.592057,103.970935
双流机场1航站楼,30.569655,103.954893
双流机场2航站楼,30.569655,103.954893
崔家店,30.654816,104.138372
双店路,30.646975,104.113278
槐树店,30.649584,104.145294
迎晖路,30.636286,104.126934
成都东客站,30.622395,104.140903
大观,30.845705,103.577484
狮子山,30.616241,104.124021
四川师大,30.572269,104.066541
琉璃场,30.599404,104.094916
三瓦窑,30.605682,104.083212
火车南站,30.605459,104.067393
神仙树,30.609314,104.048647
高朋大道,30.622383,104.037955
太平园,30.625038,104.020731
武侯大道,30.642328,104.023189
龙爪堰,30.572269,104.066541
东坡路,30.661165,104.004289
文化宫,30.672267,104.009400
金沙博物馆,30.572269,104.066541
一品天下,30.689007,104.019717
茶店子,30.705986,104.013692
花照壁,30.572269,104.066541
西南交大,30.698733,104.053006
九里堤,30.702250,104.052315
北站西二路,30.689876,104.066136
火车北站,30.695568,104.073972
驷马桥,30.695192,104.093482
府青路,30.580364,103.631671
八里庄,30.692937,104.112622
二仙桥,30.572269,104.066541
理工大学,30.572269,104.066541
崔家店,30.654816,104.138372
