attack_fraction,protect_fraction,efficiency
0.00,0.00,0.135663013029536
0.02,0.00,0.11667895784798202
0.04,0.00,0.09149174586311663
0.06,0.00,0.055942863048680326
0.08,0.00,0.04280114160854032
0.10,0.00,0.030434502081560837
0.12,0.00,0.024427561621751203
0.14,0.00,0.023643893692411207
0.16,0.00,0.022888175066573133
0.18,0.00,0.022412693412198374
0.20,0.00,0.021398822723807276
0.22,0.00,0.02105903252449306
0.24,0.00,0.02122851550442492
0.26,0.00,0.020062490994168018
0.28,0.00,0.020817446867625627
0.30,0.00,0.020122579906060263
0.32,0.00,0.020322814655861127
0.34,0.00,0.01861481529277374
0.36,0.00,0.018880452646275428
0.38,0.00,0.018948575442936343
0.40,0.00,0.01932229685654343
0.42,0.00,0.019034438110142334
0.44,0.00,0.01753166483984898
0.46,0.00,0.017855527557020093
0.48,0.00,0.01763723544973545

