attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09444426485627173
0.02,0.00,0.08856828703774272
0.04,0.00,0.0772607618248089
0.06,0.00,0.07183905517270187
0.08,0.00,0.06337582621497842
0.10,0.00,0.06344906992839025
0.12,0.00,0.0560004682435124
0.14,0.00,0.049105446036005994
0.16,0.00,0.05107648407181349
0.18,0.00,0.04213921778407564
0.20,0.00,0.034503042059595423
0.22,0.00,0.03605405558776768
0.24,0.00,0.03468603163623323
0.26,0.00,0.028447025906934896
0.28,0.00,0.026445419513032108
0.30,0.00,0.027409581703389134
0.32,0.00,0.025473831312120738
0.34,0.00,0.019787868615142395
0.36,0.00,0.01904550386357039
0.38,0.00,0.01644136649167993
0.40,0.00,0.01725366790180797
0.42,0.00,0.016437881161149616
0.44,0.00,0.015694991541133668
0.46,0.00,0.0157367183915312
0.48,0.00,0.014612595989017676
