attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09444426485627172
0.02,0.00,0.07257373230645102
0.04,0.00,0.043705689428331695
0.06,0.00,0.040334850474016415
0.08,0.00,0.03302020042475636
0.10,0.00,0.02473587852989716
0.12,0.00,0.02356494422734134
0.14,0.00,0.018185503009134036
0.16,0.00,0.018017211870649707
0.18,0.00,0.01777542853450152
0.20,0.00,0.018305922185204656
0.22,0.00,0.0170828186646016
0.24,0.00,0.01743750312507982
0.26,0.00,0.016995996976089212
0.28,0.00,0.017278216307938892
0.30,0.00,0.014443137947659203
0.32,0.00,0.014560129413070623
0.34,0.00,0.014850964076132546
0.36,0.00,0.015053872254959232
0.38,0.00,0.015245085276118236
0.40,0.00,0.01523771760885161
0.42,0.00,0.015347533812579363
0.44,0.00,0.014411187339364097
0.46,0.00,0.014482683982683944
0.48,0.00,0.014502911618296203
