attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09444426485627173
0.02,0.00,0.08812513861660368
0.04,0.00,0.07684976696582249
0.06,0.00,0.0716126098791841
0.08,0.00,0.06600529963814872
0.10,0.00,0.05949647261846667
0.12,0.00,0.05192387654996352
0.14,0.00,0.04518070744541582
0.16,0.00,0.04759769133198748
0.18,0.00,0.040935590706476
0.20,0.00,0.038894559546178264
0.22,0.00,0.03611044418241639
0.24,0.00,0.03535365274775633
0.26,0.00,0.032222035349744
0.28,0.00,0.025085028807168445
0.30,0.00,0.026856299460916506
0.32,0.00,0.020313472661322506
0.34,0.00,0.021571037189521095
0.36,0.00,0.020078164069000516
0.38,0.00,0.02158076789171525
0.40,0.00,0.01642867456028236
0.42,0.00,0.018479255350763526
0.44,0.00,0.01532428953293478
0.46,0.00,0.013493506133116498
0.48,0.00,0.015298528686351264
