attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08330535534210488
0.02,0.02,0.09061557287536594
0.02,0.04,0.09061557287536594
0.02,0.06,0.09061557287536594
0.02,0.08,0.09061557287536594
0.02,0.10,0.09061557287536594
0.02,0.12,0.09061557287536594
0.02,0.14,0.09061557287536594
0.02,0.16,0.09061557287536594
0.02,0.18,0.09061557287536594
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.07614391824097726
0.04,0.02,0.0857397448924843
0.04,0.04,0.09061557287536594
0.04,0.06,0.09061557287536594
0.04,0.08,0.09061557287536594
0.04,0.10,0.09061557287536594
0.04,0.12,0.09061557287536594
0.04,0.14,0.09061557287536594
0.04,0.16,0.09061557287536594
0.04,0.18,0.09061557287536594
0.04,0.20,0.09061557287536594
0.04,0.22,0.09061557287536594
0.04,0.24,0.09061557287536594
0.04,0.26,0.09061557287536594
0.04,0.28,0.09061557287536594
0.04,0.30,0.09061557287536594
0.04,0.32,0.09061557287536594
0.04,0.34,0.09061557287536594
0.04,0.36,0.09061557287536594
0.04,0.38,0.09061557287536594
0.04,0.40,0.09061557287536594
0.04,0.42,0.09061557287536594
0.04,0.44,0.09061557287536594
0.04,0.46,0.09061557287536594
0.04,0.48,0.09061557287536594
0.06,0.00,0.07329155346430036
0.06,0.02,0.0812741718216035
0.06,0.04,0.0864518045051998
0.06,0.06,0.09061557287536594
0.06,0.08,0.09061557287536594
0.06,0.10,0.09061557287536594
0.06,0.12,0.09061557287536594
0.06,0.14,0.09061557287536594
0.06,0.16,0.09061557287536594
0.06,0.18,0.09061557287536594
0.06,0.20,0.09061557287536594
0.06,0.22,0.09061557287536594
0.06,0.24,0.09061557287536594
0.06,0.26,0.09061557287536594
0.06,0.28,0.09061557287536594
0.06,0.30,0.09061557287536594
0.06,0.32,0.09061557287536594
0.06,0.34,0.09061557287536594
0.06,0.36,0.09061557287536594
0.06,0.38,0.09061557287536594
0.06,0.40,0.09061557287536594
0.06,0.42,0.09061557287536594
0.06,0.44,0.09061557287536594
0.06,0.46,0.09061557287536594
0.06,0.48,0.09061557287536594
0.08,0.00,0.03830646094975491
0.08,0.02,0.05560849293024602
0.08,0.04,0.07345846851717994
0.08,0.06,0.07604697899495093
0.08,0.08,0.09061557287536594
0.08,0.10,0.09061557287536594
0.08,0.12,0.09061557287536594
0.08,0.14,0.09061557287536594
0.08,0.16,0.09061557287536594
0.08,0.18,0.09061557287536594
0.08,0.20,0.09061557287536594
0.08,0.22,0.09061557287536594
0.08,0.24,0.09061557287536594
0.08,0.26,0.09061557287536594
0.08,0.28,0.09061557287536594
0.08,0.30,0.09061557287536594
0.08,0.32,0.09061557287536594
0.08,0.34,0.09061557287536594
0.08,0.36,0.09061557287536594
0.08,0.38,0.09061557287536594
0.08,0.40,0.09061557287536594
0.08,0.42,0.09061557287536594
0.08,0.44,0.09061557287536594
0.08,0.46,0.09061557287536594
0.08,0.48,0.09061557287536594
0.10,0.00,0.030598814691153945
0.10,0.02,0.044896097497262644
0.10,0.04,0.059209856824843275
0.10,0.06,0.062007290018195174
0.10,0.08,0.07325649619608596
0.10,0.10,0.09061557287536594
0.10,0.12,0.09061557287536594
0.10,0.14,0.09061557287536594
0.10,0.16,0.09061557287536594
0.10,0.18,0.09061557287536594
0.10,0.20,0.09061557287536594
0.10,0.22,0.09061557287536594
0.10,0.24,0.09061557287536594
0.10,0.26,0.09061557287536594
0.10,0.28,0.09061557287536594
0.10,0.30,0.09061557287536594
0.10,0.32,0.09061557287536594
0.10,0.34,0.09061557287536594
0.10,0.36,0.09061557287536594
0.10,0.38,0.09061557287536594
0.10,0.40,0.09061557287536594
0.10,0.42,0.09061557287536594
0.10,0.44,0.09061557287536594
0.10,0.46,0.09061557287536594
0.10,0.48,0.09061557287536594
0.12,0.00,0.029068465482261118
0.12,0.02,0.043160441339151416
0.12,0.04,0.05120011291279398
0.12,0.06,0.05418437241450492
0.12,0.08,0.06592998122785419
0.12,0.10,0.07605312311095709
0.12,0.12,0.09061557287536594
0.12,0.14,0.09061557287536594
0.12,0.16,0.09061557287536594
0.12,0.18,0.09061557287536594
0.12,0.20,0.09061557287536594
0.12,0.22,0.09061557287536594
0.12,0.24,0.09061557287536594
0.12,0.26,0.09061557287536594
0.12,0.28,0.09061557287536594
0.12,0.30,0.09061557287536594
0.12,0.32,0.09061557287536594
0.12,0.34,0.09061557287536594
0.12,0.36,0.09061557287536594
0.12,0.38,0.09061557287536594
0.12,0.40,0.09061557287536594
0.12,0.42,0.09061557287536594
0.12,0.44,0.09061557287536594
0.12,0.46,0.09061557287536594
0.12,0.48,0.09061557287536594
0.14,0.00,0.028420222315861252
0.14,0.02,0.04264820304773776
0.14,0.04,0.050860705353756
0.14,0.06,0.05385891016298764
0.14,0.08,0.06583368423053085
0.14,0.10,0.07593444683538557
0.14,0.12,0.07834602673195996
0.14,0.14,0.09061557287536594
0.14,0.16,0.09061557287536594
0.14,0.18,0.09061557287536594
0.14,0.20,0.09061557287536594
0.14,0.22,0.09061557287536594
0.14,0.24,0.09061557287536594
0.14,0.26,0.09061557287536594
0.14,0.28,0.09061557287536594
0.14,0.30,0.09061557287536594
0.14,0.32,0.09061557287536594
0.14,0.34,0.09061557287536594
0.14,0.36,0.09061557287536594
0.14,0.38,0.09061557287536594
0.14,0.40,0.09061557287536594
0.14,0.42,0.09061557287536594
0.14,0.44,0.09061557287536594
0.14,0.46,0.09061557287536594
0.14,0.48,0.09061557287536594
0.16,0.00,0.02639148268683639
0.16,0.02,0.039548123297159656
0.16,0.04,0.04755019598192614
0.16,0.06,0.05035688610013692
0.16,0.08,0.06216430063727132
0.16,0.10,0.07231119607283763
0.16,0.12,0.07401817826463548
0.16,0.14,0.07483353541721854
0.16,0.16,0.09061557287536594
0.16,0.18,0.09061557287536594
0.16,0.20,0.09061557287536594
0.16,0.22,0.09061557287536594
0.16,0.24,0.09061557287536594
0.16,0.26,0.09061557287536594
0.16,0.28,0.09061557287536594
0.16,0.30,0.09061557287536594
0.16,0.32,0.09061557287536594
0.16,0.34,0.09061557287536594
0.16,0.36,0.09061557287536594
0.16,0.38,0.09061557287536594
0.16,0.40,0.09061557287536594
0.16,0.42,0.09061557287536594
0.16,0.44,0.09061557287536594
0.16,0.46,0.09061557287536594
0.16,0.48,0.09061557287536594
0.18,0.00,0.02494877849940176
0.18,0.02,0.03097333183382039
0.18,0.04,0.03739351543786218
0.18,0.06,0.03964095730759792
0.18,0.08,0.05481501490122515
0.18,0.10,0.0647008264294809
0.18,0.12,0.06667818464788919
0.18,0.14,0.06760281144007776
0.18,0.16,0.07363022805135253
0.18,0.18,0.09061557287536594
0.18,0.20,0.09061557287536594
0.18,0.22,0.09061557287536594
0.18,0.24,0.09061557287536594
0.18,0.26,0.09061557287536594
0.18,0.28,0.09061557287536594
0.18,0.30,0.09061557287536594
0.18,0.32,0.09061557287536594
0.18,0.34,0.09061557287536594
0.18,0.36,0.09061557287536594
0.18,0.38,0.09061557287536594
0.18,0.40,0.09061557287536594
0.18,0.42,0.09061557287536594
0.18,0.44,0.09061557287536594
0.18,0.46,0.09061557287536594
0.18,0.48,0.09061557287536594
0.20,0.00,0.024191289358135675
0.20,0.02,0.03030902466001469
0.20,0.04,0.03676364293924421
0.20,0.06,0.03910847326119608
0.20,0.08,0.05420898040849688
0.20,0.10,0.0643713206513218
0.20,0.12,0.06635750884836093
0.20,0.14,0.06730984943031867
0.20,0.16,0.06858605478536037
0.20,0.18,0.07577180703344685
0.20,0.20,0.09061557287536594
0.20,0.22,0.09061557287536594
0.20,0.24,0.09061557287536594
0.20,0.26,0.09061557287536594
0.20,0.28,0.09061557287536594
0.20,0.30,0.09061557287536594
0.20,0.32,0.09061557287536594
0.20,0.34,0.09061557287536594
0.20,0.36,0.09061557287536594
0.20,0.38,0.09061557287536594
0.20,0.40,0.09061557287536594
0.20,0.42,0.09061557287536594
0.20,0.44,0.09061557287536594
0.20,0.46,0.09061557287536594
0.20,0.48,0.09061557287536594
0.22,0.00,0.0176549987979338
0.22,0.02,0.022427273432456575
0.22,0.04,0.02541962759793219
0.22,0.06,0.028839231257802387
0.22,0.08,0.04071379390177045
0.22,0.10,0.04971533045619899
0.22,0.12,0.05148067536993592
0.22,0.14,0.052572529065108384
0.22,0.16,0.054459926037250646
0.22,0.18,0.0608911937815744
