attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08330535534210488
0.02,0.02,0.08834554098134521
0.02,0.04,0.08834554098134521
0.02,0.06,0.08872844284261329
0.02,0.08,0.08872844284261329
0.02,0.10,0.08872844284261329
0.02,0.12,0.08872844284261329
0.02,0.14,0.08872844284261329
0.02,0.16,0.08872844284261329
0.02,0.18,0.08872844284261329
0.02,0.20,0.08872844284261329
0.02,0.22,0.08872844284261329
0.02,0.24,0.08996909483614839
0.02,0.26,0.08996909483614839
0.02,0.28,0.08996909483614839
0.02,0.30,0.08996909483614839
0.02,0.32,0.08996909483614839
0.02,0.34,0.08996909483614839
0.02,0.36,0.08996909483614839
0.02,0.38,0.08996909483614839
0.02,0.40,0.08996909483614839
0.02,0.42,0.08996909483614839
0.02,0.44,0.08996909483614839
0.02,0.46,0.08996909483614839
0.02,0.48,0.08996909483614839
0.04,0.00,0.07614391824097726
0.04,0.02,0.08512548698759445
0.04,0.04,0.08512548698759445
0.04,0.06,0.08707545655153327
0.04,0.08,0.08707545655153327
0.04,0.10,0.08724875956064417
0.04,0.12,0.088167039380041
0.04,0.14,0.088167039380041
0.04,0.16,0.088167039380041
0.04,0.18,0.088167039380041
0.04,0.20,0.088167039380041
0.04,0.22,0.088167039380041
0.04,0.24,0.0895249894197513
0.04,0.26,0.0895249894197513
0.04,0.28,0.0895249894197513
0.04,0.30,0.0895249894197513
0.04,0.32,0.0895249894197513
0.04,0.34,0.08986027221210308
0.04,0.36,0.08986027221210308
0.04,0.38,0.08986027221210308
0.04,0.40,0.08986027221210308
0.04,0.42,0.08986027221210308
0.04,0.44,0.08986027221210308
0.04,0.46,0.08986027221210308
0.04,0.48,0.08986027221210308
0.06,0.00,0.07329155346430036
0.06,0.02,0.07992811567914994
0.06,0.04,0.08080769107930035
0.06,0.06,0.08287572907525115
0.06,0.08,0.08287572907525115
0.06,0.10,0.08449516301591369
0.06,0.12,0.08606009418755793
0.06,0.14,0.08606009418755793
0.06,0.16,0.08606009418755793
0.06,0.18,0.08629034692068448
0.06,0.20,0.08629034692068448
0.06,0.22,0.08629034692068448
0.06,0.24,0.08873051781310057
0.06,0.26,0.08873051781310057
0.06,0.28,0.08873051781310057
0.06,0.30,0.08873051781310057
0.06,0.32,0.08931052110605495
0.06,0.34,0.08986027221210308
0.06,0.36,0.08986027221210308
0.06,0.38,0.08986027221210308
0.06,0.40,0.08986027221210308
0.06,0.42,0.08986027221210308
0.06,0.44,0.08986027221210308
0.06,0.46,0.08986027221210308
0.06,0.48,0.08986027221210308
0.08,0.00,0.03830646094975491
0.08,0.02,0.06542101477467456
0.08,0.04,0.07483000538429264
0.08,0.06,0.07973643631576102
0.08,0.08,0.08231100919394463
0.08,0.10,0.08395368092817362
0.08,0.12,0.08547570973501468
0.08,0.14,0.08547570973501468
0.08,0.16,0.08547570973501468
0.08,0.18,0.08571099746907494
0.08,0.20,0.08571099746907494
0.08,0.22,0.08571099746907494
0.08,0.24,0.08869774356958428
0.08,0.26,0.08869774356958428
0.08,0.28,0.08869774356958428
0.08,0.30,0.08869774356958428
0.08,0.32,0.08931052110605495
0.08,0.34,0.08986027221210308
0.08,0.36,0.08986027221210308
0.08,0.38,0.08986027221210308
0.08,0.40,0.08986027221210308
0.08,0.42,0.08986027221210308
0.08,0.44,0.08986027221210308
0.08,0.46,0.08986027221210308
0.08,0.48,0.08986027221210308
0.10,0.00,0.030598814691153945
0.10,0.02,0.05303117772963783
0.10,0.04,0.06762516385595885
0.10,0.06,0.07058818530619004
0.10,0.08,0.07317002012261117
0.10,0.10,0.07486238240661208
0.10,0.12,0.0761871035821576
0.10,0.14,0.07828334922846163
0.10,0.16,0.0784073613153168
0.10,0.18,0.08453856252411585
0.10,0.20,0.08453856252411585
0.10,0.22,0.08577162176980063
0.10,0.24,0.08869774356958428
0.10,0.26,0.08869774356958428
0.10,0.28,0.08869774356958428
0.10,0.30,0.08869774356958428
0.10,0.32,0.08931052110605495
0.10,0.34,0.08986027221210308
0.10,0.36,0.08986027221210308
0.10,0.38,0.08986027221210308
0.10,0.40,0.08986027221210308
0.10,0.42,0.08986027221210308
0.10,0.44,0.08986027221210308
0.10,0.46,0.08986027221210308
0.10,0.48,0.08986027221210308
0.12,0.00,0.029068465482261118
0.12,0.02,0.04628418083012297
0.12,0.04,0.05964375601152752
0.12,0.06,0.06409678877103019
0.12,0.08,0.0672325719550678
0.12,0.10,0.06868459801122165
0.12,0.12,0.06983310605666719
0.12,0.14,0.07174374069316228
0.12,0.16,0.07188855013897931
0.12,0.18,0.07742974648392484
0.12,0.20,0.07742974648392484
0.12,0.22,0.07847127710569482
0.12,0.24,0.0816263989257407
0.12,0.26,0.0816263989257407
0.12,0.28,0.0816263989257407
0.12,0.30,0.0816263989257407
0.12,0.32,0.08276012732441927
0.12,0.34,0.08335199006331757
0.12,0.36,0.08335199006331757
0.12,0.38,0.08335199006331757
0.12,0.40,0.08335199006331757
0.12,0.42,0.08335199006331757
0.12,0.44,0.08335199006331757
0.12,0.46,0.08335199006331757
0.12,0.48,0.08335199006331757
0.14,0.00,0.028420222315861252
0.14,0.02,0.04526391039403996
0.14,0.04,0.058340151328769685
0.14,0.06,0.062818444074146
0.14,0.08,0.0663709585707514
0.14,0.10,0.06727503501455596
0.14,0.12,0.07049245915064813
0.14,0.14,0.07226020412633809
0.14,0.16,0.07201633039737583
0.14,0.18,0.07762551449418177
0.14,0.20,0.07762551449418177
0.14,0.22,0.07852121739668076
0.14,0.24,0.08173593060825081
0.14,0.26,0.08173593060825081
0.14,0.28,0.08173593060825081
0.14,0.30,0.08173593060825081
0.14,0.32,0.08288447009852362
0.14,0.34,0.08351710533211427
0.14,0.36,0.08351710533211427
0.14,0.38,0.08351710533211427
0.14,0.40,0.08351710533211427
0.14,0.42,0.08351710533211427
0.14,0.44,0.08351710533211427
0.14,0.46,0.08351710533211427
0.14,0.48,0.08351710533211427
0.16,0.00,0.02639148268683639
0.16,0.02,0.04196122069390415
0.16,0.04,0.05477632585418976
0.16,0.06,0.05920444412590788
0.16,0.08,0.062259391468742396
0.16,0.10,0.06277871117781549
0.16,0.12,0.06640302666501224
0.16,0.14,0.06819141849730682
0.16,0.16,0.07177294530827745
0.16,0.18,0.07299510344192427
0.16,0.20,0.07299510344192427
0.16,0.22,0.07395639259232999
0.16,0.24,0.07717492868189729
0.16,0.26,0.07717492868189729
0.16,0.28,0.07717492868189729
0.16,0.30,0.07717492868189729
0.16,0.32,0.07818686240453745
0.16,0.34,0.08288772460724522
0.16,0.36,0.08288772460724522
0.16,0.38,0.08288772460724522
0.16,0.40,0.08288772460724522
0.16,0.42,0.08288772460724522
0.16,0.44,0.08288772460724522
0.16,0.46,0.08288772460724522
0.16,0.48,0.08288772460724522
0.18,0.00,0.02494877849940176
0.18,0.02,0.03205101428147416
0.18,0.04,0.04711124926358311
0.18,0.06,0.052936816760628294
0.18,0.08,0.05580129792451731
0.18,0.10,0.05671560417143531
0.18,0.12,0.0659322127734569
0.18,0.14,0.06773045242477183
0.18,0.16,0.0713871758696719
0.18,0.18,0.07263857229733658
0.18,0.20,0.07263857229733658
0.18,0.22,0.07363171132059748
0.18,0.24,0.07634835558755629
0.18,0.26,0.07634835558755629
0.18,0.28,0.07687389246173572
0.18,0.30,0.07687389246173572
0.18,0.32,0.07792601698658058
0.18,0.34,0.07848690936901248
0.18,0.36,0.08223619225158332
0.18,0.38,0.08223619225158332
0.18,0.40,0.08223619225158332
0.18,0.42,0.08223619225158332
0.18,0.44,0.08333404859536882
0.18,0.46,0.08333404859536882
0.18,0.48,0.08333404859536882
0.20,0.00,0.024191289358135675
0.20,0.02,0.032146371693128416
0.20,0.04,0.047444573591271064
0.20,0.06,0.0534511372114152
0.20,0.08,0.05633400958953983
0.20,0.10,0.05726669353471028
0.20,0.12,0.06611702990316697
0.20,0.14,0.06795835009639739
0.20,0.16,0.07170154862400997
0.20,0.18,0.07297946565661284
0.20,0.20,0.07297946565661284
0.20,0.22,0.0739978119408527
0.20,0.24,0.07670438350073412
0.20,0.26,0.07670438350073412
0.20,0.28,0.07725235272664675
0.20,0.30,0.07725235272664675
0.20,0.32,0.07846969206714981
0.20,0.34,0.07904212603564796
0.20,0.36,0.08241998765088153
0.20,0.38,0.08241998765088153
0.20,0.40,0.08241998765088153
0.20,0.42,0.08241998765088153
0.20,0.44,0.08332050112135536
0.20,0.46,0.08332050112135536
0.20,0.48,0.08332050112135536
0.22,0.00,0.0176549987979338
0.22,0.02,0.02097355793748304
0.22,0.04,0.0443994914605365
0.22,0.06,0.04996913796834432
0.22,0.08,0.05706358102673686
0.22,0.10,0.058007717446934816
0.22,0.12,0.06701513222399524
0.22,0.14,0.06888719594280854
0.22,0.16,0.0726876953649817
0.22,0.18,0.07398176532596717
