attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08330535534210488
0.02,0.02,0.08330535534210488
0.02,0.04,0.08280047440063758
0.02,0.06,0.08330535534210488
0.02,0.08,0.08330535534210488
0.02,0.10,0.08330535534210488
0.02,0.12,0.08330535534210488
0.02,0.14,0.08330535534210488
0.02,0.16,0.0847885772844575
0.02,0.18,0.08416893451070644
0.02,0.20,0.08330535534210488
0.02,0.22,0.08776083063397475
0.02,0.24,0.08334388410083407
0.02,0.26,0.08231847940746345
0.02,0.28,0.08409250700312292
0.02,0.30,0.08783602986552558
0.02,0.32,0.08834554098134521
0.02,0.34,0.08776083063397475
0.02,0.36,0.08872844284261329
0.02,0.38,0.0881607346929724
0.02,0.40,0.08927214062426113
0.02,0.42,0.08834554098134521
0.02,0.44,0.08280047440063758
0.02,0.46,0.08927214062426113
0.02,0.48,0.08927214062426113
0.04,0.00,0.07614391824097726
0.04,0.02,0.07614391824097726
0.04,0.04,0.07614391824097726
0.04,0.06,0.08163894625618769
0.04,0.08,0.08012757565545857
0.04,0.10,0.0784954383466105
0.04,0.12,0.0780111241132357
0.04,0.14,0.07603175655764387
0.04,0.16,0.0783470676988394
0.04,0.18,0.08619218601697914
0.04,0.20,0.07567243887106409
0.04,0.22,0.08503102282487633
0.04,0.24,0.0772125466634447
0.04,0.26,0.0851034250804385
0.04,0.28,0.08080736545282453
0.04,0.30,0.07567243887106409
0.04,0.32,0.07770482075940766
0.04,0.34,0.08014806729755837
0.04,0.36,0.07476151640288596
0.04,0.38,0.08130906148120152
0.04,0.40,0.08473057305293928
0.04,0.42,0.08294182590840715
0.04,0.44,0.08051912783611374
0.04,0.46,0.08663151154692418
0.04,0.48,0.08774954735742317
0.06,0.00,0.07329155346430036
0.06,0.02,0.07282768287275415
0.06,0.04,0.07329155346430036
0.06,0.06,0.07365206320975409
0.06,0.08,0.07329155346430036
0.06,0.10,0.07284582111077242
0.06,0.12,0.07334087125959722
0.06,0.14,0.07510079879064101
0.06,0.16,0.07334824008741506
0.06,0.18,0.07560501625850748
0.06,0.20,0.07516225934456139
0.06,0.22,0.07305896680252714
0.06,0.24,0.0766683879236476
0.06,0.26,0.07736716002879354
0.06,0.28,0.08216521158458043
0.06,0.30,0.07562279966261996
0.06,0.32,0.08006602357837635
0.06,0.34,0.07503664604951633
0.06,0.36,0.0733033960962285
0.06,0.38,0.07994632601033674
0.06,0.40,0.07629324951337853
0.06,0.42,0.08425450003358548
0.06,0.44,0.07882836376621098
0.06,0.46,0.08219746360417533
0.06,0.48,0.0820953122224946
0.08,0.00,0.03830646094975491
0.08,0.02,0.045968205800778754
0.08,0.04,0.03991662130987223
0.08,0.06,0.03848926491409096
0.08,0.08,0.04422038509726396
0.08,0.10,0.04041442060471019
0.08,0.12,0.05818430180685833
0.08,0.14,0.05324371930450396
0.08,0.16,0.05690638104330525
0.08,0.18,0.04034115212773628
0.08,0.20,0.04733836200899925
0.08,0.22,0.05237676871680486
0.08,0.24,0.05636168797976092
0.08,0.26,0.05818521012084013
0.08,0.28,0.06650430832779067
0.08,0.30,0.0730215731688787
0.08,0.32,0.051768362582912786
0.08,0.34,0.06779268350231983
0.08,0.36,0.06731925831725052
0.08,0.38,0.07434357535662017
0.08,0.40,0.0590134668421739
0.08,0.42,0.0610514479075478
0.08,0.44,0.060433659600003097
0.08,0.46,0.07746062257307271
0.08,0.48,0.06812322097073624
0.10,0.00,0.030598814691153945
0.10,0.02,0.03066179749419503
0.10,0.04,0.03285421970270705
0.10,0.06,0.03019686309118547
0.10,0.08,0.0365234062744715
0.10,0.10,0.03713018844724958
0.10,0.12,0.03575928298012176
0.10,0.14,0.046576329271856655
0.10,0.16,0.047409584954871284
0.10,0.18,0.033594303209404756
0.10,0.20,0.045188381493569914
0.10,0.22,0.04206696900289624
0.10,0.24,0.041689182122602225
0.10,0.26,0.049347082414651376
0.10,0.28,0.04702771202241989
0.10,0.30,0.03747391492241134
0.10,0.32,0.050813622044283906
0.10,0.34,0.0561135068216769
0.10,0.36,0.058030258361680784
0.10,0.38,0.049290568608308674
0.10,0.40,0.07348418460969997
0.10,0.42,0.062302293507524434
0.10,0.44,0.06939229721312477
0.10,0.46,0.06338767959120015
0.10,0.48,0.05101048915123068
0.12,0.00,0.029068465482261118
0.12,0.02,0.029752923937854513
0.12,0.04,0.0349812025743024
0.12,0.06,0.032745821772206925
0.12,0.08,0.031200502184922166
0.12,0.10,0.03182472578333972
0.12,0.12,0.03277288561001135
0.12,0.14,0.03708942680533274
0.12,0.16,0.029668067443021463
0.12,0.18,0.03472496366858661
0.12,0.20,0.05034059966094595
0.12,0.22,0.029529343355348982
0.12,0.24,0.041355483753081373
0.12,0.26,0.04317770408263854
0.12,0.28,0.0499996591981529
0.12,0.30,0.048186437321771775
0.12,0.32,0.041689980734392076
0.12,0.34,0.03080425552977858
0.12,0.36,0.048437082489312756
0.12,0.38,0.04669156791505042
0.12,0.40,0.04632814617526594
0.12,0.42,0.06703658711548223
0.12,0.44,0.06369319894379279
0.12,0.46,0.04873509783172262
0.12,0.48,0.050280015279618014
0.14,0.00,0.028420222315861252
0.14,0.02,0.028420222315861252
0.14,0.04,0.028420222315861252
0.14,0.06,0.028420222315861252
0.14,0.08,0.03022255233266705
0.14,0.10,0.029071710364705797
0.14,0.12,0.028753929593853214
0.14,0.14,0.028176380159907956
0.14,0.16,0.03455806907869
0.14,0.18,0.034352623483491926
0.14,0.20,0.029964804315646115
0.14,0.22,0.04963501277800008
0.14,0.24,0.030038785646046083
0.14,0.26,0.046273321625359826
0.14,0.28,0.031567311443654766
0.14,0.30,0.037645010561666394
0.14,0.32,0.04845432775017435
0.14,0.34,0.04065261288639091
0.14,0.36,0.031761856581602646
0.14,0.38,0.037580358618601165
0.14,0.40,0.046835885266854296
0.14,0.42,0.050168919735266077
0.14,0.44,0.05517038252708976
0.14,0.46,0.06652423390785846
0.14,0.48,0.06504345759845229
0.16,0.00,0.02639148268683639
0.16,0.02,0.02639148268683639
0.16,0.04,0.029794127421321055
0.16,0.06,0.02583782889881751
0.16,0.08,0.029394907464788955
0.16,0.10,0.029850423542799955
0.16,0.12,0.04089495544803824
0.16,0.14,0.03798819217485348
0.16,0.16,0.03691119762268031
0.16,0.18,0.03187875146494437
0.16,0.20,0.042481280100412466
0.16,0.22,0.02632501315092174
0.16,0.24,0.036345193675143224
0.16,0.26,0.03129173586516855
0.16,0.28,0.03145559019101751
0.16,0.30,0.05511216298130256
0.16,0.32,0.057104702048824105
0.16,0.34,0.034239235199089245
0.16,0.36,0.05599542350147035
0.16,0.38,0.04207813953504086
0.16,0.40,0.0474737379622846
0.16,0.42,0.044701975736512516
0.16,0.44,0.038458370138968224
0.16,0.46,0.046286427151626626
0.16,0.48,0.061012220493518975
0.18,0.00,0.02494877849940176
0.18,0.02,0.024237261286840495
0.18,0.04,0.02651611718530302
0.18,0.06,0.02438795888172692
0.18,0.08,0.026990160645146102
0.18,0.10,0.026652891801491736
0.18,0.12,0.02549852362985631
0.18,0.14,0.02819796905201189
0.18,0.16,0.027502316485594543
0.18,0.18,0.03292425370170463
0.18,0.20,0.030804259198376444
0.18,0.22,0.030211025809919686
0.18,0.24,0.038854478497549284
0.18,0.26,0.028688861088977308
0.18,0.28,0.027121734900601192
0.18,0.30,0.03348204947921132
0.18,0.32,0.038234611547545025
0.18,0.34,0.033761968272164704
0.18,0.36,0.03158163897753318
0.18,0.38,0.04163095993744245
0.18,0.40,0.052390096663592456
0.18,0.42,0.04922294784700947
0.18,0.44,0.036944218604641595
0.18,0.46,0.051502681479873115
0.18,0.48,0.052763925417883516
0.20,0.00,0.024191289358135675
0.20,0.02,0.024011428470714594
0.20,0.04,0.024011428470714594
0.20,0.06,0.02459554139894459
0.20,0.08,0.025428313029712813
0.20,0.10,0.030424954237614914
0.20,0.12,0.02822824579227003
0.20,0.14,0.02935232483305417
0.20,0.16,0.02474186014416816
0.20,0.18,0.028037412636406165
0.20,0.20,0.027060477236533508
0.20,0.22,0.0265456079890488
0.20,0.24,0.03336898478445639
0.20,0.26,0.030989854167672432
0.20,0.28,0.02944866376894828
0.20,0.30,0.02909728238234696
0.20,0.32,0.02611014116018735
0.20,0.34,0.029428429749855236
0.20,0.36,0.04784226607483739
0.20,0.38,0.03238234796080662
0.20,0.40,0.03286775223971071
0.20,0.42,0.03770264536237814
0.20,0.44,0.03483031468727937
0.20,0.46,0.05387391978606357
0.20,0.48,0.04023840253828416
0.22,0.00,0.0176549987979338
0.22,0.02,0.01809060842174303
0.22,0.04,0.018847738190630816
0.22,0.06,0.018187750778098737
0.22,0.08,0.016998734586470516
0.22,0.10,0.017962834967349493
0.22,0.12,0.022337915288814507
0.22,0.14,0.02038489864200816
0.22,0.16,0.019192236917411173
0.22,0.18,0.01986913968321349
