attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08330535534210488
0.02,0.02,0.08776083063397475
0.02,0.04,0.08834554098134521
0.02,0.06,0.08872844284261329
0.02,0.08,0.08872844284261329
0.02,0.10,0.08996909483614839
0.02,0.12,0.08996909483614839
0.02,0.14,0.08996909483614839
0.02,0.16,0.08996909483614839
0.02,0.18,0.08996909483614839
0.02,0.20,0.08996909483614839
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.07614391824097726
0.04,0.02,0.08555540723338455
0.04,0.04,0.08671903837037682
0.04,0.06,0.08707545655153327
0.04,0.08,0.08707545655153327
0.04,0.10,0.0888368269943897
0.04,0.12,0.0888368269943897
0.04,0.14,0.0888368269943897
0.04,0.16,0.0888368269943897
0.04,0.18,0.0888368269943897
0.04,0.20,0.08962820746097461
0.04,0.22,0.09025874104678167
0.04,0.24,0.09025874104678167
0.04,0.26,0.09025874104678167
0.04,0.28,0.09025874104678167
0.04,0.30,0.09025874104678167
0.04,0.32,0.09025874104678167
0.04,0.34,0.09025874104678167
0.04,0.36,0.09025874104678167
0.04,0.38,0.09025874104678167
0.04,0.40,0.09025874104678167
0.04,0.42,0.09025874104678167
0.04,0.44,0.09025874104678167
0.04,0.46,0.09025874104678167
0.04,0.48,0.09025874104678167
0.06,0.00,0.07329155346430036
0.06,0.02,0.07815871946661666
0.06,0.04,0.08158705157079331
0.06,0.06,0.08287572907525115
0.06,0.08,0.08287572907525115
0.06,0.10,0.08680662030733599
0.06,0.12,0.08680662030733599
0.06,0.14,0.08680662030733599
0.06,0.16,0.08680662030733599
0.06,0.18,0.08680662030733599
0.06,0.20,0.08786881945282393
0.06,0.22,0.08843016712104451
0.06,0.24,0.08843016712104451
0.06,0.26,0.08843016712104451
0.06,0.28,0.08888988736979697
0.06,0.30,0.08888988736979697
0.06,0.32,0.08888988736979697
0.06,0.34,0.08888988736979697
0.06,0.36,0.08888988736979697
0.06,0.38,0.08888988736979697
0.06,0.40,0.08955193006986725
0.06,0.42,0.08955193006986725
0.06,0.44,0.08955193006986725
0.06,0.46,0.08955193006986725
0.06,0.48,0.08955193006986725
0.08,0.00,0.03830646094975491
0.08,0.02,0.07039681461169371
0.08,0.04,0.07673844211392124
0.08,0.06,0.07973643631576102
0.08,0.08,0.08028241139628664
0.08,0.10,0.0867688902614483
0.08,0.12,0.0867688902614483
0.08,0.14,0.0867688902614483
0.08,0.16,0.0867688902614483
0.08,0.18,0.0867688902614483
0.08,0.20,0.08783219472707354
0.08,0.22,0.08839676563742248
0.08,0.24,0.08839676563742248
0.08,0.26,0.08839676563742248
0.08,0.28,0.08885829884419312
0.08,0.30,0.08885829884419312
0.08,0.32,0.08885829884419312
0.08,0.34,0.08885829884419312
0.08,0.36,0.08885829884419312
0.08,0.38,0.08885829884419312
0.08,0.40,0.08897518538345321
0.08,0.42,0.08955193006986725
0.08,0.44,0.08955193006986725
0.08,0.46,0.08955193006986725
0.08,0.48,0.08955193006986725
0.10,0.00,0.030598814691153945
0.10,0.02,0.040675565466140304
0.10,0.04,0.0684913825908528
0.10,0.06,0.07074282411251327
0.10,0.08,0.07659271903512918
0.10,0.10,0.08478110949408275
0.10,0.12,0.08543944301828627
0.10,0.14,0.08543944301828627
0.10,0.16,0.08543944301828627
0.10,0.18,0.08543944301828627
0.10,0.20,0.08635171387973116
0.10,0.22,0.08672677770289514
0.10,0.24,0.08672677770289514
0.10,0.26,0.08672677770289514
0.10,0.28,0.087163168393208
0.10,0.30,0.087163168393208
0.10,0.32,0.087163168393208
0.10,0.34,0.087163168393208
0.10,0.36,0.087163168393208
0.10,0.38,0.087163168393208
0.10,0.40,0.08727706357775064
0.10,0.42,0.08955193006986725
0.10,0.44,0.08955193006986725
0.10,0.46,0.08955193006986725
0.10,0.48,0.08955193006986725
0.12,0.00,0.029068465482261118
0.12,0.02,0.03794980362160639
0.12,0.04,0.06344769945671251
0.12,0.06,0.06542068750271397
0.12,0.08,0.07653557389839533
0.12,0.10,0.08321544730475151
0.12,0.12,0.08492367056168804
0.12,0.14,0.08492367056168804
0.12,0.16,0.08492367056168804
0.12,0.18,0.08492367056168804
0.12,0.20,0.08574305154192662
0.12,0.22,0.08604635259911056
0.12,0.24,0.08604635259911056
0.12,0.26,0.08604635259911056
0.12,0.28,0.0866688112425
0.12,0.30,0.0866688112425
0.12,0.32,0.0866688112425
0.12,0.34,0.0866688112425
0.12,0.36,0.0866688112425
0.12,0.38,0.0866688112425
0.12,0.40,0.0867819976638708
0.12,0.42,0.08905148203696554
0.12,0.44,0.08905148203696554
0.12,0.46,0.08905148203696554
0.12,0.48,0.08955193006986725
0.14,0.00,0.028420222315861252
0.14,0.02,0.03718553031284541
0.14,0.04,0.06218584683957204
0.14,0.06,0.06417539103697817
0.14,0.08,0.06921704360705294
0.14,0.10,0.07701110906936087
0.14,0.12,0.08327401360441242
0.14,0.14,0.08404414571954431
0.14,0.16,0.08478836411335555
0.14,0.18,0.08478836411335555
0.14,0.20,0.08560910637954512
0.14,0.22,0.08591401915534097
0.14,0.24,0.08591401915534097
0.14,0.26,0.08591401915534097
0.14,0.28,0.08651448362200513
0.14,0.30,0.08651448362200513
0.14,0.32,0.08651448362200513
0.14,0.34,0.08651448362200513
0.14,0.36,0.08651448362200513
0.14,0.38,0.08651448362200513
0.14,0.40,0.08662884976728663
0.14,0.42,0.08859899918667258
0.14,0.44,0.08859899918667258
0.14,0.46,0.08859899918667258
0.14,0.48,0.08912908453492539
0.16,0.00,0.02639148268683639
0.16,0.02,0.03498389058869509
0.16,0.04,0.05816693310503062
0.16,0.06,0.060137565688150985
0.16,0.08,0.06047438735024231
0.16,0.10,0.06813700026002373
0.16,0.12,0.07277414632021119
0.16,0.14,0.08316971522805038
0.16,0.16,0.08429645663781964
0.16,0.18,0.08429645663781964
0.16,0.20,0.08537089059327722
0.16,0.22,0.0856765567617042
0.16,0.24,0.0856765567617042
0.16,0.26,0.0856765567617042
0.16,0.28,0.08626356731033834
0.16,0.30,0.08626356731033834
0.16,0.32,0.08626356731033834
0.16,0.34,0.08626356731033834
0.16,0.36,0.08626356731033834
0.16,0.38,0.08626356731033834
0.16,0.40,0.0863778141453145
0.16,0.42,0.08834837303408576
0.16,0.44,0.08834837303408576
0.16,0.46,0.08834837303408576
0.16,0.48,0.08912908453492539
0.18,0.00,0.02494877849940176
0.18,0.02,0.029575508018208064
0.18,0.04,0.051570301517348045
0.18,0.06,0.05384090383892953
0.18,0.08,0.05424335444039781
0.18,0.10,0.060820255470907546
0.18,0.12,0.06161598055539284
0.18,0.14,0.07477455801663321
0.18,0.16,0.08221824562248493
0.18,0.18,0.08315899356738107
0.18,0.20,0.08429243352786654
0.18,0.22,0.08454970636037325
0.18,0.24,0.08454970636037325
0.18,0.26,0.08454970636037325
0.18,0.28,0.08514936635220866
0.18,0.30,0.08514936635220866
0.18,0.32,0.08514936635220866
0.18,0.34,0.08514936635220866
0.18,0.36,0.08626356731033834
0.18,0.38,0.08626356731033834
0.18,0.40,0.0863778141453145
0.18,0.42,0.08834837303408576
0.18,0.44,0.08834837303408576
0.18,0.46,0.08834837303408576
0.18,0.48,0.08912908453492539
0.20,0.00,0.024191289358135675
0.20,0.02,0.029571703233831372
0.20,0.04,0.05203900545524204
0.20,0.06,0.05439292177746503
0.20,0.08,0.05480882860485077
0.20,0.10,0.0615518829558548
0.20,0.12,0.062370278326641
0.20,0.14,0.06730771376873732
0.20,0.16,0.08194465178008457
0.20,0.18,0.08291234233481236
0.20,0.20,0.08407494717042109
0.20,0.22,0.08433596859567062
0.20,0.24,0.08433596859567062
0.20,0.26,0.08433596859567062
0.20,0.28,0.08493150871228025
0.20,0.30,0.08493150871228025
0.20,0.32,0.08493150871228025
0.20,0.34,0.08493150871228025
0.20,0.36,0.08502754358200394
0.20,0.38,0.08502754358200394
0.20,0.40,0.08554017426263269
0.20,0.42,0.08833584666286771
0.20,0.44,0.08833584666286771
0.20,0.46,0.08833584666286771
0.20,0.48,0.08869084088262702
0.22,0.00,0.0176549987979338
0.22,0.02,0.020712078026433496
0.22,0.04,0.030041005472995395
0.22,0.06,0.036408161157110874
0.22,0.08,0.03671902368227583
0.22,0.10,0.05650097644759616
0.22,0.12,0.06318575101240481
0.22,0.14,0.06819842093661177
0.22,0.16,0.07492376234680283
0.22,0.18,0.0831192872559615
0.22,0.20,0.0842784303319618
