attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.07816877870453243
0.02,0.02,0.08509289640689664
0.02,0.04,0.08758822494760772
0.02,0.06,0.08864506988055638
0.02,0.08,0.08864506988055638
0.02,0.10,0.08864506988055638
0.02,0.12,0.08864506988055638
0.02,0.14,0.08864506988055638
0.02,0.16,0.08864506988055638
0.02,0.18,0.08864506988055638
0.02,0.20,0.08978931141437324
0.02,0.22,0.08978931141437324
0.02,0.24,0.08978931141437324
0.02,0.26,0.08978931141437324
0.02,0.28,0.08978931141437324
0.02,0.30,0.08978931141437324
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.036916894594958095
0.04,0.02,0.04159393651832398
0.04,0.04,0.057904189808892566
0.04,0.06,0.058713634062414866
0.04,0.08,0.06623023301515271
0.04,0.10,0.07410100239555047
0.04,0.12,0.07410100239555047
0.04,0.14,0.07410100239555047
0.04,0.16,0.07410100239555047
0.04,0.18,0.07410100239555047
0.04,0.20,0.0774666898401336
0.04,0.22,0.08928006396408468
0.04,0.24,0.08928006396408468
0.04,0.26,0.08928006396408468
0.04,0.28,0.08928006396408468
0.04,0.30,0.08928006396408468
0.04,0.32,0.09019326406577338
0.04,0.34,0.09019326406577338
0.04,0.36,0.09019326406577338
0.04,0.38,0.09019326406577338
0.04,0.40,0.09019326406577338
0.04,0.42,0.09019326406577338
0.04,0.44,0.09019326406577338
0.04,0.46,0.09019326406577338
0.04,0.48,0.09019326406577338
0.06,0.00,0.024067243990134147
0.06,0.02,0.03448672584650672
0.06,0.04,0.04479167116402716
0.06,0.06,0.045625687790387184
0.06,0.08,0.060559484399997886
0.06,0.10,0.06817752927209368
0.06,0.12,0.06817752927209368
0.06,0.14,0.06817752927209368
0.06,0.16,0.06817752927209368
0.06,0.18,0.06817752927209368
0.06,0.20,0.07562508578448243
0.06,0.22,0.08747986928064289
0.06,0.24,0.08747986928064289
0.06,0.26,0.08747986928064289
0.06,0.28,0.08747986928064289
0.06,0.30,0.08747986928064289
0.06,0.32,0.08835371944105955
0.06,0.34,0.08835371944105955
0.06,0.36,0.08835371944105955
0.06,0.38,0.08835371944105955
0.06,0.40,0.08835371944105955
0.06,0.42,0.08835371944105955
0.06,0.44,0.08835371944105955
0.06,0.46,0.08835371944105955
0.06,0.48,0.08835371944105955
0.08,0.00,0.017907863948277557
0.08,0.02,0.025368298932283883
0.08,0.04,0.027832821733801718
0.08,0.06,0.02831015008167425
0.08,0.08,0.04039072680769777
0.08,0.10,0.046627282227515034
0.08,0.12,0.05660815686282181
0.08,0.14,0.05660815686282181
0.08,0.16,0.05660815686282181
0.08,0.18,0.05660815686282181
0.08,0.20,0.06314470160721199
0.08,0.22,0.07963549088275512
0.08,0.24,0.08431004166898726
0.08,0.26,0.08431004166898726
0.08,0.28,0.08431004166898726
0.08,0.30,0.08431004166898726
0.08,0.32,0.08519279457357573
0.08,0.34,0.08519279457357573
0.08,0.36,0.08519279457357573
0.08,0.38,0.08519279457357573
0.08,0.40,0.08519279457357573
0.08,0.42,0.08519279457357573
0.08,0.44,0.08519279457357573
0.08,0.46,0.08519279457357573
0.08,0.48,0.08519279457357573
0.10,0.00,0.013231110106148483
0.10,0.02,0.01814160607065888
0.10,0.04,0.022284929016923586
0.10,0.06,0.023796723306904615
0.10,0.08,0.0355665800669375
0.10,0.10,0.04206402772119445
0.10,0.12,0.05163676425040923
0.10,0.14,0.05163676425040923
0.10,0.16,0.05163676425040923
0.10,0.18,0.05183208917516813
0.10,0.20,0.058271127894826254
0.10,0.22,0.07587280233618425
0.10,0.24,0.08050581290982234
0.10,0.26,0.08050581290982234
0.10,0.28,0.08050581290982234
0.10,0.30,0.08050581290982234
0.10,0.32,0.08141392403202696
0.10,0.34,0.08141392403202696
0.10,0.36,0.08141392403202696
0.10,0.38,0.08141392403202696
0.10,0.40,0.08392271999023819
0.10,0.42,0.08392271999023819
0.10,0.44,0.08392271999023819
0.10,0.46,0.08392271999023819
0.10,0.48,0.08485888791517551
0.12,0.00,0.012121575206836833
0.12,0.02,0.015565704901449774
0.12,0.04,0.01881319077335094
0.12,0.06,0.019653242847205776
0.12,0.08,0.029930811884884778
0.12,0.10,0.03608594109615806
0.12,0.12,0.04076413900691079
0.12,0.14,0.042668609586025745
0.12,0.16,0.043053887847148385
0.12,0.18,0.04927098542974022
0.12,0.20,0.057081955706033145
0.12,0.22,0.07465668160043294
0.12,0.24,0.07927561996454834
0.12,0.26,0.07927561996454834
0.12,0.28,0.07927561996454834
0.12,0.30,0.07927561996454834
0.12,0.32,0.08007957439661904
0.12,0.34,0.08007957439661904
0.12,0.36,0.08007957439661904
0.12,0.38,0.08007957439661904
0.12,0.40,0.08335614239534422
0.12,0.42,0.08335614239534422
0.12,0.44,0.08335614239534422
0.12,0.46,0.08335614239534422
0.12,0.48,0.0842900072536493
0.14,0.00,0.01222852049318722
0.14,0.02,0.015181072172780485
0.14,0.04,0.01653231193128066
0.14,0.06,0.017187141920142823
0.14,0.08,0.026386351152096282
0.14,0.10,0.03395091625467666
0.14,0.12,0.03884838447435651
0.14,0.14,0.040639850263180684
0.14,0.16,0.040855685024465835
0.14,0.18,0.046792191748572555
0.14,0.20,0.05144675077533698
0.14,0.22,0.0669568241947782
0.14,0.24,0.07141035812188723
0.14,0.26,0.07141035812188723
0.14,0.28,0.07141035812188723
0.14,0.30,0.07141035812188723
0.14,0.32,0.07638782253476749
0.14,0.34,0.07638782253476749
0.14,0.36,0.07638782253476749
0.14,0.38,0.07638782253476749
0.14,0.40,0.07949272434548717
0.14,0.42,0.07949272434548717
0.14,0.44,0.07949272434548717
0.14,0.46,0.07949272434548717
0.14,0.48,0.0832562822180568
0.16,0.00,0.011469393974912848
0.16,0.02,0.013527011351354406
0.16,0.04,0.014954283841675796
0.16,0.06,0.015575793023129907
0.16,0.08,0.02055500372758602
0.16,0.10,0.02769453872616848
0.16,0.12,0.03139663208671256
0.16,0.14,0.03303180144300348
0.16,0.16,0.03694171191228191
0.16,0.18,0.042041592001492614
0.16,0.20,0.046533592796763015
0.16,0.22,0.061268108934109736
0.16,0.24,0.06654299673496644
0.16,0.26,0.06654299673496644
0.16,0.28,0.06792375169281689
0.16,0.30,0.06792375169281689
0.16,0.32,0.07272691363958018
0.16,0.34,0.07272691363958018
0.16,0.36,0.07272691363958018
0.16,0.38,0.07272691363958018
0.16,0.40,0.07644810064607521
0.16,0.42,0.07644810064607521
0.16,0.44,0.07644810064607521
0.16,0.46,0.07644810064607521
0.16,0.48,0.08025168889843534
0.18,0.00,0.01187737260998477
0.18,0.02,0.013720977726410129
0.18,0.04,0.015093248126507825
0.18,0.06,0.0158255405269354
0.18,0.08,0.01933674316252672
0.18,0.10,0.025838581655338953
0.18,0.12,0.02933828828694792
0.18,0.14,0.03094907214726704
0.18,0.16,0.03473091276441565
0.18,0.18,0.03967701287749439
0.18,0.20,0.043668546321941254
0.18,0.22,0.057946285431176206
0.18,0.24,0.06299671376496194
0.18,0.26,0.06299671376496194
0.18,0.28,0.06437628003180759
0.18,0.30,0.06467202263105705
0.18,0.32,0.06909950397744824
0.18,0.34,0.0725885501119787
0.18,0.36,0.0725885501119787
0.18,0.38,0.0725885501119787
0.18,0.40,0.07631586894509228
0.18,0.42,0.07631586894509228
0.18,0.44,0.07631586894509228
0.18,0.46,0.07631586894509228
0.18,0.48,0.08006545166792524
0.20,0.00,0.01203785372411799
0.20,0.02,0.013981389172072896
0.20,0.04,0.015427567785305905
0.20,0.06,0.016198481351232943
0.20,0.08,0.01988512941594832
0.20,0.10,0.02670256562945701
0.20,0.12,0.03036683685843035
0.20,0.14,0.032050653652156105
0.20,0.16,0.036005139385321454
0.20,0.18,0.04117519672829449
0.20,0.20,0.0453459957499979
0.20,0.22,0.06027239992486375
0.20,0.24,0.06554963336067596
0.20,0.26,0.06554963336067596
0.20,0.28,0.06698547414089755
0.20,0.30,0.06727995078733541
0.20,0.32,0.07190193167587648
0.20,0.34,0.07198586992513932
0.20,0.36,0.07202360670349464
0.20,0.38,0.07202360670349464
0.20,0.40,0.07581358567319957
0.20,0.42,0.07581358567319957
0.20,0.44,0.07581358567319957
0.20,0.46,0.07577094709188821
0.20,0.48,0.07960179291562844
0.22,0.00,0.012396741750991782
0.22,0.02,0.014427552587963221
0.22,0.04,0.01593399047553424
0.22,0.06,0.016732977386175737
0.22,0.08,0.01986981219230539
0.22,0.10,0.026851314810045514
0.22,0.12,0.030606184809276325
0.22,0.14,0.03243201167950227
0.22,0.16,0.036436908685722184
0.22,0.18,0.0416726926956184
