attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.07816877870453243
0.02,0.02,0.09061557287536594
0.02,0.04,0.09061557287536594
0.02,0.06,0.09061557287536594
0.02,0.08,0.09061557287536594
0.02,0.10,0.09061557287536594
0.02,0.12,0.09061557287536594
0.02,0.14,0.09061557287536594
0.02,0.16,0.09061557287536594
0.02,0.18,0.09061557287536594
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.036916894594958095
0.04,0.02,0.061769618196034645
0.04,0.04,0.09061557287536594
0.04,0.06,0.09061557287536594
0.04,0.08,0.09061557287536594
0.04,0.10,0.09061557287536594
0.04,0.12,0.09061557287536594
0.04,0.14,0.09061557287536594
0.04,0.16,0.09061557287536594
0.04,0.18,0.09061557287536594
0.04,0.20,0.09061557287536594
0.04,0.22,0.09061557287536594
0.04,0.24,0.09061557287536594
0.04,0.26,0.09061557287536594
0.04,0.28,0.09061557287536594
0.04,0.30,0.09061557287536594
0.04,0.32,0.09061557287536594
0.04,0.34,0.09061557287536594
0.04,0.36,0.09061557287536594
0.04,0.38,0.09061557287536594
0.04,0.40,0.09061557287536594
0.04,0.42,0.09061557287536594
0.04,0.44,0.09061557287536594
0.04,0.46,0.09061557287536594
0.04,0.48,0.09061557287536594
0.06,0.00,0.024067243990134147
0.06,0.02,0.04533380166041894
0.06,0.04,0.07581496989095145
0.06,0.06,0.09061557287536594
0.06,0.08,0.09061557287536594
0.06,0.10,0.09061557287536594
0.06,0.12,0.09061557287536594
0.06,0.14,0.09061557287536594
0.06,0.16,0.09061557287536594
0.06,0.18,0.09061557287536594
0.06,0.20,0.09061557287536594
0.06,0.22,0.09061557287536594
0.06,0.24,0.09061557287536594
0.06,0.26,0.09061557287536594
0.06,0.28,0.09061557287536594
0.06,0.30,0.09061557287536594
0.06,0.32,0.09061557287536594
0.06,0.34,0.09061557287536594
0.06,0.36,0.09061557287536594
0.06,0.38,0.09061557287536594
0.06,0.40,0.09061557287536594
0.06,0.42,0.09061557287536594
0.06,0.44,0.09061557287536594
0.06,0.46,0.09061557287536594
0.06,0.48,0.09061557287536594
0.08,0.00,0.017907863948277557
0.08,0.02,0.02822400748935654
0.08,0.04,0.05203395491471957
0.08,0.06,0.06382025542471735
0.08,0.08,0.09061557287536594
0.08,0.10,0.09061557287536594
0.08,0.12,0.09061557287536594
0.08,0.14,0.09061557287536594
0.08,0.16,0.09061557287536594
0.08,0.18,0.09061557287536594
0.08,0.20,0.09061557287536594
0.08,0.22,0.09061557287536594
0.08,0.24,0.09061557287536594
0.08,0.26,0.09061557287536594
0.08,0.28,0.09061557287536594
0.08,0.30,0.09061557287536594
0.08,0.32,0.09061557287536594
0.08,0.34,0.09061557287536594
0.08,0.36,0.09061557287536594
0.08,0.38,0.09061557287536594
0.08,0.40,0.09061557287536594
0.08,0.42,0.09061557287536594
0.08,0.44,0.09061557287536594
0.08,0.46,0.09061557287536594
0.08,0.48,0.09061557287536594
0.10,0.00,0.013231110106148483
0.10,0.02,0.020726030149228154
0.10,0.04,0.042575299419859186
0.10,0.06,0.05520204731933391
0.10,0.08,0.08281866901780609
0.10,0.10,0.09061557287536594
0.10,0.12,0.09061557287536594
0.10,0.14,0.09061557287536594
0.10,0.16,0.09061557287536594
0.10,0.18,0.09061557287536594
0.10,0.20,0.09061557287536594
0.10,0.22,0.09061557287536594
0.10,0.24,0.09061557287536594
0.10,0.26,0.09061557287536594
0.10,0.28,0.09061557287536594
0.10,0.30,0.09061557287536594
0.10,0.32,0.09061557287536594
0.10,0.34,0.09061557287536594
0.10,0.36,0.09061557287536594
0.10,0.38,0.09061557287536594
0.10,0.40,0.09061557287536594
0.10,0.42,0.09061557287536594
0.10,0.44,0.09061557287536594
0.10,0.46,0.09061557287536594
0.10,0.48,0.09061557287536594
0.12,0.00,0.012121575206836833
0.12,0.02,0.015287660692416362
0.12,0.04,0.028443301242870173
0.12,0.06,0.050570440607345606
0.12,0.08,0.07292666181493548
0.12,0.10,0.07920444797108976
0.12,0.12,0.09061557287536594
0.12,0.14,0.09061557287536594
0.12,0.16,0.09061557287536594
0.12,0.18,0.09061557287536594
0.12,0.20,0.09061557287536594
0.12,0.22,0.09061557287536594
0.12,0.24,0.09061557287536594
0.12,0.26,0.09061557287536594
0.12,0.28,0.09061557287536594
0.12,0.30,0.09061557287536594
0.12,0.32,0.09061557287536594
0.12,0.34,0.09061557287536594
0.12,0.36,0.09061557287536594
0.12,0.38,0.09061557287536594
0.12,0.40,0.09061557287536594
0.12,0.42,0.09061557287536594
0.12,0.44,0.09061557287536594
0.12,0.46,0.09061557287536594
0.12,0.48,0.09061557287536594
0.14,0.00,0.01222852049318722
0.14,0.02,0.014668450778210265
0.14,0.04,0.02413361305530344
0.14,0.06,0.039824894199018565
0.14,0.08,0.06077899770290059
0.14,0.10,0.07305628007937699
0.14,0.12,0.0851470429537003
0.14,0.14,0.09061557287536594
0.14,0.16,0.09061557287536594
0.14,0.18,0.09061557287536594
0.14,0.20,0.09061557287536594
0.14,0.22,0.09061557287536594
0.14,0.24,0.09061557287536594
0.14,0.26,0.09061557287536594
0.14,0.28,0.09061557287536594
0.14,0.30,0.09061557287536594
0.14,0.32,0.09061557287536594
0.14,0.34,0.09061557287536594
0.14,0.36,0.09061557287536594
0.14,0.38,0.09061557287536594
0.14,0.40,0.09061557287536594
0.14,0.42,0.09061557287536594
0.14,0.44,0.09061557287536594
0.14,0.46,0.09061557287536594
0.14,0.48,0.09061557287536594
0.16,0.00,0.011469393974912848
0.16,0.02,0.013208297804725502
0.16,0.04,0.020038797422133728
0.16,0.06,0.0296536230861779
0.16,0.08,0.04213387956403663
0.16,0.10,0.05338670426559123
0.16,0.12,0.07118118256538977
0.16,0.14,0.0771959917517441
0.16,0.16,0.09061557287536594
0.16,0.18,0.09061557287536594
0.16,0.20,0.09061557287536594
0.16,0.22,0.09061557287536594
0.16,0.24,0.09061557287536594
0.16,0.26,0.09061557287536594
0.16,0.28,0.09061557287536594
0.16,0.30,0.09061557287536594
0.16,0.32,0.09061557287536594
0.16,0.34,0.09061557287536594
0.16,0.36,0.09061557287536594
0.16,0.38,0.09061557287536594
0.16,0.40,0.09061557287536594
0.16,0.42,0.09061557287536594
0.16,0.44,0.09061557287536594
0.16,0.46,0.09061557287536594
0.16,0.48,0.09061557287536594
0.18,0.00,0.01187737260998477
0.18,0.02,0.013402567854808938
0.18,0.04,0.018127525367309976
0.18,0.06,0.026863276269091973
0.18,0.08,0.038693033162754395
0.18,0.10,0.05022351688399162
0.18,0.12,0.06771477347722013
0.18,0.14,0.07366338247204762
0.18,0.16,0.08068772184076217
0.18,0.18,0.09061557287536594
0.18,0.20,0.09061557287536594
0.18,0.22,0.09061557287536594
0.18,0.24,0.09061557287536594
0.18,0.26,0.09061557287536594
0.18,0.28,0.09061557287536594
0.18,0.30,0.09061557287536594
0.18,0.32,0.09061557287536594
0.18,0.34,0.09061557287536594
0.18,0.36,0.09061557287536594
0.18,0.38,0.09061557287536594
0.18,0.40,0.09061557287536594
0.18,0.42,0.09061557287536594
0.18,0.44,0.09061557287536594
0.18,0.46,0.09061557287536594
0.18,0.48,0.09061557287536594
0.20,0.00,0.01203785372411799
0.20,0.02,0.013648494341555068
0.20,0.04,0.01861679425115671
0.20,0.06,0.02778107561143752
0.20,0.08,0.04017089839471279
0.20,0.10,0.05221877627246206
0.20,0.12,0.0704776944831889
0.20,0.14,0.07664804625922722
0.20,0.16,0.0839238992277391
0.20,0.18,0.09035717453321726
0.20,0.20,0.09061557287536594
0.20,0.22,0.09061557287536594
0.20,0.24,0.09061557287536594
0.20,0.26,0.09061557287536594
0.20,0.28,0.09061557287536594
0.20,0.30,0.09061557287536594
0.20,0.32,0.09061557287536594
0.20,0.34,0.09061557287536594
0.20,0.36,0.09061557287536594
0.20,0.38,0.09061557287536594
0.20,0.40,0.09061557287536594
0.20,0.42,0.09061557287536594
0.20,0.44,0.09061557287536594
0.20,0.46,0.09061557287536594
0.20,0.48,0.09061557287536594
0.22,0.00,0.012396741750991782
0.22,0.02,0.014076639374340867
0.22,0.04,0.019258164631909026
0.22,0.06,0.02765359112343973
0.22,0.08,0.04006318414032665
0.22,0.10,0.052386205355884945
0.22,0.12,0.07107509984431497
0.22,0.14,0.0773467390815424
0.22,0.16,0.08399436676925084
0.22,0.18,0.0905707493372613
