attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.07816877870453243
0.02,0.02,0.07816877870453243
0.02,0.04,0.07816877870453243
0.02,0.06,0.07930088148622719
0.02,0.08,0.07970312874888338
0.02,0.10,0.07999185919022639
0.02,0.12,0.07816877870453243
0.02,0.14,0.08617713557334296
0.02,0.16,0.07970312874888338
0.02,0.18,0.0812390776528538
0.02,0.20,0.07816877870453243
0.02,0.22,0.07934457295059484
0.02,0.24,0.07816877870453243
0.02,0.26,0.07816877870453243
0.02,0.28,0.07962363805638963
0.02,0.30,0.08234146598637024
0.02,0.32,0.0812390776528538
0.02,0.34,0.0847837323171935
0.02,0.36,0.08156469469452121
0.02,0.38,0.08509289640689664
0.02,0.40,0.08815344043176691
0.02,0.42,0.08358523364897558
0.02,0.44,0.08312976296795892
0.02,0.46,0.08080778015250774
0.02,0.48,0.08945594768243172
0.04,0.00,0.036916894594958095
0.04,0.02,0.036916894594958095
0.04,0.04,0.036916894594958095
0.04,0.06,0.055239385716156233
0.04,0.08,0.036916894594958095
0.04,0.10,0.036916894594958095
0.04,0.12,0.036916894594958095
0.04,0.14,0.052497086416279204
0.04,0.16,0.036985036109649136
0.04,0.18,0.06403165678488369
0.04,0.20,0.04614999284025361
0.04,0.22,0.05522057761957504
0.04,0.24,0.044297187651020864
0.04,0.26,0.06208837318483379
0.04,0.28,0.07014243308986025
0.04,0.30,0.07310113712805148
0.04,0.32,0.04787090651259265
0.04,0.34,0.06818209181223778
0.04,0.36,0.05511780301687605
0.04,0.38,0.06511862406610891
0.04,0.40,0.08166791671860284
0.04,0.42,0.058827926192142665
0.04,0.44,0.06374232332065217
0.04,0.46,0.060813818377154924
0.04,0.48,0.06368525509768697
0.06,0.00,0.024067243990134147
0.06,0.02,0.024049517973046854
0.06,0.04,0.0357582013027998
0.06,0.06,0.024067243990134147
0.06,0.08,0.027003194738464936
0.06,0.10,0.024762692821996328
0.06,0.12,0.03023478326159458
0.06,0.14,0.030336561119780503
0.06,0.16,0.04536152042091109
0.06,0.18,0.03447612240899159
0.06,0.20,0.03356190290143776
0.06,0.22,0.029768727945320855
0.06,0.24,0.04479720779223607
0.06,0.26,0.049730374958186475
0.06,0.28,0.026698066108050034
0.06,0.30,0.04454310194257641
0.06,0.32,0.02751311760979428
0.06,0.34,0.04379030338242465
0.06,0.36,0.04775122625736589
0.06,0.38,0.048775389866286295
0.06,0.40,0.03860687192411756
0.06,0.42,0.04141357953317306
0.06,0.44,0.05641881588741048
0.06,0.46,0.04702815131792343
0.06,0.48,0.06056922885296465
0.08,0.00,0.017907863948277557
0.08,0.02,0.018673291242539
0.08,0.04,0.017907863948277557
0.08,0.06,0.017926650948451178
0.08,0.08,0.018713204029567235
0.08,0.10,0.0328291181533311
0.08,0.12,0.023652627607283927
0.08,0.14,0.026505728400130574
0.08,0.16,0.023713524097923742
0.08,0.18,0.019837108234132116
0.08,0.20,0.027512497734813283
0.08,0.22,0.02623765255796479
0.08,0.24,0.024022716757291274
0.08,0.26,0.023029952356856166
0.08,0.28,0.02633097768725338
0.08,0.30,0.02274374014131184
0.08,0.32,0.03359844712073407
0.08,0.34,0.035603787594337286
0.08,0.36,0.044579261456025
0.08,0.38,0.03985472293650814
0.08,0.40,0.02399229698143804
0.08,0.42,0.05535523198341346
0.08,0.44,0.03340465173097434
0.08,0.46,0.046684801500882354
0.08,0.48,0.04016189150197235
0.10,0.00,0.013231110106148483
0.10,0.02,0.014140603036327757
0.10,0.04,0.015440602076046755
0.10,0.06,0.013231110106148483
0.10,0.08,0.015407165126809124
0.10,0.10,0.015632629784214386
0.10,0.12,0.015794829452177944
0.10,0.14,0.01725798893673689
0.10,0.16,0.022237876277749848
0.10,0.18,0.013240308878133045
0.10,0.20,0.01904561271829586
0.10,0.22,0.01953572184866466
0.10,0.24,0.02089419915737009
0.10,0.26,0.0180713091766061
0.10,0.28,0.043269016481001794
0.10,0.30,0.022852050219689488
0.10,0.32,0.035886436882411756
0.10,0.34,0.03254648397115428
0.10,0.36,0.017503483514679837
0.10,0.38,0.023335582216800536
0.10,0.40,0.025407831596373085
0.10,0.42,0.022582003381318203
0.10,0.44,0.03662634270531893
0.10,0.46,0.050852999567645774
0.10,0.48,0.039970490476416105
0.12,0.00,0.012121575206836833
0.12,0.02,0.012707344016889246
0.12,0.04,0.012121575206836833
0.12,0.06,0.012986916518683956
0.12,0.08,0.012191785167997066
0.12,0.10,0.013895758938929064
0.12,0.12,0.012910300298739828
0.12,0.14,0.015944681993555948
0.12,0.16,0.013085798269476602
0.12,0.18,0.012775851730531092
0.12,0.20,0.016701561181537084
0.12,0.22,0.015544958862889905
0.12,0.24,0.016035262251556392
0.12,0.26,0.01820108976907527
0.12,0.28,0.016644871616370936
0.12,0.30,0.021295747979768718
0.12,0.32,0.030839410436540416
0.12,0.34,0.013656509702495068
0.12,0.36,0.0214323636391576
0.12,0.38,0.03221306054948452
0.12,0.40,0.016766291934463065
0.12,0.42,0.028821549975176688
0.12,0.44,0.03281544796910909
0.12,0.46,0.02574457781685867
0.12,0.48,0.021914748758884817
0.14,0.00,0.01222852049318722
0.14,0.02,0.01222852049318722
0.14,0.04,0.013266498759439345
0.14,0.06,0.013323235246451336
0.14,0.08,0.012169307462871705
0.14,0.10,0.012091745190842858
0.14,0.12,0.015531366715620144
0.14,0.14,0.02160766534841167
0.14,0.16,0.012265044542676138
0.14,0.18,0.013768404762122563
0.14,0.20,0.01555645860548599
0.14,0.22,0.01360489224947684
0.14,0.24,0.014171160531711803
0.14,0.26,0.017473769914577893
0.14,0.28,0.013745457352640733
0.14,0.30,0.016417053124084115
0.14,0.32,0.015999891388998582
0.14,0.34,0.018478464092718562
0.14,0.36,0.02289818134159428
0.14,0.38,0.016621503563444565
0.14,0.40,0.026474943156876075
0.14,0.42,0.023884811785206423
0.14,0.44,0.02025930870851534
0.14,0.46,0.026967871129015195
0.14,0.48,0.020239240505156558
0.16,0.00,0.011469393974912848
0.16,0.02,0.01141339895947728
0.16,0.04,0.012638070240026352
0.16,0.06,0.011645211103927574
0.16,0.08,0.011777936720917054
0.16,0.10,0.01171161797253463
0.16,0.12,0.011448198760914421
0.16,0.14,0.011925596312630415
0.16,0.16,0.012606594873655225
0.16,0.18,0.012376700337090528
0.16,0.20,0.01461781129074324
0.16,0.22,0.011916196962438555
0.16,0.24,0.013646533217587662
0.16,0.26,0.01672724458469908
0.16,0.28,0.02523540267092614
0.16,0.30,0.01569343635301654
0.16,0.32,0.013040502066788048
0.16,0.34,0.015136229473635118
0.16,0.36,0.013624584310249314
0.16,0.38,0.0180581719714626
0.16,0.40,0.01875481459139356
0.16,0.42,0.025081794936277123
0.16,0.44,0.017406101871769063
0.16,0.46,0.019856824411969613
0.16,0.48,0.021303690489607
0.18,0.00,0.01187737260998477
0.18,0.02,0.01187737260998477
0.18,0.04,0.01196286532367262
0.18,0.06,0.012650917897917497
0.18,0.08,0.012053379493037952
0.18,0.10,0.012981894981053604
0.18,0.12,0.012739063000409185
0.18,0.14,0.011880782038261898
0.18,0.16,0.01437479875925167
0.18,0.18,0.012255484554792065
0.18,0.20,0.012242805345132108
0.18,0.22,0.013383967294454822
0.18,0.24,0.012826648057555198
0.18,0.26,0.015528789446460212
0.18,0.28,0.013846413078843671
0.18,0.30,0.01652892697896367
0.18,0.32,0.013152570591567945
0.18,0.34,0.01620600834848807
0.18,0.36,0.01437486656936017
0.18,0.38,0.023241123001065622
0.18,0.40,0.016938916587434082
0.18,0.42,0.014726824406564766
0.18,0.44,0.01606062099401472
0.18,0.46,0.015599387075308271
0.18,0.48,0.02532103554236835
0.20,0.00,0.01203785372411799
0.20,0.02,0.012284760136370447
0.20,0.04,0.011948352952934957
0.20,0.06,0.012359535330046837
0.20,0.08,0.012623355112496635
0.20,0.10,0.012071851535947996
0.20,0.12,0.011899013501401589
0.20,0.14,0.013285747012563638
0.20,0.16,0.012064820787880688
0.20,0.18,0.012650886734631415
0.20,0.20,0.012875588451702124
0.20,0.22,0.01219884736751956
0.20,0.24,0.014986186368730904
0.20,0.26,0.012414462985820373
0.20,0.28,0.013455041703879882
0.20,0.30,0.014668726006878513
0.20,0.32,0.01867039940151282
0.20,0.34,0.01562946476804687
0.20,0.36,0.016898168946667378
0.20,0.38,0.022644846179398017
0.20,0.40,0.014678363952255805
0.20,0.42,0.016048044701590262
0.20,0.44,0.021142127522611413
0.20,0.46,0.02025677706649177
0.20,0.48,0.015726057261030962
0.22,0.00,0.012396741750991782
0.22,0.02,0.01244883912434381
0.22,0.04,0.012630303031736472
0.22,0.06,0.013392656075339102
0.22,0.08,0.012279121322893848
0.22,0.10,0.01188362085136104
0.22,0.12,0.012247907401615635
0.22,0.14,0.012438972449840897
0.22,0.16,0.011873848212800435
0.22,0.18,0.017487360252331358
