attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.07816877870453243
0.02,0.02,0.08593660740886405
0.02,0.04,0.08978931141437324
0.02,0.06,0.08978931141437324
0.02,0.08,0.09061557287536594
0.02,0.10,0.09061557287536594
0.02,0.12,0.09061557287536594
0.02,0.14,0.09061557287536594
0.02,0.16,0.09061557287536594
0.02,0.18,0.09061557287536594
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.036916894594958095
0.04,0.02,0.06275281253117439
0.04,0.04,0.07654716418249059
0.04,0.06,0.0774666898401336
0.04,0.08,0.07837047529791363
0.04,0.10,0.08387591435276977
0.04,0.12,0.09019326406577338
0.04,0.14,0.09019326406577338
0.04,0.16,0.09019326406577338
0.04,0.18,0.09019326406577338
0.04,0.20,0.09019326406577338
0.04,0.22,0.09019326406577338
0.04,0.24,0.09019326406577338
0.04,0.26,0.09061557287536594
0.04,0.28,0.09061557287536594
0.04,0.30,0.09061557287536594
0.04,0.32,0.09061557287536594
0.04,0.34,0.09061557287536594
0.04,0.36,0.09061557287536594
0.04,0.38,0.09061557287536594
0.04,0.40,0.09061557287536594
0.04,0.42,0.09061557287536594
0.04,0.44,0.09061557287536594
0.04,0.46,0.09061557287536594
0.04,0.48,0.09061557287536594
0.06,0.00,0.024067243990134147
0.06,0.02,0.046608093651599465
0.06,0.04,0.057292468140711074
0.06,0.06,0.07102951032941038
0.06,0.08,0.071894019084786
0.06,0.10,0.07740303490677665
0.06,0.12,0.08340528279523146
0.06,0.14,0.08835371944105955
0.06,0.16,0.08835371944105955
0.06,0.18,0.08835371944105955
0.06,0.20,0.08835371944105955
0.06,0.22,0.08835371944105955
0.06,0.24,0.08835371944105955
0.06,0.26,0.09005995988262216
0.06,0.28,0.09005995988262216
0.06,0.30,0.09061557287536594
0.06,0.32,0.09061557287536594
0.06,0.34,0.09061557287536594
0.06,0.36,0.09061557287536594
0.06,0.38,0.09061557287536594
0.06,0.40,0.09061557287536594
0.06,0.42,0.09061557287536594
0.06,0.44,0.09061557287536594
0.06,0.46,0.09061557287536594
0.06,0.48,0.09061557287536594
0.08,0.00,0.017907863948277557
0.08,0.02,0.02722408085278439
0.08,0.04,0.04461250475564567
0.08,0.06,0.062184916905077194
0.08,0.08,0.0630437171541244
0.08,0.10,0.07002677157310327
0.08,0.12,0.07581898215115922
0.08,0.14,0.08050415027997783
0.08,0.16,0.08050415027997783
0.08,0.18,0.08519279457357573
0.08,0.20,0.08519279457357573
0.08,0.22,0.08519279457357573
0.08,0.24,0.08835371944105955
0.08,0.26,0.09005995988262216
0.08,0.28,0.09005995988262216
0.08,0.30,0.09061557287536594
0.08,0.32,0.09061557287536594
0.08,0.34,0.09061557287536594
0.08,0.36,0.09061557287536594
0.08,0.38,0.09061557287536594
0.08,0.40,0.09061557287536594
0.08,0.42,0.09061557287536594
0.08,0.44,0.09061557287536594
0.08,0.46,0.09061557287536594
0.08,0.48,0.09061557287536594
0.10,0.00,0.013231110106148483
0.10,0.02,0.017578600402008256
0.10,0.04,0.03614716618137942
0.10,0.06,0.052822729090157304
0.10,0.08,0.05365197257444189
0.10,0.10,0.06148049232515701
0.10,0.12,0.06805449533040775
0.10,0.14,0.07276968752305603
0.10,0.16,0.07276968752305603
0.10,0.18,0.07808581530017476
0.10,0.20,0.08032940399150296
0.10,0.22,0.08032940399150296
0.10,0.24,0.08350250990189625
0.10,0.26,0.08519943684500537
0.10,0.28,0.08584927953610014
0.10,0.30,0.086445145070002
0.10,0.32,0.08988455386025547
0.10,0.34,0.08988455386025547
0.10,0.36,0.08988455386025547
0.10,0.38,0.08988455386025547
0.10,0.40,0.08988455386025547
0.10,0.42,0.08988455386025547
0.10,0.44,0.08988455386025547
0.10,0.46,0.08988455386025547
0.10,0.48,0.08988455386025547
0.12,0.00,0.012121575206836833
0.12,0.02,0.015118464736529304
0.12,0.04,0.022815248962758355
0.12,0.06,0.043461716396153774
0.12,0.08,0.04399643051327075
0.12,0.10,0.05161759003904965
0.12,0.12,0.05823168937861046
0.12,0.14,0.06272908143970939
0.12,0.16,0.07207976512924168
0.12,0.18,0.07691741962981506
0.12,0.20,0.0796660912177425
0.12,0.22,0.0796660912177425
0.12,0.24,0.08285052709183216
0.12,0.26,0.08454825934716914
0.12,0.28,0.08527924405401961
0.12,0.30,0.08588058755525405
0.12,0.32,0.0893289395600357
0.12,0.34,0.0893289395600357
0.12,0.36,0.0893289395600357
0.12,0.38,0.0893289395600357
0.12,0.40,0.0893289395600357
0.12,0.42,0.0893289395600357
0.12,0.44,0.0893289395600357
0.12,0.46,0.0893289395600357
0.12,0.48,0.0893289395600357
0.14,0.00,0.01222852049318722
0.14,0.02,0.01440580577001941
0.14,0.04,0.019887447392855754
0.14,0.06,0.03918548372136369
0.14,0.08,0.039594894328589356
0.14,0.10,0.04731960090553037
0.14,0.12,0.05554214955640865
0.14,0.14,0.06000957307357405
0.14,0.16,0.06912070490484215
0.14,0.18,0.07397402001113888
0.14,0.20,0.07664274468924961
0.14,0.22,0.07664274468924961
0.14,0.24,0.07982664645023152
0.14,0.26,0.08148523727977372
0.14,0.28,0.08325726560552471
0.14,0.30,0.08394310180094475
0.14,0.32,0.0874099305690731
0.14,0.34,0.0874099305690731
0.14,0.36,0.0874099305690731
0.14,0.38,0.0874099305690731
0.14,0.40,0.0874099305690731
0.14,0.42,0.08890096907966277
0.14,0.44,0.08890096907966277
0.14,0.46,0.08890096907966277
0.14,0.48,0.08890096907966277
0.16,0.00,0.011469393974912848
0.16,0.02,0.012781114534419024
0.16,0.04,0.016864350511813633
0.16,0.06,0.0320226614240367
0.16,0.08,0.03248136772157915
0.16,0.10,0.03936532082110683
0.16,0.12,0.05036058499857374
0.16,0.14,0.05643887464455874
0.16,0.16,0.0653813325390229
0.16,0.18,0.07016365996817817
0.16,0.20,0.07344024272139187
0.16,0.22,0.07344024272139187
0.16,0.24,0.07661135525607397
0.16,0.26,0.07829683280240743
0.16,0.28,0.0800689080614712
0.16,0.30,0.08075639276677667
0.16,0.32,0.08568644948199935
0.16,0.34,0.08568644948199935
0.16,0.36,0.08568644948199935
0.16,0.38,0.08568644948199935
0.16,0.40,0.08568644948199935
0.16,0.42,0.08717560432697426
0.16,0.44,0.08717560432697426
0.16,0.46,0.08717560432697426
0.16,0.48,0.08717560432697426
0.18,0.00,0.01187737260998477
0.18,0.02,0.013077928608192159
0.18,0.04,0.016402806415126543
0.18,0.06,0.02865092238197652
0.18,0.08,0.029223781839715093
0.18,0.10,0.035752542445730506
0.18,0.12,0.0464106342080079
0.18,0.14,0.05234153229911651
0.18,0.16,0.06100086694396409
0.18,0.18,0.06563736527009251
0.18,0.20,0.06891392737026547
0.18,0.22,0.06891392737026547
0.18,0.24,0.07203173545196652
0.18,0.26,0.07381643133578167
0.18,0.28,0.07551566415858024
0.18,0.30,0.07994829323318563
0.18,0.32,0.08493318173543837
0.18,0.34,0.08493318173543837
0.18,0.36,0.08493318173543837
0.18,0.38,0.08493318173543837
0.18,0.40,0.08493318173543837
0.18,0.42,0.08642746093015624
0.18,0.44,0.08642746093015624
0.18,0.46,0.08642746093015624
0.18,0.48,0.08642746093015624
0.20,0.00,0.01203785372411799
0.20,0.02,0.013307024649249932
0.20,0.04,0.016804918682884293
0.20,0.06,0.029656832330495916
0.20,0.08,0.03024900019303914
0.20,0.10,0.037085186767236634
0.20,0.12,0.048240962631766214
0.20,0.14,0.054442462231484814
0.20,0.16,0.0634826539103285
0.20,0.18,0.06831997404625291
0.20,0.20,0.07173206556023447
0.20,0.22,0.07173206556023447
0.20,0.24,0.07498486510538122
0.20,0.26,0.0768252438626947
0.20,0.28,0.07858396916312227
0.20,0.30,0.07941540659052333
0.20,0.32,0.08451181048100365
0.20,0.34,0.08453209209291965
0.20,0.36,0.08453209209291965
0.20,0.38,0.08450797591545016
0.20,0.40,0.08450797591545016
0.20,0.42,0.08602801103291988
0.20,0.44,0.08596287301780456
0.20,0.46,0.08596287301780456
0.20,0.48,0.08596287301780456
0.22,0.00,0.012396741750991782
0.22,0.02,0.013719679567702592
0.22,0.04,0.017366215465198013
0.22,0.06,0.02956108547424471
0.22,0.08,0.030154414431940123
0.22,0.10,0.03724768787716952
0.22,0.12,0.04877205025365345
0.22,0.14,0.055120430955688686
0.22,0.16,0.06427266965510299
0.22,0.18,0.06916908956201996
