attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08233316981600503
0.02,0.02,0.08323702452940415
0.02,0.04,0.08215258250931064
0.02,0.06,0.08374340225378116
0.02,0.08,0.08304349933995696
0.02,0.10,0.08184531036565328
0.02,0.12,0.08434808129066768
0.02,0.14,0.08423327169856834
0.02,0.16,0.08478720797656523
0.02,0.18,0.08498807259140306
0.02,0.20,0.08500946250467749
0.02,0.22,0.0845867720265954
0.02,0.24,0.08575333406048724
0.02,0.26,0.08570446356059828
0.02,0.28,0.0871376295126586
0.02,0.30,0.08681967404427421
0.02,0.32,0.08739819484321795
0.02,0.34,0.08710394665712481
0.02,0.36,0.0871205815371987
0.02,0.38,0.08765425481636754
0.02,0.40,0.08833206712716378
0.02,0.42,0.08848483894911356
0.02,0.44,0.08802825132032854
0.02,0.46,0.08828866352496487
0.02,0.48,0.0878679965825217
0.04,0.00,0.0747707251875309
0.04,0.02,0.07628440561217958
0.04,0.04,0.07453001236680674
0.04,0.06,0.07590634651568808
0.04,0.08,0.07541844613536466
0.04,0.10,0.07659513066906029
0.04,0.12,0.07763867588236163
0.04,0.14,0.07715526428706707
0.04,0.16,0.0779094707828516
0.04,0.18,0.08012459127214511
0.04,0.20,0.08023345206262653
0.04,0.22,0.08035995060529078
0.04,0.24,0.08201265393704382
0.04,0.26,0.08327220917031863
0.04,0.28,0.08121399254809207
0.04,0.30,0.08174385775007324
0.04,0.32,0.08478857695832985
0.04,0.34,0.08406113885297777
0.04,0.36,0.08564345889836836
0.04,0.38,0.08545732327857493
0.04,0.40,0.08514868631343182
0.04,0.42,0.0859656769790869
0.04,0.44,0.08662478035857156
0.04,0.46,0.08620903300052832
0.04,0.48,0.08564422506074747
0.06,0.00,0.06737412507517339
0.06,0.02,0.06702868987905124
0.06,0.04,0.07060361706001629
0.06,0.06,0.06916657006231525
0.06,0.08,0.06886651591181082
0.06,0.10,0.07105504150402017
0.06,0.12,0.07262863995883084
0.06,0.14,0.07107295392055848
0.06,0.16,0.07333254642229968
0.06,0.18,0.07330005227425981
0.06,0.20,0.07455405035325038
0.06,0.22,0.07459958364090416
0.06,0.24,0.0767245642041493
0.06,0.26,0.07884514447846694
0.06,0.28,0.07741970604381374
0.06,0.30,0.08099045017427522
0.06,0.32,0.0794770287256632
0.06,0.34,0.07940502805122775
0.06,0.36,0.08237336994887309
0.06,0.38,0.0809775055526767
0.06,0.40,0.08298317120272428
0.06,0.42,0.08272162283467241
0.06,0.44,0.08368120549253537
0.06,0.46,0.08341399839859834
0.06,0.48,0.08436833922116554
0.08,0.00,0.06119959553650343
0.08,0.02,0.0622790941250038
0.08,0.04,0.06384813409839227
0.08,0.06,0.06550048295689585
0.08,0.08,0.06393096970446335
0.08,0.10,0.06557339246619558
0.08,0.12,0.07034922345375456
0.08,0.14,0.06717134776687038
0.08,0.16,0.07108309884446269
0.08,0.18,0.07043924031966985
0.08,0.20,0.07358677887285485
0.08,0.22,0.0742956011621908
0.08,0.24,0.07388338641955548
0.08,0.26,0.0775037186706646
0.08,0.28,0.07671256560177724
0.08,0.30,0.07606369918089902
0.08,0.32,0.07950836696402735
0.08,0.34,0.08012118314679084
0.08,0.36,0.08107117351432722
0.08,0.38,0.08099580634943945
0.08,0.40,0.08179526745470975
0.08,0.42,0.08049784380976378
0.08,0.44,0.08174676978905934
0.08,0.46,0.08314461128240434
0.08,0.48,0.08248281056850579
0.10,0.00,0.059194757320705935
0.10,0.02,0.058621116198933954
0.10,0.04,0.057565435963012536
0.10,0.06,0.05759982165940077
0.10,0.08,0.0599447998761499
0.10,0.10,0.06182532955763324
0.10,0.12,0.06285360724910669
0.10,0.14,0.06400733058074273
0.10,0.16,0.06808170950533668
0.10,0.18,0.06414718971681065
0.10,0.20,0.07001306663721939
0.10,0.22,0.07022133244390708
0.10,0.24,0.06961846973117383
0.10,0.26,0.07254114570570931
0.10,0.28,0.07221446582208271
0.10,0.30,0.07471868526934312
0.10,0.32,0.07506149957313064
0.10,0.34,0.0757852178927839
0.10,0.36,0.0774351765217226
0.10,0.38,0.07946810749918738
0.10,0.40,0.07926583466817347
0.10,0.42,0.08000997981842224
0.10,0.44,0.07961574628742371
0.10,0.46,0.08144961273008984
0.10,0.48,0.08094625037178763
0.12,0.00,0.054066787298882
0.12,0.02,0.053684661142909526
0.12,0.04,0.05294471070565567
0.12,0.06,0.05486905389597766
0.12,0.08,0.05817197290330699
0.12,0.10,0.059164190136858516
0.12,0.12,0.059797098641591086
0.12,0.14,0.06250767149927916
0.12,0.16,0.06266062138950314
0.12,0.18,0.06300041763245146
0.12,0.20,0.0653547261694311
0.12,0.22,0.06551615040141397
0.12,0.24,0.06616392179017476
0.12,0.26,0.06969616264608829
0.12,0.28,0.07306802365420063
0.12,0.30,0.07156670987446033
0.12,0.32,0.07271802251810182
0.12,0.34,0.07397467913459374
0.12,0.36,0.07550890295688582
0.12,0.38,0.07609155687468752
0.12,0.40,0.07611537949249318
0.12,0.42,0.07849909677342937
0.12,0.44,0.0788767101835576
0.12,0.46,0.08150584737229417
0.12,0.48,0.08086025645383858
0.14,0.00,0.04892943881958705
0.14,0.02,0.04904666253756304
0.14,0.04,0.049441247686499754
0.14,0.06,0.05132820251332908
0.14,0.08,0.05517033827219533
0.14,0.10,0.05709127057362904
0.14,0.12,0.05843233342487462
0.14,0.14,0.05476021964385003
0.14,0.16,0.05939712967355121
0.14,0.18,0.06085096279083989
0.14,0.20,0.06263100115283562
0.14,0.22,0.06373960020284289
0.14,0.24,0.06439811155539973
0.14,0.26,0.065430585476829
0.14,0.28,0.06740107617961011
0.14,0.30,0.06668638786267927
0.14,0.32,0.0701452479355171
0.14,0.34,0.07204991149193282
0.14,0.36,0.07469337708137821
0.14,0.38,0.07250166089025133
0.14,0.40,0.07622532951210237
0.14,0.42,0.07883839939356921
0.14,0.44,0.07844888842102951
0.14,0.46,0.079111285550191
0.14,0.48,0.08022249929336012
0.16,0.00,0.0472261342181919
0.16,0.02,0.0444431045359208
0.16,0.04,0.04574091769900796
0.16,0.06,0.048361286892098856
0.16,0.08,0.04885819175146987
0.16,0.10,0.054147449772897524
0.16,0.12,0.05442682666644263
0.16,0.14,0.054499302782265356
0.16,0.16,0.05852009532523148
0.16,0.18,0.05997900981731528
0.16,0.20,0.059897831071673104
0.16,0.22,0.06365820028331205
0.16,0.24,0.06426032399208793
0.16,0.26,0.06520770577552003
0.16,0.28,0.06853160366035066
0.16,0.30,0.06752970696612418
0.16,0.32,0.06925974385868308
0.16,0.34,0.06968056971273281
0.16,0.36,0.07076278971824027
0.16,0.38,0.07369167459274303
0.16,0.40,0.07519231240004916
0.16,0.42,0.0760970733487627
0.16,0.44,0.07655171395957619
0.16,0.46,0.07706965437819797
0.16,0.48,0.07923206770795917
0.18,0.00,0.04054322946099216
0.18,0.02,0.04244980754300362
0.18,0.04,0.04020008203592528
0.18,0.06,0.0419575884939397
0.18,0.08,0.04632987099930309
0.18,0.10,0.0480079817426
0.18,0.12,0.0496519485773989
0.18,0.14,0.0520869055887853
0.18,0.16,0.05824871808574252
0.18,0.18,0.05697754162036243
0.18,0.20,0.05769971824651554
0.18,0.22,0.059340616711866315
0.18,0.24,0.06083320667569812
0.18,0.26,0.062049738791858336
0.18,0.28,0.06466934189441947
0.18,0.30,0.06727068178843412
0.18,0.32,0.06972910824022058
0.18,0.34,0.06915572974358611
0.18,0.36,0.06979363650351642
0.18,0.38,0.06923767654661198
0.18,0.40,0.07302957468481566
0.18,0.42,0.07414798039898227
0.18,0.44,0.07643732020008026
0.18,0.46,0.07614737718766139
0.18,0.48,0.07642035741079548
0.20,0.00,0.03743255242472758
0.20,0.02,0.04120290284350717
0.20,0.04,0.03957323559178643
0.20,0.06,0.042802385677560964
0.20,0.08,0.04376221757835323
0.20,0.10,0.046510629129665394
0.20,0.12,0.046881066306643474
0.20,0.14,0.05203856061372204
0.20,0.16,0.05384063334969119
0.20,0.18,0.05567087904942643
0.20,0.20,0.0570916459031794
0.20,0.22,0.0592382284725401
0.20,0.24,0.061038641394269955
0.20,0.26,0.06116999436425726
0.20,0.28,0.062148879058413396
0.20,0.30,0.0651033711680405
0.20,0.32,0.06813283551987862
0.20,0.34,0.07031972652844024
0.20,0.36,0.06726568185462291
0.20,0.38,0.07119333886223968
0.20,0.40,0.07184283375221978
0.20,0.42,0.07236200879777303
0.20,0.44,0.07446331226478095
0.20,0.46,0.07531504921908021
0.20,0.48,0.07658991079429253
0.22,0.00,0.03246749411395324
0.22,0.02,0.03637040267323571
0.22,0.04,0.0406973406817326
0.22,0.06,0.038742837004282306
0.22,0.08,0.04257949783696012
0.22,0.10,0.046002243065115585
0.22,0.12,0.04815066092712184
0.22,0.14,0.04847459273943262
0.22,0.16,0.051656414890307756
0.22,0.18,0.05305454819429446
