attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.0832492830678939
0.02,0.02,0.08154484050619834
0.02,0.04,0.08393326844135343
0.02,0.06,0.08168118425110255
0.02,0.08,0.08387494956567945
0.02,0.10,0.08460436044495058
0.02,0.12,0.08544635182333
0.02,0.14,0.0843970742620574
0.02,0.16,0.08406381713609132
0.02,0.18,0.08333008311786193
0.02,0.20,0.08349088533737174
0.02,0.22,0.08492208904594732
0.02,0.24,0.08616867674420296
0.02,0.26,0.08284506325792629
0.02,0.28,0.08759648689485267
0.02,0.30,0.08529672970669713
0.02,0.32,0.08596172311832648
0.02,0.34,0.0856507794898135
0.02,0.36,0.08707085461906741
0.02,0.38,0.08591694946764897
0.02,0.40,0.08672808191104718
0.02,0.42,0.08593323793764586
0.02,0.44,0.08765008783358155
0.02,0.46,0.08623797061530247
0.02,0.48,0.08699543273199996
0.04,0.00,0.07357323913119185
0.04,0.02,0.07506952795815626
0.04,0.04,0.07575591181543506
0.04,0.06,0.07559439432337445
0.04,0.08,0.07584796407400453
0.04,0.10,0.07671378144956562
0.04,0.12,0.0787272825451283
0.04,0.14,0.07670533517304903
0.04,0.16,0.07867063661382646
0.04,0.18,0.0798987185168096
0.04,0.20,0.07936825765022984
0.04,0.22,0.08023211456202602
0.04,0.24,0.08011611130780302
0.04,0.26,0.08160749677826622
0.04,0.28,0.07999951260497092
0.04,0.30,0.0826455710808877
0.04,0.32,0.08143427246639968
0.04,0.34,0.08340052891749902
0.04,0.36,0.08267774225670503
0.04,0.38,0.08253860801185761
0.04,0.40,0.08408010172273014
0.04,0.42,0.0850418866013465
0.04,0.44,0.08493837440170916
0.04,0.46,0.0825547510437779
0.04,0.48,0.0835014910398348
0.06,0.00,0.06832361825303497
0.06,0.02,0.06828574185457234
0.06,0.04,0.06856086934439816
0.06,0.06,0.06897060271153736
0.06,0.08,0.07298000481832875
0.06,0.10,0.06962714708994586
0.06,0.12,0.07220993819673117
0.06,0.14,0.07362126608308454
0.06,0.16,0.0749144850574814
0.06,0.18,0.07513012195273379
0.06,0.20,0.07556686512597162
0.06,0.22,0.07528705542375429
0.06,0.24,0.07730724215381275
0.06,0.26,0.07664388135204776
0.06,0.28,0.07749788531326574
0.06,0.30,0.0775240323527154
0.06,0.32,0.07793950669875828
0.06,0.34,0.0784278584578467
0.06,0.36,0.07920659258566262
0.06,0.38,0.08072688268332179
0.06,0.40,0.07883961505670029
0.06,0.42,0.07860356152385942
0.06,0.44,0.08034598833932721
0.06,0.46,0.08064031792842684
0.06,0.48,0.07919038563915745
0.08,0.00,0.0633767822188917
0.08,0.02,0.061911682656475994
0.08,0.04,0.0631184888019867
0.08,0.06,0.06457374462811546
0.08,0.08,0.06836237655912333
0.08,0.10,0.06773120612388564
0.08,0.12,0.06961583640906488
0.08,0.14,0.06754552538341536
0.08,0.16,0.07111196410290217
0.08,0.18,0.07248460453051399
0.08,0.20,0.0728684043372513
0.08,0.22,0.07092970776004659
0.08,0.24,0.07390043198116034
0.08,0.26,0.07439183579402944
0.08,0.28,0.07166638552917477
0.08,0.30,0.07314480440784357
0.08,0.32,0.07675036764390214
0.08,0.34,0.07525198090630227
0.08,0.36,0.0782773367612755
0.08,0.38,0.0786889349660034
0.08,0.40,0.0756238521549095
0.08,0.42,0.07850990073930462
0.08,0.44,0.07894546748913
0.08,0.46,0.07995269356561115
0.08,0.48,0.07753566154992575
0.10,0.00,0.054526820992037636
0.10,0.02,0.060153612698686
0.10,0.04,0.05906101631955172
0.10,0.06,0.06019645698285939
0.10,0.08,0.06294039069991751
0.10,0.10,0.06369821673670421
0.10,0.12,0.06378785050467048
0.10,0.14,0.06673702304682817
0.10,0.16,0.06488370389025178
0.10,0.18,0.06905598351644861
0.10,0.20,0.06462394629796925
0.10,0.22,0.06934170276828719
0.10,0.24,0.06992129564855568
0.10,0.26,0.06964650634375953
0.10,0.28,0.06993301941340671
0.10,0.30,0.07340494927977867
0.10,0.32,0.07109231752340726
0.10,0.34,0.07190816158906552
0.10,0.36,0.07498919020815624
0.10,0.38,0.07339969729400643
0.10,0.40,0.07285871529813623
0.10,0.42,0.07644554563534088
0.10,0.44,0.0748230246902781
0.10,0.46,0.07612501982860698
0.10,0.48,0.07620950281329202
0.12,0.00,0.052707708742208204
0.12,0.02,0.05142607198064365
0.12,0.04,0.056376975927920715
0.12,0.06,0.057164014530718954
0.12,0.08,0.05589082059259239
0.12,0.10,0.05975085006524289
0.12,0.12,0.059053628802755276
0.12,0.14,0.06131709730060009
0.12,0.16,0.06579822163615946
0.12,0.18,0.059338556385149364
0.12,0.20,0.06584796837476041
0.12,0.22,0.06708804649755767
0.12,0.24,0.06595145450744064
0.12,0.26,0.06833319127599231
0.12,0.28,0.0675439364011298
0.12,0.30,0.07207965303520915
0.12,0.32,0.06987555151108941
0.12,0.34,0.07184572830134663
0.12,0.36,0.07082595365542568
0.12,0.38,0.07377955481652355
0.12,0.40,0.07349248290788145
0.12,0.42,0.07049115388943242
0.12,0.44,0.07503992295810959
0.12,0.46,0.07425538558833042
0.12,0.48,0.07464875367509519
0.14,0.00,0.0465863928935117
0.14,0.02,0.05014262529545601
0.14,0.04,0.05155939317267115
0.14,0.06,0.05356812089173017
0.14,0.08,0.054126286933573756
0.14,0.10,0.05241381682974385
0.14,0.12,0.05610702791489809
0.14,0.14,0.05871571901592931
0.14,0.16,0.060753780790599454
0.14,0.18,0.06248521819917376
0.14,0.20,0.06225999191180544
0.14,0.22,0.06395390523138592
0.14,0.24,0.0665739831369479
0.14,0.26,0.0654679048827153
0.14,0.28,0.06591851113138011
0.14,0.30,0.06958974725928273
0.14,0.32,0.06752899119103035
0.14,0.34,0.0689737300124053
0.14,0.36,0.06953334404113895
0.14,0.38,0.06960003731599704
0.14,0.40,0.07029893008968911
0.14,0.42,0.06927053145384948
0.14,0.44,0.07217408254339149
0.14,0.46,0.0711636982233799
0.14,0.48,0.07216513354128104
0.16,0.00,0.04474922193689744
0.16,0.02,0.04514817267136944
0.16,0.04,0.04876426371827945
0.16,0.06,0.05070631376638487
0.16,0.08,0.051657620886856534
0.16,0.10,0.05226593239551554
0.16,0.12,0.05355106394204513
0.16,0.14,0.05863827024635314
0.16,0.16,0.05598862849707494
0.16,0.18,0.05685108378854522
0.16,0.20,0.06098633692755775
0.16,0.22,0.06025733217193184
0.16,0.24,0.06326619479815214
0.16,0.26,0.06347216737482922
0.16,0.28,0.06559127850851373
0.16,0.30,0.06498640182806584
0.16,0.32,0.06804669154299207
0.16,0.34,0.0666524884800802
0.16,0.36,0.06836339588862614
0.16,0.38,0.06887273431605749
0.16,0.40,0.06750293941827709
0.16,0.42,0.06766650466770231
0.16,0.44,0.0699276127658438
0.16,0.46,0.0703362751720844
0.16,0.48,0.07294183486922208
0.18,0.00,0.037734867176200754
0.18,0.02,0.04178000807778996
0.18,0.04,0.04179114987783251
0.18,0.06,0.04653361759126375
0.18,0.08,0.051720989876056646
0.18,0.10,0.05280667618069603
0.18,0.12,0.05249223301435696
0.18,0.14,0.05549540958159475
0.18,0.16,0.05708257803731311
0.18,0.18,0.053473868481221355
0.18,0.20,0.05814136424178512
0.18,0.22,0.0588901445612489
0.18,0.24,0.06085753542499821
0.18,0.26,0.06388646594647011
0.18,0.28,0.06277198943772315
0.18,0.30,0.06437235502915054
0.18,0.32,0.06441465006865105
0.18,0.34,0.06336533387736464
0.18,0.36,0.06646127010103411
0.18,0.38,0.0663998698272422
0.18,0.40,0.06820287236582054
0.18,0.42,0.06920424543360418
0.18,0.44,0.07043283413427183
0.18,0.46,0.06983123834381387
0.18,0.48,0.07171024031437943
0.20,0.00,0.040198829651980454
0.20,0.02,0.03736957729258798
0.20,0.04,0.04280740558180947
0.20,0.06,0.03940637979286777
0.20,0.08,0.0455200372521019
0.20,0.10,0.049330073588864626
0.20,0.12,0.051595845956618445
0.20,0.14,0.05054511738971795
0.20,0.16,0.0521436956290768
0.20,0.18,0.05275456969125447
0.20,0.20,0.05496575264585224
0.20,0.22,0.06086035267039151
0.20,0.24,0.05930658667544092
0.20,0.26,0.05840299394674096
0.20,0.28,0.06252884770228942
0.20,0.30,0.06376124144923331
0.20,0.32,0.062011263354593504
0.20,0.34,0.06512441795815718
0.20,0.36,0.0644313576466151
0.20,0.38,0.06397203183814235
0.20,0.40,0.06605703364938824
0.20,0.42,0.06618402340066039
0.20,0.44,0.06690877001853647
0.20,0.46,0.0686855575039316
0.20,0.48,0.07145299746549631
0.22,0.00,0.03179724222788692
0.22,0.02,0.037952213157852875
0.22,0.04,0.03879868065807165
0.22,0.06,0.04137842337393334
0.22,0.08,0.042167055099197534
0.22,0.10,0.0425544709008185
0.22,0.12,0.050956230458242324
0.22,0.14,0.050462625960039066
0.22,0.16,0.05044374964424816
0.22,0.18,0.050366276938528146
