attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08239825016750844
0.02,0.02,0.08441026631903965
0.02,0.04,0.08149288147836062
0.02,0.06,0.08354865750072524
0.02,0.08,0.0833693059619762
0.02,0.10,0.08360393397774263
0.02,0.12,0.08537653211493675
0.02,0.14,0.08305123751528876
0.02,0.16,0.08208266670691264
0.02,0.18,0.08361223730702519
0.02,0.20,0.08433626577206754
0.02,0.22,0.08474363952082768
0.02,0.24,0.08320697491202575
0.02,0.26,0.08411447791029891
0.02,0.28,0.0845261175162138
0.02,0.30,0.08518948296434399
0.02,0.32,0.08585308738668143
0.02,0.34,0.0859208901439606
0.02,0.36,0.08663563754177109
0.02,0.38,0.085181574666064
0.02,0.40,0.08503104415943782
0.02,0.42,0.0862595842787346
0.02,0.44,0.0861813140300969
0.02,0.46,0.08632028883436503
0.02,0.48,0.08830413637770267
0.04,0.00,0.07450334119431534
0.04,0.02,0.07397100682859833
0.04,0.04,0.07668269168146609
0.04,0.06,0.07305550027945554
0.04,0.08,0.07604200642524317
0.04,0.10,0.07501505228907895
0.04,0.12,0.07727405384195599
0.04,0.14,0.07454607213486243
0.04,0.16,0.0767243151361355
0.04,0.18,0.07645741414561258
0.04,0.20,0.07687826166658407
0.04,0.22,0.07839226476033392
0.04,0.24,0.07788743508607174
0.04,0.26,0.07598230799839507
0.04,0.28,0.07743163243587488
0.04,0.30,0.08153142053656746
0.04,0.32,0.07762524339407369
0.04,0.34,0.08040025638649047
0.04,0.36,0.07861352853716672
0.04,0.38,0.08098297930734397
0.04,0.40,0.08122623959132316
0.04,0.42,0.08025770747145577
0.04,0.44,0.08133957844005606
0.04,0.46,0.08194256727677188
0.04,0.48,0.08323319187561407
0.06,0.00,0.0681751430492089
0.06,0.02,0.07241106078055788
0.06,0.04,0.07102114998191503
0.06,0.06,0.06690195221479439
0.06,0.08,0.06719610525041174
0.06,0.10,0.0687265721877938
0.06,0.12,0.06942930663253591
0.06,0.14,0.07026617629112863
0.06,0.16,0.07110391493820817
0.06,0.18,0.07377230865316213
0.06,0.20,0.06981057995917864
0.06,0.22,0.06924864560770742
0.06,0.24,0.0724839047980129
0.06,0.26,0.0703334026735135
0.06,0.28,0.07304784289270014
0.06,0.30,0.07601166427151065
0.06,0.32,0.07308131060791463
0.06,0.34,0.07611505662624488
0.06,0.36,0.07425555687658744
0.06,0.38,0.07569921540076184
0.06,0.40,0.07540110884956919
0.06,0.42,0.07383628087740564
0.06,0.44,0.07337223567401957
0.06,0.46,0.07857699180554344
0.06,0.48,0.07985553846583118
0.08,0.00,0.06444656104439636
0.08,0.02,0.06039816878062139
0.08,0.04,0.061279380504778956
0.08,0.06,0.06384236792457296
0.08,0.08,0.06269129896783618
0.08,0.10,0.06166381373304212
0.08,0.12,0.06229776373393834
0.08,0.14,0.06411683159440712
0.08,0.16,0.06598301861340665
0.08,0.18,0.065151658523798
0.08,0.20,0.0675852044695778
0.08,0.22,0.06714333954515288
0.08,0.24,0.0678999626698231
0.08,0.26,0.0667900161065135
0.08,0.28,0.06770255198027703
0.08,0.30,0.0693599780887848
0.08,0.32,0.0707119942956777
0.08,0.34,0.06975241915681289
0.08,0.36,0.07168886806310133
0.08,0.38,0.07380403679794888
0.08,0.40,0.07046775303567626
0.08,0.42,0.07299366498534972
0.08,0.44,0.07473430570960286
0.08,0.46,0.07385668125747194
0.08,0.48,0.07227062014334702
0.10,0.00,0.059146901412785
0.10,0.02,0.05823928121168605
0.10,0.04,0.05791848697037292
0.10,0.06,0.05971589166804296
0.10,0.08,0.057904162228106806
0.10,0.10,0.05414217597141667
0.10,0.12,0.06110657362361107
0.10,0.14,0.05970423070999874
0.10,0.16,0.058635810160942825
0.10,0.18,0.057268806861571916
0.10,0.20,0.061333535847627865
0.10,0.22,0.06327098618383646
0.10,0.24,0.06622168074211517
0.10,0.26,0.06459045261089699
0.10,0.28,0.0624614066430775
0.10,0.30,0.06498097623465907
0.10,0.32,0.06538977961581312
0.10,0.34,0.06897734086900169
0.10,0.36,0.0669173184608167
0.10,0.38,0.06534176717353497
0.10,0.40,0.06773993726644505
0.10,0.42,0.06775234631672725
0.10,0.44,0.06934457070901297
0.10,0.46,0.06733552655010958
0.10,0.48,0.06922019216425637
0.12,0.00,0.04861406040485883
0.12,0.02,0.04808706746988966
0.12,0.04,0.04956294306907381
0.12,0.06,0.0540014259140766
0.12,0.08,0.053510580885013335
0.12,0.10,0.05492830296975389
0.12,0.12,0.053402997030182475
0.12,0.14,0.057761808494582526
0.12,0.16,0.0573667054944069
0.12,0.18,0.0546833423322939
0.12,0.20,0.05526203055586058
0.12,0.22,0.057117858790492505
0.12,0.24,0.059966054625448385
0.12,0.26,0.056751617792582906
0.12,0.28,0.058163128927439654
0.12,0.30,0.061276839536609076
0.12,0.32,0.0613994030503214
0.12,0.34,0.06361114886159364
0.12,0.36,0.06187041329211923
0.12,0.38,0.05979900524739075
0.12,0.40,0.062207271844373004
0.12,0.42,0.06435350628034509
0.12,0.44,0.06384653002090027
0.12,0.46,0.06432318054743033
0.12,0.48,0.06664589855496433
0.14,0.00,0.05090597082209488
0.14,0.02,0.04566955962661847
0.14,0.04,0.04980649601764197
0.14,0.06,0.051576051785762654
0.14,0.08,0.04937335638387778
0.14,0.10,0.04842342177400186
0.14,0.12,0.050706842209627526
0.14,0.14,0.05005381836838478
0.14,0.16,0.05185372897159585
0.14,0.18,0.0488198774875424
0.14,0.20,0.0530621869006759
0.14,0.22,0.053403778813754875
0.14,0.24,0.05362899455008695
0.14,0.26,0.05645168175215094
0.14,0.28,0.05490485782762942
0.14,0.30,0.05698095860199648
0.14,0.32,0.05579301305990627
0.14,0.34,0.060190283466511355
0.14,0.36,0.057021157454216244
0.14,0.38,0.06235651518691809
0.14,0.40,0.060900280421218166
0.14,0.42,0.0617386013890179
0.14,0.44,0.06180741420294694
0.14,0.46,0.06347333440738089
0.14,0.48,0.06476747171278802
0.16,0.00,0.040953879721388274
0.16,0.02,0.047897259679342954
0.16,0.04,0.04509916319847783
0.16,0.06,0.04512554469603339
0.16,0.08,0.04447572567366198
0.16,0.10,0.050019824386729896
0.16,0.12,0.04642598495357175
0.16,0.14,0.045153519342419325
0.16,0.16,0.0490187613085861
0.16,0.18,0.05062353115042849
0.16,0.20,0.049985534035493544
0.16,0.22,0.05105820507240749
0.16,0.24,0.05061866390342186
0.16,0.26,0.0542459130403963
0.16,0.28,0.05192507602012113
0.16,0.30,0.05524282200628394
0.16,0.32,0.0555507614825154
0.16,0.34,0.05056876026146837
0.16,0.36,0.05393616481759735
0.16,0.38,0.055513232479811145
0.16,0.40,0.05993122691364668
0.16,0.42,0.058589373402711406
0.16,0.44,0.0632867366893711
0.16,0.46,0.060168705632681195
0.16,0.48,0.058871393833123974
0.18,0.00,0.03973404466428798
0.18,0.02,0.04204134439406847
0.18,0.04,0.03672280707317627
0.18,0.06,0.03921380931065847
0.18,0.08,0.045249120280218
0.18,0.10,0.04444615267459693
0.18,0.12,0.04494842752244542
0.18,0.14,0.041471102586477335
0.18,0.16,0.04288195222471364
0.18,0.18,0.04563715184922381
0.18,0.20,0.04908732945666139
0.18,0.22,0.04541198351651188
0.18,0.24,0.05019757155278841
0.18,0.26,0.04577575457128342
0.18,0.28,0.045473136969897146
0.18,0.30,0.04667427235894893
0.18,0.32,0.05016647500609754
0.18,0.34,0.05432150870772766
0.18,0.36,0.05032549163688087
0.18,0.38,0.054688857884222244
0.18,0.40,0.05592789351822338
0.18,0.42,0.05520792034838208
0.18,0.44,0.057684207614315385
0.18,0.46,0.059182757380618865
0.18,0.48,0.05660086336185825
0.20,0.00,0.03624428001330383
0.20,0.02,0.033814231871030595
0.20,0.04,0.03821818945193503
0.20,0.06,0.03622143867754908
0.20,0.08,0.040138395458971375
0.20,0.10,0.03848303761495868
0.20,0.12,0.04037330067138768
0.20,0.14,0.041743619011412304
0.20,0.16,0.03857970453558223
0.20,0.18,0.04252178827395231
0.20,0.20,0.041224667043960536
0.20,0.22,0.04053250110556189
0.20,0.24,0.04292230989186484
0.20,0.26,0.04599950149545972
0.20,0.28,0.04590443016468316
0.20,0.30,0.0461681974864341
0.20,0.32,0.04816460792544856
0.20,0.34,0.05018508324538
0.20,0.36,0.04640901137088723
0.20,0.38,0.051794299018906906
0.20,0.40,0.05098578366514447
0.20,0.42,0.04866667505693049
0.20,0.44,0.05249452693012787
0.20,0.46,0.05451517132835883
0.20,0.48,0.055061554583247
0.22,0.00,0.03689596927048104
0.22,0.02,0.03150880294046829
0.22,0.04,0.033314560342773664
0.22,0.06,0.036938344038020945
0.22,0.08,0.03288452424911238
0.22,0.10,0.03609032955111877
0.22,0.12,0.03669334222159482
0.22,0.14,0.03794316567212164
0.22,0.16,0.03952235464588159
0.22,0.18,0.03986573974916764
