attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.08220663561765643
0.02,0.02,0.08532258150680964
0.02,0.04,0.08462889730443662
0.02,0.06,0.0851550960579841
0.02,0.08,0.08424558657748156
0.02,0.10,0.08527738977955361
0.02,0.12,0.08538012554246122
0.02,0.14,0.08593419365178295
0.02,0.16,0.08598477217623243
0.02,0.18,0.08509119715301562
0.02,0.20,0.08514949040828707
0.02,0.22,0.08655320177530769
0.02,0.24,0.08730941305370227
0.02,0.26,0.086433699985947
0.02,0.28,0.08573669023162332
0.02,0.30,0.08723088736488646
0.02,0.32,0.08713656100850387
0.02,0.34,0.08756651754106827
0.02,0.36,0.08798870595839128
0.02,0.38,0.08781989688758844
0.02,0.40,0.08799606398871222
0.02,0.42,0.08881002062601598
0.02,0.44,0.0884926320644856
0.02,0.46,0.089257049089568
0.02,0.48,0.08922265922651333
0.04,0.00,0.07311655119776858
0.04,0.02,0.07542301591515202
0.04,0.04,0.0784324776487096
0.04,0.06,0.07744964894447165
0.04,0.08,0.0748690559783084
0.04,0.10,0.07805022552484228
0.04,0.12,0.07844153345636591
0.04,0.14,0.07993899051939199
0.04,0.16,0.08141338930737545
0.04,0.18,0.08013831358735768
0.04,0.20,0.07986057788191545
0.04,0.22,0.07999369258195506
0.04,0.24,0.08204734592092065
0.04,0.26,0.08276823891247624
0.04,0.28,0.08305087577447931
0.04,0.30,0.08377419224294323
0.04,0.32,0.08435731488308688
0.04,0.34,0.0847872511019214
0.04,0.36,0.08623823852090214
0.04,0.38,0.08596299579821562
0.04,0.40,0.08626217989072635
0.04,0.42,0.08604103841024299
0.04,0.44,0.086058532427303
0.04,0.46,0.08772469445833146
0.04,0.48,0.08687212378441429
0.06,0.00,0.06646661466200059
0.06,0.02,0.07001054287377813
0.06,0.04,0.06992670948378872
0.06,0.06,0.06860055859916078
0.06,0.08,0.0723652260310672
0.06,0.10,0.07206972771873833
0.06,0.12,0.07408630992047911
0.06,0.14,0.07354290764375283
0.06,0.16,0.07643914215283475
0.06,0.18,0.0764730419318462
0.06,0.20,0.07649638534560778
0.06,0.22,0.07864102964319318
0.06,0.24,0.07827862998587205
0.06,0.26,0.08067168885408914
0.06,0.28,0.07851903727418427
0.06,0.30,0.08101868917446
0.06,0.32,0.0811687555127881
0.06,0.34,0.0830451304082835
0.06,0.36,0.08163424554141845
0.06,0.38,0.08409238980366338
0.06,0.40,0.08367026907338648
0.06,0.42,0.08422381215171879
0.06,0.44,0.08329716579734034
0.06,0.46,0.08429112726228025
0.06,0.48,0.08601518038806004
0.08,0.00,0.06016392091937526
0.08,0.02,0.06035353549558127
0.08,0.04,0.061304529848015585
0.08,0.06,0.06472123300834774
0.08,0.08,0.06400433645932721
0.08,0.10,0.06839734997569906
0.08,0.12,0.06883469176060579
0.08,0.14,0.06938080681270178
0.08,0.16,0.07039716964022764
0.08,0.18,0.07013746404641394
0.08,0.20,0.07336879692045382
0.08,0.22,0.07403423003357644
0.08,0.24,0.07526426932297883
0.08,0.26,0.07525284743542274
0.08,0.28,0.07678523763439588
0.08,0.30,0.07678795754571414
0.08,0.32,0.07817206187959096
0.08,0.34,0.07921534825460903
0.08,0.36,0.07962389629700786
0.08,0.38,0.08046561918968748
0.08,0.40,0.08329932712044073
0.08,0.42,0.08213941220282883
0.08,0.44,0.08231916758249673
0.08,0.46,0.08341434580141378
0.08,0.48,0.08398359750414705
0.10,0.00,0.0589354251531498
0.10,0.02,0.06050682164967044
0.10,0.04,0.05895504567025334
0.10,0.06,0.061057121240758724
0.10,0.08,0.06216334118663008
0.10,0.10,0.06184484726527308
0.10,0.12,0.06624549563624263
0.10,0.14,0.06610239129214684
0.10,0.16,0.06637869464952481
0.10,0.18,0.06869410030652179
0.10,0.20,0.06871849671909855
0.10,0.22,0.07195739440503482
0.10,0.24,0.07074723939260381
0.10,0.26,0.07448120935473414
0.10,0.28,0.07500585053669644
0.10,0.30,0.07554491870293208
0.10,0.32,0.07861737107285088
0.10,0.34,0.07757562876926567
0.10,0.36,0.07841436276372062
0.10,0.38,0.07982476047095513
0.10,0.40,0.07992585950545425
0.10,0.42,0.08057994915472164
0.10,0.44,0.08026098144167353
0.10,0.46,0.08221113121169635
0.10,0.48,0.08217525854567168
0.12,0.00,0.0518724399470802
0.12,0.02,0.05360475707779866
0.12,0.04,0.0544241247439175
0.12,0.06,0.05621986978980624
0.12,0.08,0.056446569548033086
0.12,0.10,0.06163294994450706
0.12,0.12,0.06369071388342376
0.12,0.14,0.06186289666862719
0.12,0.16,0.06359379579337653
0.12,0.18,0.06395906917915631
0.12,0.20,0.06739580898055103
0.12,0.22,0.06941618323166371
0.12,0.24,0.0678315431725423
0.12,0.26,0.07106959216851795
0.12,0.28,0.07417081098293547
0.12,0.30,0.07369351319301583
0.12,0.32,0.0734011476862774
0.12,0.34,0.07539280262404918
0.12,0.36,0.07751962641497952
0.12,0.38,0.07758834828967068
0.12,0.40,0.07724901692640124
0.12,0.42,0.07913524499331182
0.12,0.44,0.07944780882425476
0.12,0.46,0.08078528424035776
0.12,0.48,0.08170809663389877
0.14,0.00,0.0482075779902043
0.14,0.02,0.04938372289280054
0.14,0.04,0.05166366543769041
0.14,0.06,0.05510304110003631
0.14,0.08,0.05440240434767735
0.14,0.10,0.055683492669373925
0.14,0.12,0.061491624374577405
0.14,0.14,0.06036005809699234
0.14,0.16,0.062028939198493706
0.14,0.18,0.06584086091839861
0.14,0.20,0.06318276049317195
0.14,0.22,0.062308234917087015
0.14,0.24,0.0674607481071488
0.14,0.26,0.06810815666313196
0.14,0.28,0.0693037939423885
0.14,0.30,0.06800178896574519
0.14,0.32,0.0726745145684004
0.14,0.34,0.07279265858433853
0.14,0.36,0.07506980523184004
0.14,0.38,0.07612626142118654
0.14,0.40,0.07641124419009826
0.14,0.42,0.07873838427849729
0.14,0.44,0.080083093013684
0.14,0.46,0.08059644261821527
0.14,0.48,0.08018075534140347
0.16,0.00,0.04635199756829248
0.16,0.02,0.04829608380480356
0.16,0.04,0.048801515325422776
0.16,0.06,0.054011741646535494
0.16,0.08,0.05271022022120091
0.16,0.10,0.05297404373846491
0.16,0.12,0.052185005708154895
0.16,0.14,0.05558069102443771
0.16,0.16,0.06077659696363469
0.16,0.18,0.05936690789683659
0.16,0.20,0.05978115342498112
0.16,0.22,0.06377959816444624
0.16,0.24,0.06426734682731663
0.16,0.26,0.0659606304146807
0.16,0.28,0.0690867888014639
0.16,0.30,0.06907242885690378
0.16,0.32,0.07145271375590496
0.16,0.34,0.07327637443909549
0.16,0.36,0.07402663225900977
0.16,0.38,0.07704801945213066
0.16,0.40,0.07826436374429695
0.16,0.42,0.07694073624865447
0.16,0.44,0.07742296779090271
0.16,0.46,0.07882362195498865
0.16,0.48,0.0799861418912671
0.18,0.00,0.0437218560481054
0.18,0.02,0.039914734957169073
0.18,0.04,0.044178693576420444
0.18,0.06,0.04857181624009985
0.18,0.08,0.04972146306256223
0.18,0.10,0.053948157236105396
0.18,0.12,0.05300217968832958
0.18,0.14,0.052847902037285975
0.18,0.16,0.05635058348003961
0.18,0.18,0.05865330382568575
0.18,0.20,0.061686396013491664
0.18,0.22,0.06126003446437769
0.18,0.24,0.06283342083331511
0.18,0.26,0.065086020953214
0.18,0.28,0.06676051892209997
0.18,0.30,0.06902629404659213
0.18,0.32,0.06927928159707004
0.18,0.34,0.07021828795478682
0.18,0.36,0.07121869091214364
0.18,0.38,0.0735168035391748
0.18,0.40,0.07444037230777933
0.18,0.42,0.0757296097031965
0.18,0.44,0.07765085066797042
0.18,0.46,0.07819642578650106
0.18,0.48,0.07909682442484597
0.20,0.00,0.03929336447629708
0.20,0.02,0.041137929828936444
0.20,0.04,0.04337264235856866
0.20,0.06,0.047159218344124273
0.20,0.08,0.04493829480565088
0.20,0.10,0.04837776059514718
0.20,0.12,0.04810959641130703
0.20,0.14,0.05020474706180946
0.20,0.16,0.055073665539538685
0.20,0.18,0.057280201701557995
0.20,0.20,0.05931057405910915
0.20,0.22,0.057650421785329975
0.20,0.24,0.060907328551606923
0.20,0.26,0.06421136703326683
0.20,0.28,0.06636287448370068
0.20,0.30,0.06534134274877547
0.20,0.32,0.06944961649256291
0.20,0.34,0.07017808487107595
0.20,0.36,0.071696786597812
0.20,0.38,0.07155013193758289
0.20,0.40,0.07279178296603825
0.20,0.42,0.07415939862774065
0.20,0.44,0.07362507836268463
0.20,0.46,0.07811394647947038
0.20,0.48,0.07820121173294173
0.22,0.00,0.03515134231965754
0.22,0.02,0.03695144909666794
0.22,0.04,0.04224173863779855
0.22,0.06,0.04245822405553858
0.22,0.08,0.04374713363652931
0.22,0.10,0.04619404962231718
0.22,0.12,0.05081762697485641
0.22,0.14,0.05349299578712667
0.22,0.16,0.053829300495700304
0.22,0.18,0.05529156902444241
