attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.06996776721590843
0.02,0.02,0.07537231318697055
0.02,0.04,0.07717545919197596
0.02,0.06,0.07717545919197596
0.02,0.08,0.08258827336145878
0.02,0.10,0.08258827336145878
0.02,0.12,0.08953407807748676
0.02,0.14,0.08953407807748676
0.02,0.16,0.08953407807748676
0.02,0.18,0.08953407807748676
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.052996600416893795
0.04,0.02,0.059090347430358535
0.04,0.04,0.06388628200355731
0.04,0.06,0.06456567202626066
0.04,0.08,0.07246116193775412
0.04,0.10,0.08050494701393192
0.04,0.12,0.08886118796351915
0.04,0.14,0.08886118796351915
0.04,0.16,0.08886118796351915
0.04,0.18,0.08886118796351915
0.04,0.20,0.0897724929975738
0.04,0.22,0.0897724929975738
0.04,0.24,0.0897724929975738
0.04,0.26,0.0897724929975738
0.04,0.28,0.0897724929975738
0.04,0.30,0.0897724929975738
0.04,0.32,0.0897724929975738
0.04,0.34,0.0897724929975738
0.04,0.36,0.0897724929975738
0.04,0.38,0.0897724929975738
0.04,0.40,0.0897724929975738
0.04,0.42,0.0897724929975738
0.04,0.44,0.0897724929975738
0.04,0.46,0.0897724929975738
0.04,0.48,0.09061557287536594
0.06,0.00,0.0259424850509958
0.06,0.02,0.03777188290244983
0.06,0.04,0.04213318773370275
0.06,0.06,0.05134853014492329
0.06,0.08,0.06027075543054116
0.06,0.10,0.07320473816112588
0.06,0.12,0.07997954374962188
0.06,0.14,0.07997954374962188
0.06,0.16,0.07997954374962188
0.06,0.18,0.07997954374962188
0.06,0.20,0.0814621218338096
0.06,0.22,0.08706496647012793
0.06,0.24,0.08706496647012793
0.06,0.26,0.08706496647012793
0.06,0.28,0.08706496647012793
0.06,0.30,0.08706496647012793
0.06,0.32,0.08706496647012793
0.06,0.34,0.08706496647012793
0.06,0.36,0.08706496647012793
0.06,0.38,0.08706496647012793
0.06,0.40,0.08706496647012793
0.06,0.42,0.08706496647012793
0.06,0.44,0.08706496647012793
0.06,0.46,0.08706496647012793
0.06,0.48,0.0894332948159551
0.08,0.00,0.025773709987488905
0.08,0.02,0.03679690339658412
0.08,0.04,0.04129464836262591
0.08,0.06,0.05056780724171792
0.08,0.08,0.060290361098811654
0.08,0.10,0.0680853592491498
0.08,0.12,0.07427454641517008
0.08,0.14,0.07875728468244872
0.08,0.16,0.07875728468244872
0.08,0.18,0.07875728468244872
0.08,0.20,0.08018068462147825
0.08,0.22,0.08577405285536677
0.08,0.24,0.08577405285536677
0.08,0.26,0.08577405285536677
0.08,0.28,0.08577405285536677
0.08,0.30,0.08577405285536677
0.08,0.32,0.08706496647012793
0.08,0.34,0.08706496647012793
0.08,0.36,0.08706496647012793
0.08,0.38,0.08706496647012793
0.08,0.40,0.08706496647012793
0.08,0.42,0.08706496647012793
0.08,0.44,0.08706496647012793
0.08,0.46,0.08706496647012793
0.08,0.48,0.0894332948159551
0.10,0.00,0.022002960530362128
0.10,0.02,0.03339335446458018
0.10,0.04,0.039474254681801366
0.10,0.06,0.04006974628561062
0.10,0.08,0.0541101231060684
0.10,0.10,0.06307793546999235
0.10,0.12,0.06898084778927827
0.10,0.14,0.07308326866989892
0.10,0.16,0.07308326866989892
0.10,0.18,0.07308326866989892
0.10,0.20,0.07424103297797724
0.10,0.22,0.08577405285536677
0.10,0.24,0.08577405285536677
0.10,0.26,0.08577405285536677
0.10,0.28,0.08577405285536677
0.10,0.30,0.08577405285536677
0.10,0.32,0.08706496647012793
0.10,0.34,0.08706496647012793
0.10,0.36,0.08706496647012793
0.10,0.38,0.08706496647012793
0.10,0.40,0.08706496647012793
0.10,0.42,0.08706496647012793
0.10,0.44,0.08706496647012793
0.10,0.46,0.08706496647012793
0.10,0.48,0.0894332948159551
0.12,0.00,0.019839826145075325
0.12,0.02,0.03026896924645967
0.12,0.04,0.03409193393068146
0.12,0.06,0.034693782275630226
0.12,0.08,0.04957954185354584
0.12,0.10,0.05740854515789131
0.12,0.12,0.05869462789274177
0.12,0.14,0.06393811246258983
0.12,0.16,0.06722226837520358
0.12,0.18,0.06722226837520358
0.12,0.20,0.06837090756709902
0.12,0.22,0.08577405285536677
0.12,0.24,0.08577405285536677
0.12,0.26,0.08577405285536677
0.12,0.28,0.08577405285536677
0.12,0.30,0.08577405285536677
0.12,0.32,0.08706496647012793
0.12,0.34,0.08706496647012793
0.12,0.36,0.08706496647012793
0.12,0.38,0.08706496647012793
0.12,0.40,0.08706496647012793
0.12,0.42,0.08706496647012793
0.12,0.44,0.08706496647012793
0.12,0.46,0.08706496647012793
0.12,0.48,0.0894332948159551
0.14,0.00,0.019353255017926813
0.14,0.02,0.03024341832668298
0.14,0.04,0.034239240484403646
0.14,0.06,0.03487260534976893
0.14,0.08,0.047302456769332035
0.14,0.10,0.05512941725092705
0.14,0.12,0.05646402932168974
0.14,0.14,0.05655252632087198
0.14,0.16,0.05656859917460924
0.14,0.18,0.062948736358986
0.14,0.20,0.06837090756709902
0.14,0.22,0.08577405285536677
0.14,0.24,0.08577405285536677
0.14,0.26,0.08577405285536677
0.14,0.28,0.08577405285536677
0.14,0.30,0.08577405285536677
0.14,0.32,0.08706496647012793
0.14,0.34,0.08706496647012793
0.14,0.36,0.08706496647012793
0.14,0.38,0.08706496647012793
0.14,0.40,0.08706496647012793
0.14,0.42,0.08706496647012793
0.14,0.44,0.08706496647012793
0.14,0.46,0.08706496647012793
0.14,0.48,0.0894332948159551
0.16,0.00,0.016674452625281208
0.16,0.02,0.022786212491812455
0.16,0.04,0.025745188034666185
0.16,0.06,0.026168715327367243
0.16,0.08,0.03619667368653695
0.16,0.10,0.043293437217560446
0.16,0.12,0.04396728387704341
0.16,0.14,0.0461901123703417
0.16,0.16,0.04644485656487251
0.16,0.18,0.05661372810523893
0.16,0.20,0.0678899049384887
0.16,0.22,0.08513253120667924
0.16,0.24,0.08513253120667924
0.16,0.26,0.08513253120667924
0.16,0.28,0.08513253120667924
0.16,0.30,0.08513253120667924
0.16,0.32,0.0863887465948298
0.16,0.34,0.0863887465948298
0.16,0.36,0.0863887465948298
0.16,0.38,0.0863887465948298
0.16,0.40,0.08706496647012793
0.16,0.42,0.08706496647012793
0.16,0.44,0.08706496647012793
0.16,0.46,0.08706496647012793
0.16,0.48,0.0894332948159551
0.18,0.00,0.016211060995060797
0.18,0.02,0.022389872511488492
0.18,0.04,0.02567965308030858
0.18,0.06,0.02609454957380418
0.18,0.08,0.03574070749669317
0.18,0.10,0.04303930752268307
0.18,0.12,0.04369142564004367
0.18,0.14,0.04595258785086396
0.18,0.16,0.04618769983690528
0.18,0.18,0.05352564452888177
0.18,0.20,0.058369724859495736
0.18,0.22,0.07280952644522119
0.18,0.24,0.08513253120667924
0.18,0.26,0.08513253120667924
0.18,0.28,0.08513253120667924
0.18,0.30,0.08513253120667924
0.18,0.32,0.0863887465948298
0.18,0.34,0.0863887465948298
0.18,0.36,0.0863887465948298
0.18,0.38,0.0863887465948298
0.18,0.40,0.08706496647012793
0.18,0.42,0.08706496647012793
0.18,0.44,0.08706496647012793
0.18,0.46,0.08706496647012793
0.18,0.48,0.0894332948159551
0.20,0.00,0.015439592436958636
0.20,0.02,0.021181647093445815
0.20,0.04,0.025992043099748844
0.20,0.06,0.0264048466025643
0.20,0.08,0.03578866906354228
0.20,0.10,0.04322715970225112
0.20,0.12,0.044061874220869365
0.20,0.14,0.04635127889942529
0.20,0.16,0.04693269702505301
0.20,0.18,0.054399958275929715
0.20,0.20,0.05932656347095819
0.20,0.22,0.06555814436122087
0.20,0.24,0.08519393917093508
0.20,0.26,0.08519393917093508
0.20,0.28,0.08519393917093508
0.20,0.30,0.08519393917093508
0.20,0.32,0.08645577743768527
0.20,0.34,0.08645577743768527
0.20,0.36,0.08645577743768527
0.20,0.38,0.08645577743768527
0.20,0.40,0.08712731690967394
0.20,0.42,0.08712731690967394
0.20,0.44,0.08712731690967394
0.20,0.46,0.08712731690967394
0.20,0.48,0.08830787115221013
0.22,0.00,0.015784188914889037
0.22,0.02,0.021625346812703977
0.22,0.04,0.026610969985583988
0.22,0.06,0.027036788677848356
0.22,0.08,0.03675258446019652
0.22,0.10,0.04443918452497028
0.22,0.12,0.045283781029398215
0.22,0.14,0.047634951945966696
0.22,0.16,0.04821562414481585
0.22,0.18,0.055906240766584604
