attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.06996776721590843
0.02,0.02,0.07694691692035346
0.02,0.04,0.08233266235542927
0.02,0.06,0.08356481005691616
0.02,0.08,0.09061557287536594
0.02,0.10,0.09061557287536594
0.02,0.12,0.09061557287536594
0.02,0.14,0.09061557287536594
0.02,0.16,0.09061557287536594
0.02,0.18,0.09061557287536594
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.052996600416893795
0.04,0.02,0.06369916930083085
0.04,0.04,0.07973716370604345
0.04,0.06,0.08147496611441737
0.04,0.08,0.0897724929975738
0.04,0.10,0.0897724929975738
0.04,0.12,0.0897724929975738
0.04,0.14,0.09061557287536594
0.04,0.16,0.09061557287536594
0.04,0.18,0.09061557287536594
0.04,0.20,0.09061557287536594
0.04,0.22,0.09061557287536594
0.04,0.24,0.09061557287536594
0.04,0.26,0.09061557287536594
0.04,0.28,0.09061557287536594
0.04,0.30,0.09061557287536594
0.04,0.32,0.09061557287536594
0.04,0.34,0.09061557287536594
0.04,0.36,0.09061557287536594
0.04,0.38,0.09061557287536594
0.04,0.40,0.09061557287536594
0.04,0.42,0.09061557287536594
0.04,0.44,0.09061557287536594
0.04,0.46,0.09061557287536594
0.04,0.48,0.09061557287536594
0.06,0.00,0.0259424850509958
0.06,0.02,0.0506933652186227
0.06,0.04,0.06489137940519855
0.06,0.06,0.0690938777133721
0.06,0.08,0.08098790190904248
0.06,0.10,0.08098790190904248
0.06,0.12,0.08098790190904248
0.06,0.14,0.08313566155256341
0.06,0.16,0.09061557287536594
0.06,0.18,0.09061557287536594
0.06,0.20,0.09061557287536594
0.06,0.22,0.09061557287536594
0.06,0.24,0.09061557287536594
0.06,0.26,0.09061557287536594
0.06,0.28,0.09061557287536594
0.06,0.30,0.09061557287536594
0.06,0.32,0.09061557287536594
0.06,0.34,0.09061557287536594
0.06,0.36,0.09061557287536594
0.06,0.38,0.09061557287536594
0.06,0.40,0.09061557287536594
0.06,0.42,0.09061557287536594
0.06,0.44,0.09061557287536594
0.06,0.46,0.09061557287536594
0.06,0.48,0.09061557287536594
0.08,0.00,0.025773709987488905
0.08,0.02,0.0510475312450046
0.08,0.04,0.06474796372321633
0.08,0.06,0.06874216145921097
0.08,0.08,0.0747161018394721
0.08,0.10,0.0747161018394721
0.08,0.12,0.0747161018394721
0.08,0.14,0.07684063068845999
0.08,0.16,0.07764471784183016
0.08,0.18,0.08276985151267442
0.08,0.20,0.08276985151267442
0.08,0.22,0.08276985151267442
0.08,0.24,0.08456125849401872
0.08,0.26,0.08456125849401872
0.08,0.28,0.08456125849401872
0.08,0.30,0.08456125849401872
0.08,0.32,0.08456125849401872
0.08,0.34,0.08456125849401872
0.08,0.36,0.08456125849401872
0.08,0.38,0.08456125849401872
0.08,0.40,0.08456125849401872
0.08,0.42,0.08456125849401872
0.08,0.44,0.08456125849401872
0.08,0.46,0.08456125849401872
0.08,0.48,0.08456125849401872
0.10,0.00,0.022002960530362128
0.10,0.02,0.037120906611116646
0.10,0.04,0.06025679316979394
0.10,0.06,0.06231731177581932
0.10,0.08,0.070927315320693
0.10,0.10,0.070927315320693
0.10,0.12,0.07267395533042903
0.10,0.14,0.07493063669516083
0.10,0.16,0.07586970548420122
0.10,0.18,0.08105485428145137
0.10,0.20,0.08105485428145137
0.10,0.22,0.08216838795846983
0.10,0.24,0.08456125849401872
0.10,0.26,0.08456125849401872
0.10,0.28,0.08456125849401872
0.10,0.30,0.08456125849401872
0.10,0.32,0.08456125849401872
0.10,0.34,0.08456125849401872
0.10,0.36,0.08456125849401872
0.10,0.38,0.08456125849401872
0.10,0.40,0.08456125849401872
0.10,0.42,0.08456125849401872
0.10,0.44,0.08456125849401872
0.10,0.46,0.08456125849401872
0.10,0.48,0.08456125849401872
0.12,0.00,0.019839826145075325
0.12,0.02,0.032197265493916695
0.12,0.04,0.0591056896555385
0.12,0.06,0.06315414581410748
0.12,0.08,0.07195211036715557
0.12,0.10,0.07195211036715557
0.12,0.12,0.07375134233420876
0.12,0.14,0.07635047545906798
0.12,0.16,0.076778827652247
0.12,0.18,0.07767308955150398
0.12,0.20,0.07767308955150398
0.12,0.22,0.07857299579114826
0.12,0.24,0.0810359179571986
0.12,0.26,0.0810359179571986
0.12,0.28,0.0810359179571986
0.12,0.30,0.0810359179571986
0.12,0.32,0.0810359179571986
0.12,0.34,0.08500648370877616
0.12,0.36,0.08500648370877616
0.12,0.38,0.08500648370877616
0.12,0.40,0.08500648370877616
0.12,0.42,0.08500648370877616
0.12,0.44,0.08500648370877616
0.12,0.46,0.08500648370877616
0.12,0.48,0.08500648370877616
0.14,0.00,0.019353255017926813
0.14,0.02,0.03225544879730626
0.14,0.04,0.05635326583737398
0.14,0.06,0.06025427081253722
0.14,0.08,0.0690491081460316
0.14,0.10,0.0690491081460316
0.14,0.12,0.07088100970897776
0.14,0.14,0.07338082539622663
0.14,0.16,0.07810042633485385
0.14,0.18,0.07900726238905773
0.14,0.20,0.07900726238905773
0.14,0.22,0.07983548727757377
0.14,0.24,0.0823305162531087
0.14,0.26,0.0823305162531087
0.14,0.28,0.0823305162531087
0.14,0.30,0.0823305162531087
0.14,0.32,0.0823305162531087
0.14,0.34,0.08221698263292619
0.14,0.36,0.08591144824412479
0.14,0.38,0.08591144824412479
0.14,0.40,0.08591144824412479
0.14,0.42,0.08591144824412479
0.14,0.44,0.08591144824412479
0.14,0.46,0.08591144824412479
0.14,0.48,0.08591144824412479
0.16,0.00,0.016674452625281208
0.16,0.02,0.02340853060693397
0.16,0.04,0.04245205224733062
0.16,0.06,0.047316060368681225
0.16,0.08,0.053908909040388
0.16,0.10,0.053908909040388
0.16,0.12,0.07086158280135167
0.16,0.14,0.07341722402948041
0.16,0.16,0.07816695365405359
0.16,0.18,0.0790906152141537
0.16,0.20,0.0790906152141537
0.16,0.22,0.07993245950753483
0.16,0.24,0.0824048384345423
0.16,0.26,0.0824048384345423
0.16,0.28,0.0824048384345423
0.16,0.30,0.0824048384345423
0.16,0.32,0.0824048384345423
0.16,0.34,0.08229167128678852
0.16,0.36,0.08557890160190898
0.16,0.38,0.08557890160190898
0.16,0.40,0.08557890160190898
0.16,0.42,0.08557890160190898
0.16,0.44,0.08557890160190898
0.16,0.46,0.08557890160190898
0.16,0.48,0.08557890160190898
0.18,0.00,0.016211060995060797
0.18,0.02,0.023293155583638234
0.18,0.04,0.042567524198216654
0.18,0.06,0.047558398901666236
0.18,0.08,0.05031528785502869
0.18,0.10,0.050826070419766924
0.18,0.12,0.0673919634464333
0.18,0.14,0.06992442320996708
0.18,0.16,0.07432840539181282
0.18,0.18,0.07526885892098538
0.18,0.20,0.07526885892098538
0.18,0.22,0.07609460447781308
0.18,0.24,0.07864304174883875
0.18,0.26,0.07864304174883875
0.18,0.28,0.07903529073498237
0.18,0.30,0.07903529073498237
0.18,0.32,0.07903529073498237
0.18,0.34,0.07893213619171938
0.18,0.36,0.08129675140284776
0.18,0.38,0.08129675140284776
0.18,0.40,0.08129675140284776
0.18,0.42,0.08129675140284776
0.18,0.44,0.08129675140284776
0.18,0.46,0.08129675140284776
0.18,0.48,0.08129675140284776
0.20,0.00,0.015439592436958636
0.20,0.02,0.019321266955751662
0.20,0.04,0.029728477867011008
0.20,0.06,0.03304688155162854
0.20,0.08,0.04362781258898401
0.20,0.10,0.04603500436917803
0.20,0.12,0.06216661966535978
0.20,0.14,0.06365960595667122
0.20,0.16,0.06747626773473572
0.20,0.18,0.06836780326090626
0.20,0.20,0.06836780326090626
0.20,0.22,0.06925398728572323
0.20,0.24,0.07223961061300113
0.20,0.26,0.07223961061300113
0.20,0.28,0.0726141276399567
0.20,0.30,0.0726141276399567
0.20,0.32,0.07311502293276408
0.20,0.34,0.07302083018336496
0.20,0.36,0.07529357371199005
0.20,0.38,0.07529357371199005
0.20,0.40,0.07529357371199005
0.20,0.42,0.07529357371199005
0.20,0.44,0.07529357371199005
0.20,0.46,0.07529357371199005
0.20,0.48,0.07529357371199005
0.22,0.00,0.015784188914889037
0.22,0.02,0.01956162791401695
0.22,0.04,0.030050569875024486
0.22,0.06,0.03352503325867687
0.22,0.08,0.0443163007685142
0.22,0.10,0.04678674427643691
0.22,0.12,0.06336159253998405
0.22,0.14,0.06490078437545038
0.22,0.16,0.06883299514462521
0.22,0.18,0.06974797101380133
