attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.06996776721590843
0.02,0.02,0.06996776721590843
0.02,0.04,0.07065330589455716
0.02,0.06,0.06996776721590843
0.02,0.08,0.06996776721590843
0.02,0.10,0.06996776721590843
0.02,0.12,0.06996776721590843
0.02,0.14,0.07537231318697055
0.02,0.16,0.07618995506273422
0.02,0.18,0.08360830132443801
0.02,0.20,0.08033418540031224
0.02,0.22,0.07087947645479567
0.02,0.24,0.07618995506273422
0.02,0.26,0.07061361991224886
0.02,0.28,0.07793401347282737
0.02,0.30,0.07903019066877547
0.02,0.32,0.0764912679111995
0.02,0.34,0.07717545919197596
0.02,0.36,0.07163117214042979
0.02,0.38,0.07769185048535748
0.02,0.40,0.07696481618574384
0.02,0.42,0.08356481005691616
0.02,0.44,0.08813014566337461
0.02,0.46,0.08243474941267044
0.02,0.48,0.08142166434708122
0.04,0.00,0.052996600416893795
0.04,0.02,0.052996600416893795
0.04,0.04,0.05997726255947122
0.04,0.06,0.05631414536467105
0.04,0.08,0.05419432592415632
0.04,0.10,0.06372874449341305
0.04,0.12,0.06119440013807645
0.04,0.14,0.05535642585050133
0.04,0.16,0.06010860428600451
0.04,0.18,0.052996600416893795
0.04,0.20,0.052996600416893795
0.04,0.22,0.059450797400606756
0.04,0.24,0.05631414536467105
0.04,0.26,0.05553712962340445
0.04,0.28,0.05710667126998313
0.04,0.30,0.059302583399941065
0.04,0.32,0.06682811557928132
0.04,0.34,0.0742460366893415
0.04,0.36,0.06632139823020437
0.04,0.38,0.06626005088603708
0.04,0.40,0.07260771734426859
0.04,0.42,0.07116569494323836
0.04,0.44,0.07399346901665244
0.04,0.46,0.059000127274369055
0.04,0.48,0.06755632915911221
0.06,0.00,0.0259424850509958
0.06,0.02,0.0259424850509958
0.06,0.04,0.0259424850509958
0.06,0.06,0.03296196833980329
0.06,0.08,0.03106331681516174
0.06,0.10,0.03384760133166045
0.06,0.12,0.03511927367672434
0.06,0.14,0.026958046550063283
0.06,0.16,0.03558345787659458
0.06,0.18,0.034728078653645786
0.06,0.20,0.0531716589271933
0.06,0.22,0.03089834695201269
0.06,0.24,0.03733984449553183
0.06,0.26,0.052409842582448456
0.06,0.28,0.04963617859350761
0.06,0.30,0.04719585051010863
0.06,0.32,0.05266763555781367
0.06,0.34,0.04707446060597589
0.06,0.36,0.036241198595566564
0.06,0.38,0.035555631904227544
0.06,0.40,0.054752539791793654
0.06,0.42,0.0674193947716345
0.06,0.44,0.06894170501010913
0.06,0.46,0.04994694704520709
0.06,0.48,0.06772720208382814
0.08,0.00,0.025773709987488905
0.08,0.02,0.025773709987488905
0.08,0.04,0.04380166618398571
0.08,0.06,0.03262187722188394
0.08,0.08,0.03438912474168556
0.08,0.10,0.03223889584499966
0.08,0.12,0.033329220434867836
0.08,0.14,0.03462279060574402
0.08,0.16,0.030904762790542092
0.08,0.18,0.03469490908645278
0.08,0.20,0.04085523912755056
0.08,0.22,0.03601390145168255
0.08,0.24,0.05819041237377813
0.08,0.26,0.03688354016622419
0.08,0.28,0.04293716207755305
0.08,0.30,0.04792438058958158
0.08,0.32,0.03732926108628403
0.08,0.34,0.039353470299811
0.08,0.36,0.055399397988089696
0.08,0.38,0.04126184193840427
0.08,0.40,0.05041402835538333
0.08,0.42,0.052329816047447644
0.08,0.44,0.0490736869923804
0.08,0.46,0.045197101568257424
0.08,0.48,0.05316403952931017
0.10,0.00,0.022002960530362128
0.10,0.02,0.022002960530362128
0.10,0.04,0.021995058324018827
0.10,0.06,0.02705168204938469
0.10,0.08,0.02775702661428433
0.10,0.10,0.03371652831649081
0.10,0.12,0.026551504342869976
0.10,0.14,0.02189779669964423
0.10,0.16,0.023288888258565673
0.10,0.18,0.03267392748505846
0.10,0.20,0.03302577541986744
0.10,0.22,0.041351528575420425
0.10,0.24,0.023714151240492864
0.10,0.26,0.025807969299539883
0.10,0.28,0.025976859559721375
0.10,0.30,0.0336106383351596
0.10,0.32,0.046021227325902206
0.10,0.34,0.026098723134747995
0.10,0.36,0.03602005335213291
0.10,0.38,0.036493729784677166
0.10,0.40,0.03466876421201238
0.10,0.42,0.03870599557853043
0.10,0.44,0.04896125334758237
0.10,0.46,0.04550173543692377
0.10,0.48,0.05975663769104696
0.12,0.00,0.019839826145075325
0.12,0.02,0.019759777546590047
0.12,0.04,0.020178998217964594
0.12,0.06,0.020898881742928557
0.12,0.08,0.02217811075463125
0.12,0.10,0.025128168343711028
0.12,0.12,0.0211127206812547
0.12,0.14,0.02795845386205081
0.12,0.16,0.020050460307501308
0.12,0.18,0.02012974807208682
0.12,0.20,0.022335388123863795
0.12,0.22,0.026767925050534214
0.12,0.24,0.023739815483484823
0.12,0.26,0.03184570800058673
0.12,0.28,0.03429267454235968
0.12,0.30,0.023252879231012394
0.12,0.32,0.029290270552994872
0.12,0.34,0.023492569751425087
0.12,0.36,0.023399994478838296
0.12,0.38,0.043166390127873114
0.12,0.40,0.03980739146679881
0.12,0.42,0.033881171045592164
0.12,0.44,0.04794318044622293
0.12,0.46,0.03471110591049806
0.12,0.48,0.05722755486325727
0.14,0.00,0.019353255017926813
0.14,0.02,0.019670764953433974
0.14,0.04,0.01921978429366525
0.14,0.06,0.01908768955625174
0.14,0.08,0.019267614451227412
0.14,0.10,0.0191491389493755
0.14,0.12,0.02211408415392963
0.14,0.14,0.02142651942737539
0.14,0.16,0.025455130753352907
0.14,0.18,0.03868276324257865
0.14,0.20,0.03369784176007519
0.14,0.22,0.020561833541661582
0.14,0.24,0.027121162451117706
0.14,0.26,0.03411711096202466
0.14,0.28,0.028837316108986648
0.14,0.30,0.031201279809025814
0.14,0.32,0.03427495913106681
0.14,0.34,0.028404831882177406
0.14,0.36,0.034728724745016655
0.14,0.38,0.040020365925201896
0.14,0.40,0.049932643219829556
0.14,0.42,0.03643634370571111
0.14,0.44,0.04603621864527392
0.14,0.46,0.029686445981203517
0.14,0.48,0.028962071739432917
0.16,0.00,0.016674452625281208
0.16,0.02,0.017471423910347148
0.16,0.04,0.01736637303931752
0.16,0.06,0.01982295085197197
0.16,0.08,0.019596591405264957
0.16,0.10,0.017446526320312485
0.16,0.12,0.020807512729919413
0.16,0.14,0.023382948708128848
0.16,0.16,0.022896260106609244
0.16,0.18,0.027102977421159302
0.16,0.20,0.0176760256621838
0.16,0.22,0.026867490960146536
0.16,0.24,0.016522902222288423
0.16,0.26,0.018505143624236144
0.16,0.28,0.029276413949163537
0.16,0.30,0.02155174562338007
0.16,0.32,0.019592281599510382
0.16,0.34,0.03225864345050461
0.16,0.36,0.05750136094916548
0.16,0.38,0.0265772677906112
0.16,0.40,0.03290044014440704
0.16,0.42,0.02571866799875523
0.16,0.44,0.03421729001385769
0.16,0.46,0.037324663587353715
0.16,0.48,0.03388533193530378
0.18,0.00,0.016211060995060797
0.18,0.02,0.016777937804617483
0.18,0.04,0.016179269705282676
0.18,0.06,0.01644161971261827
0.18,0.08,0.019336148329132302
0.18,0.10,0.020262751004794605
0.18,0.12,0.018254344500773644
0.18,0.14,0.016509775028132674
0.18,0.16,0.019284740845600487
0.18,0.18,0.01696212068348809
0.18,0.20,0.020325566780857833
0.18,0.22,0.016568072256476
0.18,0.24,0.016488469532287935
0.18,0.26,0.022633242807631113
0.18,0.28,0.030334148221439518
0.18,0.30,0.01901942021006359
0.18,0.32,0.025867778819304958
0.18,0.34,0.021669656127145193
0.18,0.36,0.022378861642373408
0.18,0.38,0.024374230125004656
0.18,0.40,0.03544994900613197
0.18,0.42,0.0306735324948899
0.18,0.44,0.02503536111768983
0.18,0.46,0.028364992682976476
0.18,0.48,0.04370178965148911
0.20,0.00,0.015439592436958636
0.20,0.02,0.015876872280128324
0.20,0.04,0.015077348250068774
0.20,0.06,0.015634330510967583
0.20,0.08,0.015431426644676755
0.20,0.10,0.015592054995154318
0.20,0.12,0.016041747638277617
0.20,0.14,0.01577315895079502
0.20,0.16,0.01521423642262972
0.20,0.18,0.015089777994807603
0.20,0.20,0.019627108650386405
0.20,0.22,0.016013664922781626
0.20,0.24,0.0172961870522674
0.20,0.26,0.0168877713279689
0.20,0.28,0.029146166195960485
0.20,0.30,0.02378483656862542
0.20,0.32,0.031072605627036332
0.20,0.34,0.020278834021558403
0.20,0.36,0.01848180261262394
0.20,0.38,0.026711157665241687
0.20,0.40,0.021179068266681755
0.20,0.42,0.028154217385669533
0.20,0.44,0.03603240960713115
0.20,0.46,0.023893708412064448
0.20,0.48,0.03337842896968025
0.22,0.00,0.015784188914889037
0.22,0.02,0.015623777518487961
0.22,0.04,0.015784188914889037
0.22,0.06,0.015809633608236746
0.22,0.08,0.017019720741137678
0.22,0.10,0.01781407096240566
0.22,0.12,0.019289956434724167
0.22,0.14,0.015971242431374037
0.22,0.16,0.016380861986986645
0.22,0.18,0.017384776559447982
