attack_fraction,protect_fraction,efficiency
0.00,0.00,0.09061557287536594
0.00,0.02,0.09061557287536594
0.00,0.04,0.09061557287536594
0.00,0.06,0.09061557287536594
0.00,0.08,0.09061557287536594
0.00,0.10,0.09061557287536594
0.00,0.12,0.09061557287536594
0.00,0.14,0.09061557287536594
0.00,0.16,0.09061557287536594
0.00,0.18,0.09061557287536594
0.00,0.20,0.09061557287536594
0.00,0.22,0.09061557287536594
0.00,0.24,0.09061557287536594
0.00,0.26,0.09061557287536594
0.00,0.28,0.09061557287536594
0.00,0.30,0.09061557287536594
0.00,0.32,0.09061557287536594
0.00,0.34,0.09061557287536594
0.00,0.36,0.09061557287536594
0.00,0.38,0.09061557287536594
0.00,0.40,0.09061557287536594
0.00,0.42,0.09061557287536594
0.00,0.44,0.09061557287536594
0.00,0.46,0.09061557287536594
0.00,0.48,0.09061557287536594
0.02,0.00,0.06996776721590843
0.02,0.02,0.09061557287536594
0.02,0.04,0.09061557287536594
0.02,0.06,0.09061557287536594
0.02,0.08,0.09061557287536594
0.02,0.10,0.09061557287536594
0.02,0.12,0.09061557287536594
0.02,0.14,0.09061557287536594
0.02,0.16,0.09061557287536594
0.02,0.18,0.09061557287536594
0.02,0.20,0.09061557287536594
0.02,0.22,0.09061557287536594
0.02,0.24,0.09061557287536594
0.02,0.26,0.09061557287536594
0.02,0.28,0.09061557287536594
0.02,0.30,0.09061557287536594
0.02,0.32,0.09061557287536594
0.02,0.34,0.09061557287536594
0.02,0.36,0.09061557287536594
0.02,0.38,0.09061557287536594
0.02,0.40,0.09061557287536594
0.02,0.42,0.09061557287536594
0.02,0.44,0.09061557287536594
0.02,0.46,0.09061557287536594
0.02,0.48,0.09061557287536594
0.04,0.00,0.052996600416893795
0.04,0.02,0.07054437960886986
0.04,0.04,0.09061557287536594
0.04,0.06,0.09061557287536594
0.04,0.08,0.09061557287536594
0.04,0.10,0.09061557287536594
0.04,0.12,0.09061557287536594
0.04,0.14,0.09061557287536594
0.04,0.16,0.09061557287536594
0.04,0.18,0.09061557287536594
0.04,0.20,0.09061557287536594
0.04,0.22,0.09061557287536594
0.04,0.24,0.09061557287536594
0.04,0.26,0.09061557287536594
0.04,0.28,0.09061557287536594
0.04,0.30,0.09061557287536594
0.04,0.32,0.09061557287536594
0.04,0.34,0.09061557287536594
0.04,0.36,0.09061557287536594
0.04,0.38,0.09061557287536594
0.04,0.40,0.09061557287536594
0.04,0.42,0.09061557287536594
0.04,0.44,0.09061557287536594
0.04,0.46,0.09061557287536594
0.04,0.48,0.09061557287536594
0.06,0.00,0.0259424850509958
0.06,0.02,0.04406355114099351
0.06,0.04,0.07255211091159389
0.06,0.06,0.09061557287536594
0.06,0.08,0.09061557287536594
0.06,0.10,0.09061557287536594
0.06,0.12,0.09061557287536594
0.06,0.14,0.09061557287536594
0.06,0.16,0.09061557287536594
0.06,0.18,0.09061557287536594
0.06,0.20,0.09061557287536594
0.06,0.22,0.09061557287536594
0.06,0.24,0.09061557287536594
0.06,0.26,0.09061557287536594
0.06,0.28,0.09061557287536594
0.06,0.30,0.09061557287536594
0.06,0.32,0.09061557287536594
0.06,0.34,0.09061557287536594
0.06,0.36,0.09061557287536594
0.06,0.38,0.09061557287536594
0.06,0.40,0.09061557287536594
0.06,0.42,0.09061557287536594
0.06,0.44,0.09061557287536594
0.06,0.46,0.09061557287536594
0.06,0.48,0.09061557287536594
0.08,0.00,0.025773709987488905
0.08,0.02,0.042270579042374766
0.08,0.04,0.06618976314801457
0.08,0.06,0.07719182255766983
0.08,0.08,0.09061557287536594
0.08,0.10,0.09061557287536594
0.08,0.12,0.09061557287536594
0.08,0.14,0.09061557287536594
0.08,0.16,0.09061557287536594
0.08,0.18,0.09061557287536594
0.08,0.20,0.09061557287536594
0.08,0.22,0.09061557287536594
0.08,0.24,0.09061557287536594
0.08,0.26,0.09061557287536594
0.08,0.28,0.09061557287536594
0.08,0.30,0.09061557287536594
0.08,0.32,0.09061557287536594
0.08,0.34,0.09061557287536594
0.08,0.36,0.09061557287536594
0.08,0.38,0.09061557287536594
0.08,0.40,0.09061557287536594
0.08,0.42,0.09061557287536594
0.08,0.44,0.09061557287536594
0.08,0.46,0.09061557287536594
0.08,0.48,0.09061557287536594
0.10,0.00,0.022002960530362128
0.10,0.02,0.026675937282666894
0.10,0.04,0.05276986838177606
0.10,0.06,0.06483935203886926
0.10,0.08,0.07649126427154634
0.10,0.10,0.09061557287536594
0.10,0.12,0.09061557287536594
0.10,0.14,0.09061557287536594
0.10,0.16,0.09061557287536594
0.10,0.18,0.09061557287536594
0.10,0.20,0.09061557287536594
0.10,0.22,0.09061557287536594
0.10,0.24,0.09061557287536594
0.10,0.26,0.09061557287536594
0.10,0.28,0.09061557287536594
0.10,0.30,0.09061557287536594
0.10,0.32,0.09061557287536594
0.10,0.34,0.09061557287536594
0.10,0.36,0.09061557287536594
0.10,0.38,0.09061557287536594
0.10,0.40,0.09061557287536594
0.10,0.42,0.09061557287536594
0.10,0.44,0.09061557287536594
0.10,0.46,0.09061557287536594
0.10,0.48,0.09061557287536594
0.12,0.00,0.019839826145075325
0.12,0.02,0.023775069647120346
0.12,0.04,0.04551296766270738
0.12,0.06,0.05984560528850809
0.12,0.08,0.061577251206627034
0.12,0.10,0.07404132406486746
0.12,0.12,0.09061557287536594
0.12,0.14,0.09061557287536594
0.12,0.16,0.09061557287536594
0.12,0.18,0.09061557287536594
0.12,0.20,0.09061557287536594
0.12,0.22,0.09061557287536594
0.12,0.24,0.09061557287536594
0.12,0.26,0.09061557287536594
0.12,0.28,0.09061557287536594
0.12,0.30,0.09061557287536594
0.12,0.32,0.09061557287536594
0.12,0.34,0.09061557287536594
0.12,0.36,0.09061557287536594
0.12,0.38,0.09061557287536594
0.12,0.40,0.09061557287536594
0.12,0.42,0.09061557287536594
0.12,0.44,0.09061557287536594
0.12,0.46,0.09061557287536594
0.12,0.48,0.09061557287536594
0.14,0.00,0.019353255017926813
0.14,0.02,0.02348657660814787
0.14,0.04,0.0429571978443598
0.14,0.06,0.057093102200663715
0.14,0.08,0.058898743256413526
0.14,0.10,0.07143243848564643
0.14,0.12,0.07776040026115638
0.14,0.14,0.09061557287536594
0.14,0.16,0.09061557287536594
0.14,0.18,0.09061557287536594
0.14,0.20,0.09061557287536594
0.14,0.22,0.09061557287536594
0.14,0.24,0.09061557287536594
0.14,0.26,0.09061557287536594
0.14,0.28,0.09061557287536594
0.14,0.30,0.09061557287536594
0.14,0.32,0.09061557287536594
0.14,0.34,0.09061557287536594
0.14,0.36,0.09061557287536594
0.14,0.38,0.09061557287536594
0.14,0.40,0.09061557287536594
0.14,0.42,0.09061557287536594
0.14,0.44,0.09061557287536594
0.14,0.46,0.09061557287536594
0.14,0.48,0.09061557287536594
0.16,0.00,0.016674452625281208
0.16,0.02,0.020630985323073125
0.16,0.04,0.031099258357230163
0.16,0.06,0.04848631819303819
0.16,0.08,0.05022092016542379
0.16,0.10,0.06228810559047136
0.16,0.12,0.06911484707462215
0.16,0.14,0.07365342414237126
0.16,0.16,0.09061557287536594
0.16,0.18,0.09061557287536594
0.16,0.20,0.09061557287536594
0.16,0.22,0.09061557287536594
0.16,0.24,0.09061557287536594
0.16,0.26,0.09061557287536594
0.16,0.28,0.09061557287536594
0.16,0.30,0.09061557287536594
0.16,0.32,0.09061557287536594
0.16,0.34,0.09061557287536594
0.16,0.36,0.09061557287536594
0.16,0.38,0.09061557287536594
0.16,0.40,0.09061557287536594
0.16,0.42,0.09061557287536594
0.16,0.44,0.09061557287536594
0.16,0.46,0.09061557287536594
0.16,0.48,0.09061557287536594
0.18,0.00,0.016211060995060797
0.18,0.02,0.01968535594404942
0.18,0.04,0.030062688258899146
0.18,0.06,0.040145754937110714
0.18,0.08,0.04234391393700987
0.18,0.10,0.05334882494063542
0.18,0.12,0.059895810971723855
0.18,0.14,0.06424435719236123
0.18,0.16,0.07418271852519219
0.18,0.18,0.09061557287536594
0.18,0.20,0.09061557287536594
0.18,0.22,0.09061557287536594
0.18,0.24,0.09061557287536594
0.18,0.26,0.09061557287536594
0.18,0.28,0.09061557287536594
0.18,0.30,0.09061557287536594
0.18,0.32,0.09061557287536594
0.18,0.34,0.09061557287536594
0.18,0.36,0.09061557287536594
0.18,0.38,0.09061557287536594
0.18,0.40,0.09061557287536594
0.18,0.42,0.09061557287536594
0.18,0.44,0.09061557287536594
0.18,0.46,0.09061557287536594
0.18,0.48,0.09061557287536594
0.20,0.00,0.015439592436958636
0.20,0.02,0.017583675385000552
0.20,0.04,0.024188471128228525
0.20,0.06,0.030790171296422912
0.20,0.08,0.03174016755882725
0.20,0.10,0.04624551583436804
0.20,0.12,0.05113859051044788
0.20,0.14,0.05533796457150457
0.20,0.16,0.065652980633419
0.20,0.18,0.07814905243457944
0.20,0.20,0.09061557287536594
0.20,0.22,0.09061557287536594
0.20,0.24,0.09061557287536594
0.20,0.26,0.09061557287536594
0.20,0.28,0.09061557287536594
0.20,0.30,0.09061557287536594
0.20,0.32,0.09061557287536594
0.20,0.34,0.09061557287536594
0.20,0.36,0.09061557287536594
0.20,0.38,0.09061557287536594
0.20,0.40,0.09061557287536594
0.20,0.42,0.09061557287536594
0.20,0.44,0.09061557287536594
0.20,0.46,0.09061557287536594
0.20,0.48,0.09061557287536594
0.22,0.00,0.015784188914889037
0.22,0.02,0.01774521385125037
0.22,0.04,0.024609065102646037
0.22,0.06,0.031500170942082344
0.22,0.08,0.03247562985104353
0.22,0.10,0.04727813777069515
0.22,0.12,0.05195899751201169
0.22,0.14,0.056289055154570014
0.22,0.16,0.06684550289623203
0.22,0.18,0.07225536312414521
