车站名称,累计距离（km）,站间距离（km）,开通时间
莘庄,0,－,1996-12-28
外环路,1303,1303,1996-12-28
莲花路,2762,1459,1996-12-28
锦江乐园,4395,1633,1995-4-10
上海南站,6484,2089,1993-5-28
漕宝路,8145,1661,1993-5-28
上海体育馆,9679,1534,1993-5-28
徐家汇,10957,1278,1993-5-28
衡山路,12430,1473,1995-4-10
常熟路,13586,1156,1995-4-10
陕西南路,14525,939,1995-4-10
黄陂南路,15932,1407,1995-4-10
人民广场,17490,1558,1995-4-10
新闸路,18410,920,1995-4-10
汉中路,19385,975,1995-4-10
上海火车站,20184,799,1995-4-10
中山北路,21555,1371,2004-12-28
延长路,23037,1482,2004-12-28
上海马戏城,24033,996,2004-12-28
汶水路,25466,1433,2004-12-28
彭浦新村,27029,1563,2004-12-28
共康路,28426,1397,2004-12-28
通河新村,29851,1425,2004-12-28
呼兰路,30881,1030,2004-12-28
共富新村,32658,1777,2004-12-28
宝安公路,34301,1643,2007-12-29
友谊西路,35615,1314,2007-12-29
富锦路,36889,1274,2007-12-29
