车站名称,累计距离（km）,站间距离（km）,开通时间
上海南站,0,-,2000-12-26
石龙路,1314,1314,2000-12-26
龙漕路,2798,1484,2000-12-26
漕溪路,3823,1025,2000-12-26
宜山路,5361,1538,2000-12-26
虹桥路,6670,1309,2000-12-26
延安西路,8131,1461,2000-12-26
中山公园,9232,1101,2000-12-26
金沙江路,10739,1507,2000-12-26
曹杨路,11642,903,2000-12-26
镇坪路,13015,1373,2000-12-26
中潭路,14488,1473,2000-12-26
上海火车站,16215,1727,2000-12-26
宝山路,18232,2017,2000-12-26
东宝兴路,19305,1073,2000-12-26
虹口足球场,20616,1311,2000-12-26
赤峰路,21766,1150,2000-12-26
大柏树,22677,911,2000-12-26
江湾镇,24477,1800,2000-12-26
殷高西路,26080,1603,2006-12-18
长江南路,27595,1515,2006-12-18
淞发路,29285,1690,2006-12-18
张华浜,30798,1513,2006-12-18
淞滨路,32338,1540,2006-12-18
水产路,33579,1241,2006-12-18
宝杨路,35334,1755,2006-12-18
友谊路,36363,1029,2006-12-18
铁力路,38067,1704,2006-12-18
江杨北路,40148,2081,2006-12-18
