车站名称,累计距离（km）,站间距离（km）,开通时间
松江南站,0,-,2012-12-30
醉白池,1795,1795,2012-12-30
松江体育中心,3532,1737,2012-12-30
松江新城,5155,1583,2007-12-29
松江大学城,7757,2642,2007-12-29
洞泾,11138,3381,2007-12-29
佘山,13343,2205,2007-12-29
泗泾,17211,3868,2007-12-29
九亭,23457,6246,2007-12-29
中春路,25720,2263,2007-12-29
七宝,27025,1305,2007-12-29
星中路,28905,1880,2007-12-29
合川路,30761,1856,2007-12-29
漕河泾开发区,32096,1335,2007-12-29
桂林路,34128,2032,2007-12-29
宜山路,35815,1687,2008-12-28
徐家汇,37320,1505,2009-12-31
肇嘉浜路,38709,1389,2009-12-31
嘉善路,39772,1063,2009-12-31
打浦桥,40647,875,2009-12-31
马当路,41489,842,2009-12-31
陆家浜路,42434,945,2009-12-31
小南门,43909,1475,2009-12-31
商城路,46307,2398,2009-12-31
世纪大道,47286,979,2009-12-31
杨高中路,49721,2435,2010-4-7
芳甸路,50786,1065,2017-12-30
蓝天路,52907,2121,2017-12-30
台儿庄路,55213,2306,2017-12-30
金桥,56758,1545,2017-12-30
金吉路,58455,1697,2017-12-30
金海路,59479,1024,2017-12-30
顾唐路,61190,1710,2017-12-30
民雷路,62315,1125,2017-12-30
曹路,63821,1506,2017-12-30
