车站名称,累计距离（km）,站间距离（km）,开通时间
徐泾东,0,-,2010-3-16
虹桥火车站,2284,2284,2010-3-16
虹桥2号航站楼,3292,1008,2010-3-16
淞虹路,9097,5805,2006-12-30
北新泾,10454,1357,2006-12-30
威宁路,11698,1244,2006-12-30
娄山关路,13421,1723,2006-12-30
中山公园,14819,1398,1999-9-20
江苏路,16307,1488,1999-9-20
静安寺,17800,1493,1999-9-20
南京西路,19267,1467,1999-9-20
人民广场,20765,1498,1999-9-20
南京东路,21721,956,1999-9-20
陆家嘴,23398,1677,1999-9-20
东昌路,24820,1422,1999-9-20
世纪大道,25987,1167,1999-9-20
上海科技馆,27886,1899,1999-9-20
世纪公园,29204,1318,1999-9-20
龙阳路,30187,983,1999-9-20
张江高科,32786,2599,2000-12-26
金科路,34400,1614,2010-2-24
广兰路,36040,1640,2010-2-24
唐镇,39425,3385,2010-4-8
创新中路,41252,1827,2010-4-8
华夏东路,43119,1867,2010-4-8
川沙,45792,2673,2010-4-8
凌空路,48060,2268,2010-4-8
远东大道,51280,3220,2010-4-8
海天三路,57137,5857,2010-4-8
浦东国际机场,59648,2511,2010-4-8
