车站名称,累计距离（km）,站间距离（km）,开通时间
市光路,0,-,2007-12-29
嫩江路,882,882,2007-12-29
翔殷路,1962,1080,2007-12-29
黄兴公园,3010,1048,2007-12-29
延吉中路,3936,926,2007-12-29
黄兴路,5209,1273,2007-12-29
江浦路,6258,1049,2007-12-29
鞍山新村,7136,878,2007-12-29
四平路,7964,828,2007-12-29
曲阳路,9021,1057,2007-12-29
虹口足球场,10501,1480,2007-12-29
西藏北路,11778,1277,2007-12-29
中兴路,13004,1226,2007-12-29
曲阜路,14239,1235,2007-12-29
人民广场,15320,1081,2007-12-29
大世界,16081,761,2007-12-29
老西门,17085,1004,2007-12-29
陆家浜路,17910,825,2007-12-29
西藏南路,19073,1163,2007-12-29
中华艺术宫,21114,2041,2007-12-29
耀华路,21858,744,2007-12-29
成山路,22806,908,2009-7-5
杨思,24004,1198,2009-7-5
东方体育中心,25597,1593,2009-7-5
凌兆新村,26917,1320,2009-7-5
芦恒路,29650,2733,2009-7-5
浦江镇,32105,2455,2009-7-5
江月路,33528,1423,2009-7-5
联航路,34578,1050,2009-7-5
沈杜公路,36020,1442,2009-7-5
