车站名称,累计距离（km）,站间距离（km）,开通时间
港城路,0,-,2007-12-29
外高桥保税区北,1618.751,1618.751,2007-12-29
航津路,3153.751,1535,2007-12-29
外高桥保税区南,4859.751,1706,2007-12-29
洲海路,6897.296,2037.545,2007-12-29
五洲大道,7972.726,1075.43,2007-12-29
东靖路,9291.296,1318.57,2007-12-29
巨峰路,10401.296,1110,2007-12-29
五莲路,11361.994,960.698,2007-12-29
博兴路,12306.994,945,2007-12-29
金桥路,13161.874,854.88,2007-12-29
云山路,14318.994,1157.12,2007-12-29
德平路,15299.994,981,2007-12-29
北洋泾路,16630.994,1331,2007-12-29
民生路,17547.994,917,2007-12-29
源深体育中心,18454.994,907,2007-12-29
世纪大道,19338.276,883.282,2007-12-29
浦电路,20378.994,1040.718,2007-12-29
蓝村路,21339.354,960.36,2007-12-29
上海儿童医学中心,22390.994,1051.64,2007-12-29
临沂新村,23674.994,1284,2007-12-29
高科西路,24853.266,1178.272,2007-12-29
东明路,26308.243,1454.977,2007-12-29
高青路,27818.994,1510.751,2007-12-29
华夏西路,29233.328,1414.334,2007-12-29
上南路,30026.01,792.682,2007-12-29
灵岩南路,31117.994,1091.984,2007-12-29
东方体育中心,32643.143,1525.149,2011-4-12
