车站名称,累计距离（km）,站间距离（km）,开通时间
迪士尼,0,-,2016-4-26
康新公路,5073.6,5073.6,2015-12-19
秀沿路,7375,2301.4,2015-12-19
罗山路,9172,1797,2013-8-31
御桥,11681,2509,2013-8-31
严御路,13497,1816,2013-8-31
浦三路,14902,1405,2013-8-31
三林东,16515,1613,2013-8-31
三林,17641,1126,2013-8-31
东方体育中心,21157,3516,2013-8-31
龙耀路,23321,2164,2013-8-31
云锦路,24255,934,2013-8-31
龙华,25200,945,2013-8-31
上海游泳馆,26666,1466,2013-8-31
徐家汇,28430,1764,2013-8-31
交通大学,29335,905,2013-8-31
江苏路,31989,2654,2009-12-31
隆德路,33346.3,1357.3,2009-12-31
曹杨路,34358,1011.7,2009-12-31
枫桥路,35080,722,2009-12-31
真如,36199,1119,2009-12-31
上海西站,37777,1578,2009-12-31
李子园,39087,1310,2009-12-31
祁连山路,40467,1380,2009-12-31
武威路,41744.6,1277.6,2009-12-31
桃浦新村,43382,1637.4,2009-12-31
南翔,46619,3237,2009-12-31
陈翔路,48805,2186,2009-12-31
马陆,52465,3660,2009-12-31
嘉定新城,55361,2896,2009-12-31
白银路,57248,1887,2009-12-31
嘉定西,61167,3919,2009-12-31
嘉定北,63111,1944,2009-12-31
上海赛车场,66198,3087,2010-3-29
昌吉东路,71713,5515,2011-4-26
上海汽车城,73931,2218,2010-3-29
安亭,75742,1811,2010-3-29
兆丰路,76871,1129,2013-10-16
光明路,80171,3300,2013-10-16
花桥,81438,1267,2013-10-16
