车站名称,累计距离（km）,站间距离（km）,开通时间
七莘路,0,-,2015-12-19
虹莘路,1.73,1.73,2015-12-19
顾戴路,2.96,1.23,2015-12-19
东兰路,4.83,1.87,2015-12-19
虹梅路,5.52,0.69,2015-12-19
虹漕路,6.94,1.62,2015-12-19
桂林公园,7.77,0.83,2015-12-19
漕宝路,9.32,1.55,2015-12-19
龙漕路,10.16,0.84,2015-12-19
龙华,11.2,1.04,2015-12-19
龙华中路,12.55,1.35,2015-12-19
大木桥路,14.122,1.57,2015-12-19
嘉善路,15.13,1.01,2015-12-19
陕西南路,16.62,1.49,2015-12-19
南京西路,18.02,1.4,2015-12-19
汉中路,19.5,1.48,2015-12-19
曲阜路,20.74,1.24,2014-5-10
天潼路,21.78,1.04,2013-12-29
国际客运中心,23.47,1.69,2013-12-29
提篮桥,24.45,0.98,2013-12-29
大连路,25.24,0.79,2013-12-29
江浦公园,26.53,1.29,2013-12-29
宁国路,27.44,0.91,2013-12-29
隆昌路,28.86,1.42,2013-12-29
爱国路,29.78,0.92,2013-12-29
复兴岛,30.6,0.82,2013-12-29
东陆路,32.3,1.7,2013-12-29
巨峰路,33.39,1.09,2013-12-29
杨高北路,34.66,1.27,2013-12-29
金京路,35.82,1.16,2013-12-29
申江路,36.96,1.14,2013-12-29
金海路,39.49,2.53,2013-12-29
