车站名称,累计距离（km）,站间距离（km）,开通时间
新江湾城,0,-,2010-4-10
殷高东路,0.75,0.75,2010-4-10
三门路,1.8,1.05,2010-4-10
江湾体育场,3,1.2,2010-4-10
五角场,3.6,0.6,2010-4-10
国权路,4.6,1,2010-4-10
同济大学,5.5,0.9,2010-4-10
四平路,6.5,1,2010-4-10
邮电新村,7.5,1,2010-4-10
海伦路,8.6,1.1,2010-4-10
四川北路,9.6,1,2010-4-10
天潼路,10.5,0.9,2010-4-10
南京东路,11.2,0.7,2010-4-10
豫园,12.4,1.2,2010-4-10
老西门,13.8,1.4,2010-4-10
新天地,14.6,0.8,2010-4-10
陕西南路,16.3,1.7,2010-4-10
上海图书馆,17.9,1.6,2010-4-10
交通大学,19,1.1,2010-4-10
虹桥路,20.3,1.3,2010-4-10
宋园路,21.4,1.1,2010-4-10
伊犁路,22.1,0.7,2010-4-10
水城路,23.3,1.2,2010-4-10
龙溪路,24.7,1.4,2010-4-10
上海动物园,25.9,1.2,2010-4-10
虹桥1号航站楼,27.9,2,2010-4-10
虹桥2号航站楼,29.8,1.9,2010-4-10
虹桥火车站,30.4,0.6,2010-4-10
龙柏新村,27,3.4,2010-4-10
紫藤路,28.3,1.3,2010-4-10
航中路站,29.3,1,2010-4-10
