车站名称,累计距离（km）,站间距离（km）,开通时间
宜山路,0,-,2007-12-29
虹桥路,1323,1323,2005-12-31
延安西路,2784,1461,2007-12-29
中山公园,3885,1101,2007-12-29
金沙江路,5392,1507,2007-12-29
曹杨路,6295,903,2007-12-29
镇坪路,7668,1373,2007-12-29
中潭路,9141,1473,2007-12-29
上海火车站,10868,1727,2007-12-29
宝山路,12885,2017,2005-12-31
海伦路,14428,1543,2007-12-29
临平路,15492,1064,2007-12-29
大连路,16692,1200,2007-12-29
杨树浦路,17514,822,2007-12-29
浦东大道,18883,1369,2007-12-29
世纪大道,20349,1466,2007-12-29
浦电路,21256,907,2007-12-29
蓝村路,22578,1322,2005-12-31
塘桥,23730,1152,2007-12-29
南浦大桥,25893,2163,2007-12-29
西藏南路,27101,1208,2007-12-29
鲁班路,28503,1402,2007-12-29
大木桥路,29815,1312,2005-12-31
东安路,30698,883,2007-12-29
上海体育场,31918,1220,2007-12-29
上海体育馆,32603,685,2007-12-29
宜山路,33747,1144,2007-12-29
