车站名称,累计距离（km）,站间距离（km）
松江南站,0,-
醉白池,1795,1795
松江体育中心,3532,1737
松江新城,5155,1583
松江大学城,7757,2642
洞泾,11138,3381
佘山,13343,2205
泗泾,17211,3868
九亭,23457,6246
中春路,25720,2263
七宝,27025,1305
星中路,28905,1880
合川路,30761,1856
漕河泾开发区,32096,1335
桂林路,34128,2032
宜山路,35815,1687
徐家汇,37320,1505
肇嘉浜路,38709,1389
嘉善路,39772,1063
打浦桥,40647,875
马当路,41489,842
陆家浜路,42434,945
小南门,43909,1475
商城路,46307,2398
世纪大道,47286,979
杨高中路,49721,2435
芳甸路,50786,1065
蓝天路,52907,2121
台儿庄路,55213,2306
金桥,56758,1545
金吉路,58455,1697
金海路,59479,1024
顾唐路,61190,1710
民雷路,62315,1125
曹路,63821,1506
