车站名称,累计距离（km）,站间距离（km）
徐泾东,0,-
虹桥火车站,2284,2284
虹桥2号航站楼,3292,1008
淞虹路,9097,5805
北新泾,10454,1357
威宁路,11698,1244
娄山关路,13421,1723
中山公园,14819,1398
江苏路,16307,1488
静安寺,17800,1493
南京西路,19267,1467
人民广场,20765,1498
南京东路,21721,956
陆家嘴,23398,1677
东昌路,24820,1422
世纪大道,25987,1167
上海科技馆,27886,1899
世纪公园,29204,1318
龙阳路,30187,983
张江高科,32786,2599
金科路,34400,1614
广兰路,36040,1640
唐镇,39425,3385
创新中路,41252,1827
华夏东路,43119,1867
川沙,45792,2673
凌空路,48060,2268
远东大道,51280,3220
海天三路,57137,5857
浦东国际机场,59648,2511
