车站名称,累计距离（km）,站间距离（km）
港城路,0,-
外高桥保税区北,1618.751,1618.751
航津路,3153.751,1535
外高桥保税区南,4859.751,1706
洲海路,6897.296,2037.545
五洲大道,7972.726,1075.43
东靖路,9291.296,1318.57
巨峰路,10401.296,1110
五莲路,11361.994,960.698
博兴路,12306.994,945
金桥路,13161.874,854.88
云山路,14318.994,1157.12
德平路,15299.994,981
北洋泾路,16630.994,1331
民生路,17547.994,917
源深体育中心,18454.994,907
世纪大道,19338.276,883.282
浦电路,20378.994,1040.718
蓝村路,21339.354,960.36
上海儿童医学中心,22390.994,1051.64
临沂新村,23674.994,1284
高科西路,24853.266,1178.272
东明路,26308.243,1454.977
高青路,27818.994,1510.751
华夏西路,29233.328,1414.334
上南路,30026.01,792.682
灵岩南路,31117.994,1091.984
东方体育中心,32643.143,1525.149
