车站名称,英文名称,站间距离（km）,累计距离（km）
崔家店,Cuijiadian,-,0
双店路,Shuangdian Road,1.012,1.012
槐树店,Huaishudian,0.855,1.867
迎晖路,Yinghui Road,1.523,3.390
成都东客站,East Chengdu Railway Station,1.090,4.480
大观,Daguan,1.237,5.717
狮子山,Shizishan,1.125,6.842
四川师大,Sichuan Normal University,1.144,7.986
琉璃场,Liulichang,1.553,9.539
三瓦窑,Sanwayao,2.419,11.958
火车南站,South Railway Station,1.018,12.976
神仙树,Shenxianshu,1.944,14.920
高朋大道,Gaopeng Avenue,1.784,16.704
太平园,Taipingyuan,1.443,18.147
武侯大道,Wuhou Avenue,1.467,19.614
龙爪堰,Longzhuayan,1.672,21.286
东坡路,Dongpo Road,1.061,22.347
文化宫,Culture Palace,1.184,23.531
金沙博物馆,Jinsha Site Museum,0.759,24.290
一品天下,Yipintianxia,1.543,25.843
茶店子,Chadianzi,1.225,27.058
花照壁,Huazhaobi,1.106,28.164
西南交大,Southwest Jiaotong University,0.853,29.017
九里堤,Jiulidi,0.768,29.785
北站西二路,2nd Beizhan Road West,0.879,30.664
火车北站,North Railway Station,0.738,31.402
驷马桥,Simaqiao,1.965,33.367
府青路,Fuqing Road,1.285,34.652
八里庄,Balizhuang,1.308,35.960
二仙桥,Erxianqiao Bridge,1.050,37.010
理工大学,Chengdu University of Technology,1.188,38.198
崔家店,Cuijiadian,0.931,39.129
