车站名称,英文名称,站间距离（km）,累计距离（km）,开通时间
军区总医院,Chengdu Junqu General Hospital,-,0,2016-7-31
熊猫大道,Panda Avenue,2.2,2.2,2016-7-31
动物园,Chengdu Zoo,1.4,3.6,2016-7-31
昭觉寺南路,Zhaojuesi Road South,1.4,5.0,2016-7-31
驷马桥,Simaqiao,1.0,6.0,2016-7-31
李家沱,Lijiatuo,0.7,6.7,2016-7-31
前锋路,Qianfeng Road,1.2,7.9,2016-7-31
红星桥,Hongxing Bridge,0.9,8.8,2016-7-31
市二医院,Chengdu Second People's Hospital,1.4,10.2,2016-7-31
春熙路,Chunxi Road,1.0,11.2,2016-7-31
新南门,Xinnanmen,1.1,12.3,2016-7-31
磨子桥,Moziqiao,0.7,13.0,2016-7-31
省体育馆,Sichuan Gymnasium,1.1,14.1,2016-7-31
衣冠庙,Yiguanmiao,1.2,15.3,2016-7-31
高升桥,Gaoshengqiao,1.2,16.5,2016-7-31
红牌楼,Hongpailou,1.7,18.2,2016-7-31
太平园,Taipingyuan,1.4,19.6,2016-7-31
