date,diameter
1993-05-28,3
1995-04-10,12
1996-12-28,15
1999-09-20,19
2000-12-26,20
2003-11-25,30
2004-12-28,32
2005-12-31,32
2006-12-18,39
2006-12-30,39
2007-12-29,42
2008-12-28,42
2009-07-05,42
2009-12-05,42
2009-12-31,41
2010-02-24,41
2010-03-16,41
2010-03-29,41
2010-04-07,41
2010-04-08,41
2010-04-10,41
2010-04-20,41
2010-12-28,41
2011-04-12,41
2011-04-26,43
2011-06-30,43
2012-12-30,43
2013-08-31,43
2013-10-16,46
2013-12-29,46
2014-05-10,46
2014-12-28,45
2015-12-19,45
2016-04-26,45
2017-12-30,45
