车站名称,英文名称,站间距离（km）,累计距离（km）
犀浦,Xipu,-,0
天河路,Tianhe Road,1.8,1.8
百草路,Baicao Road,1.7,3.5
金周路,Jinzhou Road,2.3,5.8
金科北路,Jinke Road North,1.1,6.9
迎宾大道,Yingbin Avenue,1.1,8.0
茶店子客运站,Chadianzi Bus Terminal,1.0,9.0
羊犀立交,Yangxi Flyover,1.4,10.4
一品天下,Yipintianxia,0.9,11.3
蜀汉路东,East Shuhan Road,1.2,12.5
白果林,Baiguolin,1.1,13.6
中医大省医院,Chengdu University of TCM & Sichuan Provincial People's Hospital,1.2,14.8
通惠门,Tonghuimen,0.9,15.7
人民公园,People's Park,0.8,16.5
天府广场,Tianfu Square,0.9,17.4
春熙路,Chunxi Road,1.3,18.7
东门大桥,Dongmen Bridge,1.0,19.7
牛王庙,Niuwangmiao,0.8,20.5
牛市口,Niushikou,1.6,22.1
东大路,Dongda Road,0.8,22.9
塔子山公园,Tazishan Park,1.1,24.0
成都东客站,Chengdu East Railway Station,1.4,25.4
成渝立交,Chengyu Flyover,0.9,26.3
惠王陵,Huiwangling,1.4,27.7
洪河,Honghe,1.0,28.7
成都行政学院,Chengdu Institute of Public Administration,1.7,30.4
大面铺,Damianpu,3.0,33.4
连山坡,Lianshanpo,1.2,34.6
界牌,Jiepai,1.3,35.9
书房,Shufang,1.9,37.8
龙平路,Longping Road,2.0,39.8
龙泉驿,Longquanyi,1.8,41.6
